curve,rank,conductor,series,alpha,mode,n,zero_index,gamma,cycles_over_logK_range,median_abs_phase_step_rad,intercept,cos_coef,sin_coef,amplitude,phase_rad_for_amp_cos_gamma_u_minus_phase,rss_constant,rss_zero_model,rmse_zero_model,r2_vs_constant,adjusted_r2_vs_constant,const_loo_rmse,zero_model_loo_rmse,loo_skill_vs_constant,series_range
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,1,5.0031700140066588,5.5005021157673477,0.78664124749607467,-2.0556118547438542,-0.011481104004147358,-0.09027627345339953,0.09100341366007661,-1.6972946698993334,0.012178347227243296,0.0034111649479937512,0.022075082746952988,0.71989918793226049,0.57984878189839073,0.04866222313923671,0.036356520711782157,0.44181168840456964,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,2,6.8703912169544319,7.5533314517016859,1.9885788731133207,-2.1055790762580924,0.0071815613024142121,-0.015784661361238447,0.017341578850534556,-1.1438163098486909,0.012178347227243296,0.011351767250133333,0.04027010101468996,0.067872919180763769,-0.39819062122885418,0.04866222313923671,0.073023962205784679,-1.251888564917262,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,3,8.014330807872879,8.8109825254292353,2.9173342768087043,-2.1183867365101405,0.050927406108336057,-0.044263299596654579,0.0674747388591211,-0.71550424691283898,0.012178347227243296,0.006278394646696361,0.029948514503337607,0.48446250303559912,0.22669375455339869,0.04866222313923671,0.054075567540396698,-0.23486158564960746,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,4,9.9330983536053523,10.920482085791996,1.6537466985393703,-2.1126251112490273,0.035713200040168827,-0.030648209822145341,0.047061081823640237,-0.70922152310916764,0.012178347227243296,0.0041466678084059313,0.02433888073610949,0.65950487935425905,0.48925731903138847,0.04866222313923671,0.045353501171532966,0.13136415587385242,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,5,10.7751381625408,11.846223513255627,0.72867141689513915,-1.7806804421030007,0.058712754283367807,0.34984610934355137,0.35473861889898489,1.4045213043730977,0.012178347227243296,0.0037631501073650056,0.023186049091656714,0.69099664863005916,0.53649497294508874,0.04866222313923671,0.03445827921012503,0.49857812133039658,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,6,11.757324722849777,12.926042755442705,1.589128603580928,-2.1056405250304571,0.0093793651375358809,-0.030883228195770367,0.032276094469053239,-1.2759446867456128,0.012178347227243296,0.0085828120446855526,0.03501593931888234,0.29523999566332226,-0.057140006505016494,0.04866222313923671,0.060951132689504015,-0.56884367036537808,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,7,12.958386413882845,14.246494060155396,3.0351742159024653,-2.105524824737103,0.018379956750048738,0.01376019878732178,0.022960093222813231,0.64263808866356442,0.012178347227243296,0.010253485891036801,0.038272492716304007,0.15805603997729079,-0.26291594003406371,0.04866222313923671,0.064447951110412724,-0.75401918191080708,0.1269569598439606
37a1,1,37,product_residual_logP_plus_rank_loglogK,0.75,all,7,8,15.603857873204319,17.15493437268972,1.7069659114058666,-2.1029734182912865,0.027960974795446285,0.046253760140031311,0.054048371285387788,1.0270654382004438,0.012178347227243296,0.0021466169604445382,0.017511697969579968,0.8237349518461341,0.73560242776920126,0.04866222313923671,0.031255663454123492,0.58745288701768894,0.1269569598439606
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,1,5.0031700140066588,5.5005021157673477,0.78664124749607467,-2.5521786188131075,-0.010391756358746047,-0.092413356796967883,0.092995790844012008,-1.6827745715707889,0.01270188531371433,0.0035690035338563847,0.022580027628277367,0.71901781147378951,0.57852671721068427,0.049697193413936559,0.037631434379413541,0.42662623398982424,0.12808843043386187
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,2,6.8703912169544319,7.5533314517016859,1.9885788731133207,-2.6030865776191638,0.0064164460966160495,-0.014908454581542364,0.01623061300508058,-1.1643693811044391,0.01270188531371433,0.011966180323562385,0.041345547909508749,0.057920928427656171,-0.41311860735851558,0.049697193413936559,0.074887286988873286,-1.2706618753894299,0.12808843043386187
