# MK2 R_F numerical: 16-curve ladder, k=2, T_max=50
# columns: curve, N, n_zeros, sum_zeros, smooth, R_F, R_F_over_main
11a1,11,36,677.355579,1794.464379,-1117.108800,-0.622530
14a1,14,38,684.727105,1584.327634,-899.600528,-0.567812
15a1,15,39,712.388606,1402.861680,-690.473074,-0.492189
17a1,17,40,614.951160,1788.208482,-1173.257322,-0.656108
19a1,19,41,766.930458,1852.016629,-1085.086170,-0.585894
20a1,20,41,811.873910,1657.981693,-846.107784,-0.510324
21a1,21,42,766.358552,1907.866581,-1141.508029,-0.598316
24a1,24,42,770.101773,1694.828239,-924.726466,-0.545617
26a1,26,43,809.964244,1969.675215,-1159.710971,-0.588783
27a1,27,44,854.819459,1712.101268,-857.281809,-0.500719
32a1,32,45,920.809082,1706.937015,-786.127933,-0.460549
33a1,33,45,943.197197,3077.552820,-2134.355623,-0.693524
35a1,35,46,958.798454,2338.402491,-1379.604037,-0.589977
36a1,36,46,914.883169,1885.587296,-970.704127,-0.514802
37a1,37,46,1517.156889,5653.294022,-4136.137133,-0.731633
38a1,38,46,935.410846,2388.216904,-1452.806058,-0.608322

# AGGREGATE (uniform avg across 16 curves):
# mean R_F = -1297.162242
# mean main = 2150.895147
# |mean R_F| / mean main = 0.603080
# FAIL: |R_F|/main >= 0.1
