mode,alpha,window,n_curves,max_abs_slope_error,rms_slope_error,mean_abs_slope_error,max_adjusted_range,mean_adjusted_range,max_abs_adjusted_last_step,max_abs_adjusted_endpoint_drift,worst_slope_curve,worst_slope_error,worst_range_curve,worst_range
sharp,0,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
sharp,0.25,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
sharp,0.5,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
sharp,0.65,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
sharp,0.75,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
sharp,0.85,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
sharp,0.92,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0.25,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0.5,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0.65,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0.75,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0.85,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
c_only,0.92,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
P_only,0,all,3,0.27636735532240886,0.175699980330604,0.14003315263460606,0.23125512775395407,0.11060105455986835,0.02861111943855299,0.23125512775395407,389a1,-0.27636735532240886,389a1,0.23125512775395407
P_only,0.25,all,3,0.1768564325578592,0.10772558963492247,0.08457986666022299,0.18657230122804958,0.0851027205994878,0.060208523659084356,0.18657230122804958,389a1,-0.1768564325578592,389a1,0.18657230122804958
P_only,0.5,all,3,0.08744915380220375,0.0647496562965286,0.06050308692234712,0.15119592677498161,0.08239890906889087,0.12519362372358067,0.1345426700712018,389a1,-0.08744915380220375,389a1,0.15119592677498161
P_only,0.65,all,3,0.05431418694087964,0.03319515343806803,0.026972949492359066,0.20079404925381272,0.12510730011810076,0.14574742604139335,0.055202057512789615,37a1,0.05431418694087964,389a1,0.20079404925381272
P_only,0.75,all,3,0.03900104612785826,0.0345193788069895,0.03379915574514788,0.20635909380823936,0.13488062206420012,0.11778480776439082,0.04882378831749756,389a1,0.03900104612785826,389a1,0.20635909380823936
P_only,0.85,all,3,0.14435337897554779,0.1005731650894116,0.08678972263109419,0.2378642457881881,0.17924722540667384,0.07605402100464431,0.11480832612014114,37a1,-0.14435337897554779,37a1,0.2378642457881881
P_only,0.92,all,3,0.2494171780169565,0.1547183887073219,0.11614201959485144,0.30075867058538996,0.2012330629731227,0.07184109228347868,0.18609630580158631,37a1,-0.2494171780169565,37a1,0.30075867058538996
L2_only,0,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
L2_only,0.25,all,3,0.24765740246469692,0.18538050518555613,0.15890520501028685,0.37093593850692397,0.2697520317754643,0.1481947711345999,0.1583504569354952,389a1,0.24765740246469692,389a1,0.37093593850692397
