curve,rank,n,zero_index,gamma,model,parameters,rmse,cv_rmse_mod5,bic,delta_bic_vs_constant,cv_skill_vs_constant,oscillator_coefficient_amplitude,implied_amp_at_K_min,implied_amp_at_K_max,amp_Kmax_over_Kmin
37a1,1,121,1,5.0031700140066588,constant,1,0.046360171125191273,0.046366255678112867,-738.46233522316231,0,0,0,0,0,0
37a1,1,121,1,5.0031700140066588,persistent_zero,3,0.03791931586480575,0.038157811900100369,-777.5079320413256,-39.04559681816329,0.3227283852781101,0.037886464870515155,0.037886464870515155,0.037886464870515155,1
37a1,1,121,1,5.0031700140066588,damped_zero,3,0.037360687852284129,0.037817343183554418,-781.09960191041057,-42.637266687248257,0.33476057738826703,0.38436440600612815,0.055642446856160856,0.027821223428080428,0.5
37a1,1,121,1,5.0031700140066588,damped_zero_plus_1_over_logK,4,0.035036421209165065,0.035476359631325401,-791.84768873995483,-53.38535351679252,0.41457125053899757,0.37425155120641063,0.054178461177558812,0.027089230588779406,0.5
37a1,1,121,2,6.8703912169544319,constant,1,0.046360171125191273,0.046366255678112867,-738.46233522316231,0,0,0,0,0,0
37a1,1,121,2,6.8703912169544319,persistent_zero,3,0.043850443711826656,0.043891272315348513,-742.33947517217109,-3.8771399490087788,0.10390864156433732,0.021442442460554146,0.021442442460554146,0.021442442460554146,1
37a1,1,121,2,6.8703912169544319,damped_zero,3,0.044107705761478752,0.044175945765920217,-740.92385663270795,-2.4615214095456395,0.092247067043104813,0.19946631552666208,0.028875706719600755,0.014437853359800377,0.5
37a1,1,121,2,6.8703912169544319,damped_zero_plus_1_over_logK,4,0.041839651259848523,0.041912792451346874,-748.90325005028149,-10.440914827119173,0.18287378801577858,0.19229860099108764,0.027838073762714854,0.013919036881357427,0.5
37a1,1,121,3,8.014330807872879,constant,1,0.046360171125191273,0.046366255678112867,-738.46233522316231,0,0,0,0,0,0
37a1,1,121,3,8.014330807872879,persistent_zero,3,0.04445674736948365,0.04451349450911711,-739.01635303543753,-0.55401781227521951,0.07832177352865044,0.018483462912763801,0.018483462912763801,0.018483462912763801,1
37a1,1,121,3,8.014330807872879,damped_zero,3,0.044695978550577484,0.044769527413133371,-737.71759106974048,0.7447441534218342,0.067688656055301721,0.16842628485056094,0.024382202039354626,0.012191101019677313,0.5
37a1,1,121,3,8.014330807872879,damped_zero_plus_1_over_logK,4,0.042650360435978078,0.04274218807552968,-744.25896990031288,-5.7966346771505641,0.15021423756976193,0.15100281425416268,0.021859896327481518,0.010929948163740759,0.5
389a1,2,121,1,2.876099071260465,constant,1,0.076357762330099915,0.076365968522530844,-617.70700096862845,0,0,0,0,0,0
389a1,2,121,1,2.876099071260465,persistent_zero,3,0.058858468946408775,0.059050559736242472,-671.10655905153567,-53.39955808290722,0.40207280160476244,0.068002548627433226,0.068002548627433226,0.068002548627433226,1
389a1,2,121,1,2.876099071260465,damped_zero,3,0.059726588966541247,0.059874165604581892,-667.56329986447895,-49.8562988958505,0.38527734321934914,0.64586727967980706,0.093498865202268161,0.046749432601134081,0.5
389a1,2,121,1,2.876099071260465,damped_zero_plus_1_over_logK,4,0.059083162217404596,0.059304123413168097,-665.38868803562423,-47.681687066995778,0.39692676632019896,0.67083998654315602,0.097114034798581467,0.048557017399290733,0.5
389a1,2,121,2,4.4168960836652582,constant,1,0.076357762330099915,0.076365968522530844,-617.70700096862845,0,0,0,0,0,0
389a1,2,121,2,4.4168960836652582,persistent_zero,3,0.065466980177634609,0.065688951862832676,-645.35529901951043,-27.648298050881976,0.26007971056339774,0.055820944857885121,0.055820944857885121,0.055820944857885121,1
389a1,2,121,2,4.4168960836652582,damped_zero,3,0.06515401734672209,0.065396242606016008,-646.51494641836359,-28.807945449735143,0.26665917238914072,0.54754603989260819,0.079265407904445848,0.039632703952222924,0.5
389a1,2,121,2,4.4168960836652582,damped_zero_plus_1_over_logK,4,0.065012445492284784,0.065324652351757814,-642.24556492676902,-24.538563958140571,0.268263892107382,0.55239918561011692,0.07996797270610799,0.039983986353053995,0.5
389a1,2,121,3,5.7934026339283653,constant,1,0.076357762330099915,0.076365968522530844,-617.70700096862845,0,0,0,0,0,0
389a1,2,121,3,5.7934026339283653,persistent_zero,3,0.073380930385173307,0.073417982459619641,-617.73869419746586,-0.03169322883741188,0.075716578355665365,0.030032250484627057,0.030032250484627057,0.030032250484627057,1
389a1,2,121,3,5.7934026339283653,damped_zero,3,0.073580787996413891,0.073656630754104391,-617.08048779829244,0.62651317033601117,0.069697966702616854,0.28369315086579017,0.041068789991586467,0.020534394995793234,0.5
389a1,2,121,3,5.7934026339283653,damped_zero_plus_1_over_logK,4,0.073568416844954437,0.073665258037999462,-612.32538817812031,5.381612790508143,0.069480024347601255,0.28416871258212462,0.04113763460132263,0.020568817300661315,0.5
