p	M_p	T_p_minus_1
100003	-47	-47.8209905487
100019	-45	-47.0795184068
100043	-40	-42.6501702465
100049	-38	-41.7622475399
100057	-38	-41.0802043893
100069	-36	-40.3886951846
100103	-37	-40.3387334251
100109	-36	-40.2264077863
100129	-38	-39.2424741559
100151	-36	-36.8377923108
100153	-37	-37.8123809360
100169	-36	-37.2562289585
100183	-36	-38.0605090835
100189	-36	-38.2492650311
100193	-35	-38.3641414273
100207	-35	-38.3049505516
100213	-33	-37.1135270421
100237	-37	-38.1521064205
100267	-28	-32.9605170252
100271	-28	-33.9918687087
100279	-28	-33.2477430428
100291	-29	-33.9531684701
100297	-31	-35.5755433625
100313	-28	-34.0583710297
100333	-24	-32.0961428051
100343	-23	-30.9482818870
100357	-20	-28.4218055418
100361	-21	-29.3616526563
100363	-21	-30.0368982671
100379	-23	-31.1022080143
100391	-25	-31.7367511957
100393	-26	-32.6560973586
100403	-24	-31.7147754476
100411	-26	-33.9433775312
100417	-25	-33.9650479331
100447	-20	-28.6785479957
100459	-20	-29.3497124177
100469	-20	-29.5358200532
100483	-26	-32.7538123169
100493	-27	-33.7686960949
100501	-31	-36.7812964732
100511	-29	-35.6602933079
100517	-33	-38.7555124932
100519	-33	-39.4526712109
100523	-33	-39.8901162671
100537	-29	-37.5160063429
100547	-30	-38.1656262705
100549	-31	-39.1634680971
100559	-33	-39.9796116241
100591	-29	-36.2088887771
100609	-25	-33.6000804207
100613	-27	-34.9403975821
100621	-27	-34.7720238481
100649	-21	-31.1277762030
100669	-20	-30.7848036503
100673	-23	-32.8231900649
100693	-23	-31.8888245566
100699	-21	-31.2163814999
100703	-23	-32.8252983357
100733	-20	-30.2481689764
100741	-17	-28.7610236539
100747	-17	-28.6733587566
100769	-13	-26.6399714582
100787	-10	-24.0281210937
100799	-11	-24.9039650942
100801	-12	-25.9034789830
100811	-9	-24.2098256930
100823	-7	-22.1773408208
100829	-9	-23.8810829725
100847	-3	-20.6272977603
100943	-3	-18.1459566266
100957	-8	-20.3793231630
100981	-7	-18.9519368526
100987	-12	-22.2358143263
100999	-13	-22.5601942675
101009	-15	-24.1404309362
101021	-18	-26.0278990385
101027	-18	-27.0838083323
101051	-16	-25.0087216713
101063	-15	-23.4347289068
101081	-15	-23.0872061891
101089	-12	-21.8924894596
101107	-12	-22.5534212054
101111	-13	-23.0830614585
101113	-14	-24.0074917931
101117	-16	-25.6537186266
101119	-16	-26.3382752831
101141	-18	-27.7083225445
101149	-17	-27.2116442616
101159	-19	-28.8461263942
101161	-20	-29.8239733692
101173	-18	-30.1488485866
101183	-20	-32.6765142088
101197	-20	-32.8764473621
101203	-17	-31.5437303876
101207	-19	-32.5590885367
101209	-20	-33.6423922280
101221	-20	-34.3007683325
101267	-5	-22.4831139389
101273	-5	-22.2288536410
101279	-8	-24.1152483930
101281	-9	-25.0986508416
101287	-12	-26.9451353843
101293	-12	-27.1952604634
101323	-13	-27.0817822643
101333	-14	-27.1940122020
101341	-20	-31.2759625027
101347	-19	-30.6307312141
101359	-15	-27.6666989107
101363	-16	-28.5316022405
101377	-14	-27.4184646309
101383	-16	-28.9231935531
101399	-19	-30.0789852232
101411	-21	-30.9755467759
101419	-23	-32.3706671477
101429	-20	-30.6252541839
101449	-20	-29.5842015345
101467	-23	-31.8681641194
101477	-25	-33.5185254537
101483	-23	-33.0633438083
101489	-21	-32.2007529358
101501	-27	-35.6602770304
101503	-28	-36.7713585854
101513	-28	-36.4783632293
101527	-31	-39.0470748914
101531	-33	-40.5941370231
101533	-34	-41.7607741424
101537	-33	-41.8335320146
101561	-32	-42.2626992830
101573	-33	-42.6300901328
101581	-32	-42.1076790378
101599	-37	-44.7212531101
101603	-39	-46.2839888982
101611	-44	-50.1751646118
101627	-40	-46.6945792956
101641	-41	-47.2623143093
101653	-44	-49.2484069305
101663	-43	-48.3973883916
101681	-36	-43.5683908994
101693	-39	-44.5096081759
101701	-38	-44.4527085470
101719	-40	-46.5716968936
101723	-43	-48.8167358185
101737	-39	-46.8343271418
101741	-41	-48.6104186141
101747	-39	-47.8765791235
101749	-40	-48.7138142534
101771	-39	-46.9422929646
101789	-37	-45.1966192078
101797	-34	-43.1882347786
101807	-36	-44.7384550495
101833	-31	-41.0886541114
101837	-33	-42.6241406996
101839	-33	-43.3212969673
101863	-34	-42.9167501422
101869	-37	-45.1370072981
101873	-37	-45.6845985790
101879	-39	-46.9997250761
101891	-38	-46.0454565395
101917	-35	-43.8053872981
101921	-38	-45.9505270436
101929	-37	-45.1717353163
101939	-38	-45.8967621573
101957	-33	-42.2085188777
101963	-35	-43.0713107078
101977	-38	-43.8081001337
101987	-37	-44.8377420924
101999	-35	-43.2613789524
102001	-36	-44.2601142464
102013	-36	-45.0466741198
102019	-38	-46.5751032208
102023	-41	-48.9021115569
102031	-44	-50.4018632773
102043	-45	-50.9672594058
102059	-45	-51.7113064295
102061	-46	-52.7108263197
102071	-48	-54.3540280732
102077	-47	-54.1636175421
102079	-48	-55.0556118992
102101	-50	-55.8339309470
102103	-50	-56.6082644566
102107	-52	-58.1344718067
102121	-53	-58.6030293859
102139	-51	-58.0137018048
102149	-53	-59.4119754099
102161	-56	-61.1285983882
102181	-59	-61.9193612086
102191	-60	-63.1197792555
102197	-63	-65.7383413274
102199	-65	-67.0716453058
102203	-66	-67.9791069555
102217	-62	-65.0807221161
102229	-63	-65.1111896711
102233	-65	-66.8419199258
102241	-63	-66.3833422762
102251	-64	-66.6843593164
102253	-65	-67.8509966437
102259	-63	-66.9413423159
102293	-66	-68.5937873073
102299	-68	-70.4393309773
102301	-69	-71.4627816126
102317	-65	-68.9936098066
102329	-72	-73.2596899152
102337	-73	-73.7465094656
102359	-71	-72.0923000604
102367	-73	-74.1415495355
102397	-61	-66.8333593123
102407	-58	-64.8679494095
102409	-59	-65.7898207476
102433	-58	-64.4023129184
102437	-59	-65.1855779155
102451	-59	-65.0004960729
102461	-59	-65.1454825423
102481	-53	-59.7361659227
102497	-55	-60.6593456738
102499	-55	-61.3565007401
102503	-57	-63.0384698086
102523	-52	-59.2809752565
102533	-54	-61.2472508853
102539	-54	-61.5091373897
102547	-52	-60.5237434794
102551	-52	-61.0303921055
102559	-54	-61.6220174772
102563	-57	-63.7476164030
102587	-55	-61.3308694601
102593	-56	-61.3663493007
102607	-60	-64.2051061601
102611	-60	-65.0291312551
102643	-60	-62.9047190495
102647	-62	-64.7984671637
102653	-61	-64.5471703787
102667	-61	-65.0776192084
102673	-63	-65.7988823249
102677	-63	-66.1813102141
102679	-63	-66.8531289093
102701	-58	-62.9439371013
102761	-52	-53.0480487301
102763	-53	-54.0145635896
102769	-55	-56.0814631962
102793	-48	-52.6086026208
102797	-51	-54.7553048192
102811	-53	-55.3733454728
102829	-54	-55.6344778451
102841	-56	-57.3376143235
102859	-53	-55.0968124514
102871	-56	-57.1040835353
102877	-57	-58.2950273897
102881	-57	-58.6403600138
102911	-53	-56.7801580333
102913	-54	-57.7814309654
102929	-53	-57.0616702022
102931	-55	-58.3190781492
102953	-50	-54.0446003998
102967	-48	-52.3038564579
102983	-47	-53.6307337147
103001	-44	-51.2135560350
103007	-46	-53.1408174424
103043	-43	-48.9150953771
103049	-46	-51.2183109016
103067	-41	-47.3805146693
103069	-42	-48.3330023472
103079	-38	-46.8568174877
103087	-37	-46.2975822746
103091	-39	-47.8996163091
103093	-40	-48.8860265057
103099	-42	-49.5475080568
103123	-40	-47.1309772912
103141	-37	-43.8018316151
103171	-38	-43.5016167006
103177	-40	-44.6141896967
103183	-41	-45.6609253146
103217	-32	-38.7601896102
103231	-30	-36.9464574268
103237	-34	-39.6224085911
103289	-32	-35.4403748494
103291	-34	-36.6820148919
103307	-30	-34.7109040758
103319	-28	-34.5435150864
103333	-28	-34.3286994648
103349	-27	-33.3466573492
103357	-30	-35.0924624649
103387	-23	-28.3890281777
103391	-23	-28.5331614872
103393	-24	-29.5400769158
103399	-23	-29.0680364970
103409	-21	-27.3471936036
103421	-18	-25.4860125770
103423	-18	-26.1831659872
103451	-19	-27.3028915473
103457	-18	-26.8616497737
103471	-12	-22.3720831375
103483	-14	-23.9519845055
103511	-12	-23.5359957223
103529	-14	-24.2032607079
103549	-7	-18.5039441912
103553	-9	-19.9923502200
103561	-8	-19.3370545907
103567	-8	-20.3322794328
103573	-10	-21.9473361114
103577	-10	-22.5641595703
103583	-10	-23.2810575895
103591	-8	-21.5890577483
104381	-4	-22.1156767311
104383	-5	-23.1526850274
104393	-5	-22.8373520633
104399	-4	-22.2941825915
104473	-3	-19.6887554494
104701	-3	-18.0593159362
104707	-7	-20.8921383062
104711	-6	-20.6835997642
104717	-8	-22.2129914302
104723	-9	-24.0007647126
104729	-10	-25.1754387124
104743	-9	-25.1272341216
104759	-12	-27.3195914634
104761	-13	-28.3122508753
104773	-14	-29.5784909404
104779	-13	-29.2352123923
104789	-14	-29.9803005405
104801	-19	-32.2984735944
104803	-21	-33.6317783022
104827	-18	-29.7202303447
104831	-19	-31.2599246003
104849	-15	-28.8886638057
104851	-16	-29.8709527898
104869	-20	-32.9456303601
104879	-26	-36.9192181053
104891	-23	-35.5760869453
104911	-21	-32.6052409536
104917	-20	-32.0012985355
104933	-19	-31.9437902115
104947	-22	-33.2321025394
104953	-22	-33.4140660910
104959	-24	-34.6867662136
104971	-24	-35.1373951077
104987	-26	-34.8657804439
104999	-30	-36.7430012410
105019	-27	-33.8219975315
105023	-27	-34.3179583923
105031	-29	-35.2163585115
105037	-31	-37.3461914907
105071	-30	-33.5814850594
105097	-27	-31.3432132747
105107	-27	-31.0917119080
105137	-23	-28.6103390227
105143	-23	-28.6079835104
105167	-18	-25.6358947341
105173	-18	-25.5937518154
105199	-17	-24.7935289322
105211	-19	-25.6544690752
105227	-21	-26.3511903116
105229	-22	-27.2978109828
105239	-25	-28.9041506602
105251	-26	-30.4377579820
105253	-27	-31.4174543297
105263	-26	-31.6120100568
105269	-26	-32.0410081956
105277	-28	-33.1000280460
105319	-32	-32.7710884423
105323	-33	-33.6329077511
105331	-35	-35.7755429210
105337	-33	-35.0645812425
105341	-34	-35.7671384534
105359	-33	-35.9638385560
105361	-34	-36.9305716615
105367	-36	-38.8551008283
105373	-34	-37.9590100548
105379	-34	-37.8245067279
105389	-32	-36.5736098692
105397	-33	-38.0829545162
105401	-35	-39.5870913056
105407	-36	-40.4868675399
105437	-31	-36.9162293941
105449	-30	-35.3840585430
105467	-23	-30.3439754334
105491	-25	-29.7158263985
105499	-25	-30.3581593410
105503	-24	-30.3404576894
105509	-25	-31.4558775994
105517	-23	-30.9755233139
105527	-26	-32.9387303394
105529	-27	-34.0220352442
105533	-28	-35.4882337506
105541	-27	-34.9624778681
105557	-30	-37.2459882026
105563	-30	-37.7056335037
105601	-31	-34.9662470469
105607	-29	-34.4408701778
105613	-27	-33.5548736392
105619	-25	-32.8938164865
105649	-24	-30.8131779152
105653	-25	-32.0812192457
105667	-28	-34.0299812331
105673	-29	-34.4690612008
105683	-31	-36.8212229747
105691	-34	-38.3763195331
105701	-36	-39.0148177875
105727	-33	-36.5405419269
105733	-33	-36.7937776341
105751	-34	-35.2953944644
105761	-33	-34.5714565931
105767	-34	-35.9935659751
105769	-35	-36.9681424064
105817	-28	-32.1998849922
105829	-33	-35.8738055162
105863	-28	-32.0042996087
105871	-29	-32.7401920184
105883	-27	-31.5506926991
105899	-30	-32.5192362191
105907	-29	-32.4120709613
105913	-31	-33.2694978729
105929	-25	-29.4233240690
105943	-25	-30.3291458984
105953	-21	-27.5321364724
105967	-21	-27.3911023634
105971	-22	-28.1848784723
105977	-23	-29.0759294269
105983	-22	-28.4070211575
105997	-20	-27.1170046149
106013	-20	-27.0177075701
106019	-19	-26.5814393263
106031	-18	-26.1894804848
106033	-19	-27.1903387162
106087	-23	-27.6764900561
106103	-20	-25.7050940280
106109	-22	-27.2434728278
106121	-24	-28.3079772838
106123	-24	-28.9895418980
106129	-25	-29.8739848316
106163	-22	-26.0526031371
106181	-21	-26.4173084808
106187	-22	-27.5723164754
106189	-23	-28.7389548902
106207	-20	-27.2300835534
106213	-21	-27.2986637008
106217	-22	-28.1506580847
106219	-23	-29.1190156135
106243	-20	-26.0492972154
106261	-22	-27.5036908114
106273	-20	-26.7293017813
106277	-22	-28.0587247878
106279	-24	-29.3920298932
106291	-27	-30.6317408206
106297	-29	-32.0925060716
106303	-28	-32.4830100912
106307	-29	-33.4712565146
106319	-29	-33.1063868342
106321	-30	-34.0731193398
106331	-28	-33.0336441936
106349	-24	-30.7804656833
106357	-26	-32.3377660561
106363	-27	-33.9032934478
106367	-28	-34.6580275104
106373	-27	-34.3706557223
106391	-30	-35.0043744000
106397	-28	-34.4432929881
106411	-29	-35.6690676461
106417	-29	-36.3935861753
106427	-34	-39.0685595934
106433	-34	-39.2773859600
106441	-37	-40.7879778404
106451	-37	-40.7889244746
106453	-38	-41.8444518484
106487	-33	-38.7834897167
106501	-31	-36.7236961877
106531	-26	-31.7354025382
106537	-25	-31.0608680889
106541	-26	-32.0168154058
106543	-27	-33.0538242849
106591	-23	-28.0506424310
106619	-21	-28.1835260738
106621	-22	-29.0502583941
106627	-23	-30.2724288355
106637	-22	-29.3274903141
106649	-21	-29.0015180370
106657	-22	-29.7669428663
106661	-24	-31.6276978936
106663	-24	-32.3063744606
106669	-22	-31.6790100851
106681	-21	-31.3646075269
106693	-23	-33.5018406483
106699	-25	-34.3600576797
106703	-28	-36.3789654726
106721	-24	-34.2127637043
106727	-25	-35.5323986068
106739	-29	-38.5192218464
106747	-32	-40.1897503387
106751	-33	-41.1402956692
106753	-34	-42.1428717332
106759	-34	-43.2447924515
106781	-33	-43.0365354446
106783	-34	-44.0284348283
106787	-36	-45.5025701076
106801	-33	-42.8103393284
106823	-27	-39.3473636325
106853	-24	-35.4354415251
106859	-23	-35.7133995086
106861	-24	-36.8355687018
106867	-24	-37.3755210930
106871	-26	-38.6070040303
106877	-25	-37.9102985871
106903	-17	-31.4511778298
106907	-18	-32.3831866107
106921	-18	-32.1937494400
106937	-19	-31.8564351595
106949	-22	-33.2529783520
106957	-23	-34.5225356031
106961	-24	-35.6380989744
106963	-26	-36.9714042603
106979	-27	-38.0414456402
106993	-24	-35.9609322107
107021	-20	-33.0809835493
107033	-22	-33.8663903444
107053	-26	-36.1080069433
107057	-26	-36.4917121647
107069	-26	-36.1886925787
107071	-28	-37.4460102213
107077	-28	-37.8067386064
107089	-29	-37.7022954582
107099	-28	-37.8558010388
107101	-29	-38.8629625700
107119	-30	-39.2460636089
107123	-33	-41.2451812493
107137	-31	-39.6477953888
107171	-24	-34.5467405188
107183	-25	-34.3688775487
107197	-20	-31.5352152900
107201	-22	-33.1166326560
107209	-21	-33.1156112352
107227	-19	-32.4187325134
107243	-17	-31.2449620045
107251	-18	-32.1003056707
107269	-16	-30.7649204579
107273	-16	-31.3533901352
107279	-14	-31.2388647298
107309	-13	-28.1475342430
107323	-12	-28.0571693099
107339	-13	-27.3026445015
107347	-18	-30.2795833641
107351	-20	-32.0545819142
107357	-20	-31.7899529074
107377	-23	-33.8562657951
107441	-12	-25.3745312545
107449	-13	-25.0952370266
107453	-14	-25.5546853484
107467	-14	-24.1817209783
107473	-15	-25.6740853148
107507	-12	-21.7443771879
107509	-13	-22.7354383181
107563	-5	-12.5686069815
107923	-4	-10.0845057435
107927	-4	-10.5461610127
107941	-4	-10.7320428477
107951	-5	-11.0676654627
108533	-4	-9.6887251991
108541	-4	-9.4473473541
108553	-7	-12.3099514656
108557	-8	-13.5574415467
108571	-7	-13.3282889178
108587	-4	-10.4497755615
108929	-4	-13.6871459683
108971	-3	-15.3985245449
109423	-3	-17.1736260871
109441	-4	-18.2868092248
109451	-3	-16.8241697243
109453	-4	-17.6814130820
109469	-5	-18.0612060075
109471	-7	-19.3184362988
109481	-5	-18.4920475748
109507	-3	-16.7641254896
109517	-3	-16.4762773838
109519	-5	-17.8095833243
109537	-8	-19.8895607419
109541	-8	-20.5969743711
109547	-7	-19.9276572935
109567	-8	-20.4892537879
109579	-8	-20.9657384203
109583	-7	-21.0726969833
109589	-7	-21.0082867240
109597	-10	-22.6122960113
109609	-8	-20.6288362046
109619	-12	-23.7103032800
109621	-13	-24.7225546939
109639	-9	-21.4958613426
109661	-7	-20.1853714716
109663	-8	-21.1446554532
109673	-6	-20.3668334481
109847	-4	-18.0294886927
109849	-5	-18.9501699977
109859	-8	-20.9928439929
109873	-11	-22.1996416383
109883	-13	-23.7294049180
109891	-12	-23.9561340498
109897	-16	-26.9462285765
109903	-16	-27.7734669910
109913	-14	-26.6003897237
109919	-12	-25.8962767082
109937	-10	-23.5625269154
109943	-13	-25.9928869073
109961	-12	-25.2955625152
109987	-13	-25.7256162133
110017	-13	-24.9602724223
110023	-11	-24.3242749697
110039	-13	-25.2495764800
110051	-14	-25.6247984291
110059	-15	-25.3286318100
110063	-17	-27.2135111532
110069	-19	-28.7551245814
110083	-19	-28.6992649627
110119	-7	-19.2891885130
110129	-5	-19.0301235581
110977	-4	-13.7440636629
110989	-5	-13.8615143657
111127	-3	-11.1238480538
111143	-6	-12.7142952234
111149	-4	-12.0125176485
111253	-4	-8.4754009915
111263	-3	-8.3499480674
111269	-3	-8.6141919376
111271	-3	-9.3475881808
125693	-3	-27.9701269022
125707	-4	-28.3209507434
125711	-3	-28.5126362713
125717	-4	-29.3694357106
125731	-5	-30.9189137347
125737	-4	-30.5130820220
125789	-3	-29.3448161643
125791	-5	-30.5729980547
125803	-6	-30.8652801302
125813	-4	-30.3108936495
125821	-4	-30.0730322554
129641	-4	-30.6614023561
129643	-6	-31.9575949479
129671	-5	-28.3945327068
129707	-9	-29.4151747267
129719	-7	-27.1066680381
129733	-13	-30.6060281908
129737	-15	-31.9373464893
129749	-14	-31.4241690104
129757	-12	-30.2352072366
129763	-11	-30.1536374144
129769	-13	-31.7214974802
129793	-8	-28.8677126344
129803	-6	-28.8082204110
129841	-10	-28.7325875792
129853	-7	-25.8284990157
129887	-7	-24.8713235266
129893	-7	-25.3431298442
129901	-11	-28.2278004253
129917	-9	-27.1407398283
129919	-9	-27.8139413861
129937	-8	-26.2742787380
129953	-7	-25.0076145850
129959	-7	-25.3916673221
129967	-8	-25.4852700591
129971	-8	-26.2241410707
130003	-4	-20.9564389800
130021	-3	-20.6855934774
130043	-5	-21.0018862286
130051	-7	-22.6783575682
130057	-6	-22.5415978527
130069	-4	-21.3653788004
130073	-7	-23.5482964166
130079	-10	-25.7518267341
130087	-11	-26.4577616362
130099	-15	-28.1952776187
130121	-14	-27.3106893356
130127	-15	-28.5193597360
130147	-11	-25.1110953940
130171	-11	-23.6606058962
130183	-8	-22.4868418063
130199	-3	-19.1686542732
130201	-4	-20.1797065005
130279	-4	-24.2865148204
130307	-3	-22.6730406414
130337	-3	-21.9748701083
130343	-4	-23.0556220414
130349	-5	-24.3692355479
130363	-8	-26.3800995648
130367	-8	-26.8391052892
130369	-9	-27.8302610943
130379	-9	-28.2677703051
130399	-6	-26.2628507910
130409	-10	-29.2268168095
130411	-11	-30.2349066798
130423	-15	-32.4511204756
130439	-22	-37.2603908075
130447	-21	-36.6896589219
130457	-20	-35.5507320615
130469	-19	-34.9714189140
130477	-21	-37.0039986020
130483	-19	-35.8304893876
130489	-22	-37.5648439469
130513	-24	-37.1159419834
130517	-25	-38.2736116323
130523	-27	-39.3285961469
130531	-29	-40.7154740522
130547	-30	-40.5799125016
130553	-29	-39.9142001500
130579	-25	-37.9968652602
130589	-24	-37.5517441463
130619	-20	-35.1732156710
130621	-21	-36.2871262513
130631	-21	-35.9908165447
130633	-22	-37.0741269127
130639	-24	-38.6835643283
130643	-27	-40.7010891443
130649	-25	-39.9583993718
130651	-26	-41.0068876993
130657	-27	-42.4350777369
130681	-27	-41.1657209961
130687	-28	-42.9112056268
130693	-28	-43.9240517839
130699	-30	-44.9899573614
130729	-24	-40.2568224860
130769	-18	-35.0620642170
130783	-17	-33.7497799210
130787	-18	-34.8133310183
130807	-18	-33.2148694557
130811	-19	-34.5160682711
130817	-18	-33.8562437425
130829	-20	-34.8903858145
130841	-17	-33.2759588056
130843	-18	-34.3129729142
130859	-18	-35.2214912263
130873	-17	-34.3217405729
130927	-11	-28.2583139607
130957	-9	-25.1629254146
130969	-13	-27.7532511520
130973	-14	-29.3176387659
130981	-14	-29.5919474126
130987	-14	-29.7110172143
131009	-11	-25.9675244845
131011	-13	-27.2093304534
131023	-14	-27.7452674635
131041	-14	-26.6282597068
131059	-16	-26.8368836251
131063	-18	-28.5175340581
131071	-20	-29.0112100827
131101	-19	-29.1586734190
131111	-18	-29.2957988409
131113	-19	-30.3050352189
131129	-20	-31.0736086051
131143	-17	-28.1010535043
131149	-17	-28.1922605873
131171	-15	-26.4097923678
131203	-11	-21.5723531017
131213	-12	-21.3988052380
131221	-12	-22.5443925262
131231	-11	-22.5750934599
131249	-6	-18.1825352816
131251	-7	-19.1821619482
131267	-4	-18.5644302548
131293	-3	-16.8077202034
131297	-4	-17.8693255323
131639	-3	-18.5041205188
131641	-4	-19.4375070274
131777	-3	-18.6979395068
131779	-4	-19.8090278523
131783	-5	-20.4659616283
131797	-8	-22.4471546736
131837	-9	-21.7645095903
131839	-11	-23.0397488991
131849	-11	-23.6099677765
131861	-6	-19.7759222493
131891	-5	-17.4389989301
131893	-6	-18.2784963977
131899	-8	-18.9541371684
131909	-5	-17.1756260748
131927	-6	-19.0366305612
131933	-7	-20.3700343320
131939	-6	-20.1538476622
131941	-7	-21.1094562721
131947	-10	-22.9743536694
131959	-9	-22.0590492942
131969	-5	-19.4278914100
132047	-3	-15.8435624384
132049	-4	-16.8317409795
132059	-3	-17.1625502328
132313	-3	-14.5355112392
132329	-4	-15.7228306334
132331	-6	-16.9646427697
132347	-5	-15.5160384116
132361	-4	-14.6410589661
132367	-5	-15.7034077415
132371	-6	-16.3006141202
132383	-6	-16.3159087585
132409	-4	-13.6828030657
132437	-7	-14.7854705547
132439	-9	-16.1187812359
132469	-13	-16.7449693263
132491	-8	-13.1466997726
132499	-8	-12.3689669950
132511	-10	-13.5111161000
132523	-13	-15.8634168809
132527	-13	-16.5848858445
132529	-14	-17.5471504225
132533	-15	-18.9682924907
132541	-16	-19.3239096113
132547	-17	-20.1956138116
132589	-13	-15.2965644408
132607	-16	-16.3675502796
132611	-15	-16.3096687969
132619	-18	-18.3834326673
132623	-19	-18.9563689483
132631	-20	-20.1186110211
132637	-21	-21.2003285966
132647	-23	-22.7359983127
132661	-27	-25.0237505552
132667	-29	-26.1400940976
132679	-29	-26.0430647170
132689	-27	-25.3390307280
132697	-27	-26.2850731956
132701	-28	-27.2560409352
132707	-28	-27.4135679530
132709	-29	-28.5802120135
132721	-27	-27.9125283510
132739	-28	-29.0609227198
132749	-28	-29.3377476068
132751	-29	-30.3342447819
132757	-29	-31.0103774258
132761	-31	-32.6201393818
132763	-33	-33.8934630738
132817	-34	-31.4463881748
132833	-29	-28.0480819179
132851	-30	-29.1420036844
132857	-30	-29.3214429724
132859	-31	-30.3124032457
132863	-32	-31.6242002069
132887	-36	-34.2423757985
132893	-36	-34.2541293749
132911	-36	-34.2809900910
132929	-39	-36.2153894072
132947	-42	-36.9083153146
132949	-43	-37.9268112679
132953	-43	-38.3553917595
132961	-44	-38.3892764003
132967	-44	-38.7190514693
132971	-47	-40.8920971685
132989	-47	-40.3567282348
133013	-47	-40.8371570723
133033	-46	-40.6347766004
133039	-47	-41.1726238514
133051	-48	-41.6589281257
133069	-44	-39.1175842831
133073	-43	-39.0457558591
133087	-43	-39.7340029004
133097	-42	-38.8561748074
133103	-42	-39.2816612164
133109	-44	-41.2891777550
133117	-43	-41.3473595190
133121	-45	-43.0323969210
133153	-40	-39.2601323072
133157	-42	-40.2776433169
133169	-43	-40.6271612051
133183	-45	-41.5703933183
133187	-44	-41.5631889361
133201	-43	-41.2175384195
133213	-42	-39.3897147047
133241	-41	-39.5761643817
133253	-38	-37.1420235842
133261	-39	-37.8479056733
133271	-44	-39.8786479118
133277	-47	-42.1145992033
133279	-47	-42.7861353907
133283	-49	-44.4952124739
133303	-46	-42.6903054421
133319	-45	-41.0874719548
133321	-46	-42.1474704546
133327	-47	-42.9613443783
133337	-46	-42.5426972280
133349	-45	-41.6935775070
133351	-46	-42.7389243386
133379	-42	-38.4415791656
133387	-44	-39.1018815428
133391	-46	-40.0296443270
133403	-48	-42.0531083815
133417	-45	-39.7950277853
133439	-45	-40.3190779341
133447	-46	-42.0329952321
133451	-46	-42.3986194174
133481	-45	-39.5730817050
133493	-42	-37.1074003061
133499	-40	-36.2092965704
133519	-39	-35.5980375962
133541	-41	-36.4282989956
133543	-42	-37.4653135677
133559	-40	-34.8793141573
133571	-36	-32.2720207079
133583	-35	-31.6351650743
133597	-34	-30.1822192119
133631	-34	-29.9779387050
133633	-35	-30.9783502830
133649	-34	-29.6454415438
133657	-35	-30.4043793042
133669	-37	-30.5389679761
133673	-40	-32.5526763602
133691	-38	-30.9755781307
133697	-39	-32.3834303013
133709	-41	-33.5620209735
133711	-41	-34.2954066588
133717	-44	-36.6335078410
133723	-44	-37.2817733433
133733	-41	-36.0943863994
133769	-36	-32.0404012275
133781	-37	-33.2853477339
133801	-32	-30.2655095348
133811	-34	-31.8183383907
133813	-35	-32.8131295903
133831	-36	-32.0830631930
133843	-37	-31.9340643710
133853	-35	-30.5269875886
133873	-32	-30.3603996014
133877	-32	-30.6690294004
133919	-14	-18.6331215169
133949	-9	-13.4743348507
133963	-9	-13.6862800867
133967	-10	-14.8309386593
133979	-11	-15.2579905477
133981	-12	-16.1576696042
133993	-16	-18.7481529801
133999	-15	-18.8290534799
134033	-12	-15.3781900307
134039	-14	-17.6909260721
134047	-11	-15.5713767463
134053	-10	-15.0605601354
134059	-14	-17.8017620399
134077	-13	-16.5719231179
134081	-12	-16.5975018339
134087	-10	-15.4094812013
134089	-11	-16.3289296231
134093	-13	-18.1012344535
134129	-11	-15.3898735269
134153	-11	-13.6292018109
134161	-14	-16.5287141810
134171	-14	-16.7476802993
134177	-15	-17.5061881174
134191	-18	-19.4400354873
134207	-19	-19.2091300506
134213	-20	-19.3293933045
134219	-24	-21.9373058238
134227	-24	-21.5292390931
134243	-23	-21.4776235460
134257	-27	-24.9938517362
134263	-27	-25.8524557335
134269	-27	-26.0541072859
134287	-27	-26.2599877920
134291	-27	-27.0592812606
134293	-28	-28.0512316373
134327	-21	-22.2579802613
134333	-21	-21.6910259047
134339	-23	-23.4285051064
134341	-24	-24.2952238797
134353	-29	-27.0952214986
134359	-30	-28.2633214371
134363	-30	-28.6410843293
134369	-29	-28.5143962518
134371	-30	-29.4255594578
134399	-23	-25.7663325842
134401	-24	-26.7659680008
134417	-25	-26.2960666445
134437	-15	-20.8352385640
134443	-15	-21.1767252675
134471	-11	-17.2032652719
134489	-13	-16.4682369427
134503	-10	-15.1324070756
134507	-12	-16.4956827565
134513	-14	-17.4454932350
134581	-6	-11.2275089061
134587	-10	-14.0282100813
134591	-11	-14.8680865901
134593	-12	-15.8784809671
134597	-14	-17.6100335455
134609	-12	-16.4447263021
134639	-5	-10.5934757791
134669	-7	-10.7472714355
134677	-7	-10.6145232876
134681	-6	-10.5248539480
134683	-8	-11.8581650066
134699	-8	-12.7130231311
134707	-12	-15.0153760844
134731	-13	-15.0544527214
134741	-11	-14.5679662775
134753	-8	-12.5108003382
134777	-9	-13.0723568828
134789	-8	-12.6009443302
134807	-4	-9.4307655973
134857	-3	-8.7190706329
134887	-3	-8.5192282253
135511	-4	-14.6385290118
135671	-6	-19.5195735806
135697	-6	-19.6144722964
135701	-7	-20.3837521817
135721	-3	-17.5986080492
135727	-5	-18.7859928838
135731	-6	-19.8630811073
135743	-6	-19.8758457504
135757	-10	-22.9115397770
