p	M_p	T_p_minus_1
846403	-197	-118.0634180104
846563	-177	-101.5301136695
846739	-161	-86.9533269655
846877	-155	-88.7841956919
846977	-160	-94.9969895251
847079	-164	-101.2997454316
847193	-167	-102.2189470802
847309	-169	-102.5871379596
847493	-155	-89.5548126887
847601	-158	-92.7494325084
847727	-166	-103.0572039516
847901	-154	-95.2361168365
848017	-166	-103.8736704932
848201	-156	-91.8863062473
848363	-144	-86.9925550509
848473	-146	-89.0812449953
848611	-151	-94.6099429253
848737	-153	-97.4987678615
848843	-149	-94.4077061740
848933	-145	-96.2180878380
849097	-146	-93.1920714240
849217	-145	-94.1765045503
849353	-138	-88.3923246125
849539	-128	-79.7372392665
849703	-120	-73.3439189942
849833	-120	-75.2512510309
849973	-129	-75.6860701254
850063	-144	-85.2020236226
850207	-152	-89.2971738773
850303	-166	-99.6549753125
850417	-177	-106.7167789247
850571	-161	-97.7805620713
850781	-161	-95.4717035362
850951	-150	-82.0114286433
851093	-158	-88.9272734436
851209	-156	-87.1181783381
851321	-160	-92.2516961412
851419	-167	-100.4179387553
851573	-170	-99.3991470338
851689	-167	-99.0420621100
851831	-167	-98.8799543005
852011	-163	-94.7886931414
852151	-163	-93.5296186799
852259	-165	-93.7966659194
852427	-167	-93.9490533843
852583	-167	-90.7120404928
852749	-175	-94.2328971809
852833	-164	-89.7971838113
852953	-175	-96.7686421082
853091	-185	-100.6882912671
853283	-167	-85.4994541419
853439	-162	-79.4954163178
853637	-148	-65.8541820469
853759	-138	-64.2440436617
853873	-138	-64.5491762094
854017	-140	-67.3157289962
854111	-133	-67.8246908155
854299	-118	-52.0685751645
854407	-122	-56.0625999057
854527	-116	-53.5574122992
854683	-125	-54.7932199203
854897	-109	-45.4469063108
854999	-109	-48.0484336813
855187	-95	-39.7650151208
855293	-103	-41.0589290876
855401	-104	-43.1334579164
855581	-95	-38.8524168706
855713	-114	-48.2349368895
855821	-124	-55.9458591906
855947	-113	-50.7420976837
856099	-108	-47.5202525655
856213	-119	-56.1837703888
856351	-120	-57.9110640219
856469	-114	-55.0473088284
856571	-129	-65.9698230077
856721	-125	-63.2086360744
856847	-127	-65.2772096879
856969	-129	-67.2153963216
857081	-131	-70.8564651720
857249	-131	-69.5280971855
857357	-127	-67.4547613180
857539	-128	-65.3472092064
857669	-128	-68.2304935806
857749	-127	-72.7832532789
857929	-128	-68.2131518702
858043	-127	-68.4780242058
858217	-131	-71.0340498349
858301	-122	-69.9161266070
858467	-114	-64.0482766465
858673	-113	-63.9443509663
858787	-111	-61.7556568145
858919	-113	-66.0832688493
859049	-114	-66.6565814839
859213	-107	-61.0044726406
859361	-102	-57.4067399579
859493	-93	-51.2577182363
859619	-97	-52.1866089459
859783	-100	-54.2674545371
859913	-94	-53.8808770771
860029	-94	-54.8299748345
860117	-84	-53.7215904328
860323	-91	-55.6454870170
860413	-84	-54.5277565111
860569	-88	-56.8125069519
860689	-86	-57.1299185513
860819	-114	-73.9549507555
860939	-132	-88.5793848015
861043	-139	-93.1459314011
861163	-148	-97.0244507927
861353	-138	-90.9463436207
861547	-125	-77.0964598679
861659	-126	-79.3818218965
861799	-116	-73.8969156031
861901	-122	-80.4967247810
862013	-128	-83.2564846145
862157	-124	-79.1851709115
862241	-136	-87.4790369878
862331	-149	-99.3564242037
862447	-158	-109.6657472275
862567	-152	-111.8159457803
862703	-149	-111.8761830305
862879	-143	-104.2322000214
862991	-156	-112.5459517006
863143	-147	-107.1345331633
863323	-151	-107.2621166810
863539	-145	-98.2569369335
863729	-134	-88.7114763833
