curve,K,c_K,E_K,D_K,D_K_times_zeta2,D_K_zeta2_minus_1,scale_label,scale_value,rank,normalization_name,normalization_status,normalized_value,L2E_estimate,L2E_prime_count,L2E_max_p,Sym2_good_partial_estimate,Sym2_good_prime_count,Sym2_bad_primes_deferred
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D,COMPUTED_FROM_SOURCE_D_K,0.429413056780893457267339,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,0.706356165848323452703544,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.764815751357308093013314,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.12499373287029516039432,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.85054051618910189389392,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.171565900422381262135589,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186,1,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.282214594314265459262365,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D,COMPUTED_FROM_SOURCE_D_K,0.386750091861477747598836,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,0.636178401459625752351316,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.688829921269653362858843,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.01322356798567800543584,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.66668596431315176767070,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.154520517485125174933143,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804,1,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.254176063238299436430018,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D,COMPUTED_FROM_SOURCE_D_K,0.363773020847370909076468,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,0.598382634592130488035442,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.647906093840225605450776,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,0.953027305942869871911281,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.56766708218201385769275,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.145340354433828692138364,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738,1,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.239075300296000489423666,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D,COMPUTED_FROM_SOURCE_D_K,0.343511905811545461817065,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,0.565054436237370386002968,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.611819580692190419223246,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,0.899946415466132215631014,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.48035251713818849175847,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
