N	T(N)	T_over_sqrtN	abs_T_over_sqrtN
1071519	210.5457088569	0.2033978961	0.2033978961
1188502	-226.6309524306	-0.2078831388	0.2078831388
1318256	-83.1907454380	-0.0724561306	0.0724561306
1462177	-93.2191886294	-0.0770912956	0.0770912956
1621810	111.3928442987	0.0874696334	0.0874696334
1798870	237.1007682240	0.1767799764	0.1767799764
1995262	-96.3475363265	-0.0682088376	0.0682088376
2213094	-156.3072406891	-0.1050701050	0.1050701050
2454708	193.0378997194	0.1232090658	0.1232090658
2722701	-83.3311069890	-0.0505018370	0.0505018370
3019951	94.4617501403	0.0543570701	0.0543570701
3349654	-282.7979977808	-0.1545170314	0.1545170314
3715352	26.1073398200	0.0135444894	0.0135444894
4120975	46.2506153737	0.0227833470	0.0227833470
4570881	116.5366482088	0.0545082910	0.0545082910
5069907	-381.3735180418	-0.1693754791	0.1693754791
5623413	32.5315498861	0.0137184411	0.0137184411
6237348	208.3252835150	0.0834145851	0.0834145851
6918309	-73.6143365766	-0.0279873916	0.0279873916
7673614	-188.5084762117	-0.0680504354	0.0680504354
8511380	223.1189376806	0.0764779861	0.0764779861
9440608	-64.8256338315	-0.0210982673	0.0210982673
10000000	606.7254646887	0.1918634383	0.1918634383
10471285	467.5853503590	0.1444976906	0.1444976906
11614486	-331.4914268474	-0.0972685190	0.0972685190
12882495	-892.4693952081	-0.2486527924	0.2486527924
14288939	218.3461253402	0.0577624357	0.0577624357
15848931	434.8250429872	0.1092231157	0.1092231157
17579236	-689.2906056701	-0.1644002075	0.1644002075
19498445	-310.8669100013	-0.0704002996	0.0704002996
21627185	16.8020631226	0.0036129555	0.0036129555
23988329	489.8115771448	0.1000066887	0.1000066887
26607250	167.7525685067	0.0325213963	0.0325213963
29512092	239.5398396323	0.0440938232	0.0440938232
32734069	-1149.1922330489	-0.2008596425	0.2008596425
36307805	914.0726220203	0.1516982966	0.1516982966
40271703	-694.3789013148	-0.1094199517	0.1094199517
44668359	218.7255046533	0.0327264900	0.0327264900
49545019	37.5225428911	0.0053307985	0.0053307985
54954087	980.6294864658	0.1322832783	0.1322832783
60953689	406.9301590143	0.0521218570	0.0521218570
67608297	-737.2462696616	-0.0896628596	0.0896628596
74989420	-963.3849701193	-0.1112499615	0.1112499615
83176377	-474.0638173773	-0.0519800640	0.0519800640
92257142	1374.1398558706	0.1430641892	0.1430641892
100000000	1123.0700057269	0.1123070006	0.1123070006
102329299	312.9610161900	0.0309378581	0.0309378581
113501081	-1936.5058514569	-0.1817685801	0.1817685801
125892541	235.8897899836	0.0210236997	0.0210236997
139636836	1091.5650718659	0.0923739746	0.0923739746
154881661	1458.8733365435	0.1172242838	0.1172242838
171790838	-888.2897194013	-0.0677726764	0.0677726764
190546071	-2073.3243937156	-0.1501990751	0.1501990751
211348903	1633.4477190959	0.1123583207	0.1123583207
234422881	2420.0490486899	0.1580607974	0.1580607974
260015956	-712.5461333993	-0.0441888794	0.0441888794
288403150	1044.7734857008	0.0615208239	0.0615208239
319889510	-128.8652010806	-0.0072050277	0.0072050277
354813389	1756.3810707406	0.0932435389	0.0932435389
393550075	-302.2954240850	-0.0152381265	0.0152381265
436515832	-97.9000871720	-0.0046857928	0.0046857928
484172367	-2873.6266330552	-0.1305961399	0.1305961399
537031796	3909.9739618091	0.1687228355	0.1687228355
595662143	-1603.7270689536	-0.0657098476	0.0657098476
660693448	-3777.9618067166	-0.1469797699	0.1469797699
732824533	370.2760371039	0.0136780947	0.0136780947
812830516	-798.9481345931	-0.0280232555	0.0280232555
901571137	5169.3826187946	0.1721625467	0.1721625467
999999999	-519.6323042651	-0.0164322163	0.0164322163
1000000000	-519.6323042611	-0.0164322163	0.0164322163
