N	T_N	T_N_over_logN	neg_T_logN_over_N	notes
10	-0.687698412698413	-0.298663625848546	0.687698412698413	near-flip: T(N) > -1; c'=1 form fails
50	-4.96811675328799	-1.26996102691484	4.96811675328799	
100	-3.63586570357304	-0.789518206001527	3.63586570357304	
500	-11.3339148603321	-1.82375375580153	11.3339148603321	
1000	-8.19342982563858	-1.18612045371212	8.19342982563858	
5000	-11.4713642084669	-1.34684795221363	11.4713642084669	
10000	-27.1479327735104	-2.947549349654	27.1479327735104	
50000	-7.02919468738194	-0.649661619915999	7.02919468738194	
100000	-49.0155757469393	-4.25743881484132	49.0155757469393	
500000	-37.8674574459334	-2.88571931418529	37.8674574459334	
1000000	139.629678512919	10.1067331480143	-139.629678512919	POLYA-FLIP! T(N) > 0, (MERTENS-LB) DISPROVED at this N
