curve,K,rank,c_K,E_K,D_K,D_K_zeta2,L2E_partial,L2E_rank_power,D_zeta2_over_L2E_rank,C_mix_good,D_mix_good,C_2_good,D_2_good,p_max,good_prime_count,ap_cache_max,ap_extended_count,product_complete
37a1,1000,1,20.147808211575867,0.021313139983840705,0.4294130567808917,0.70635616584832051,0.38166426104492451,0.38166426104492451,1.8507265100338475,2.1748597160216643,0.3247824035015987,1.8523677650739807,0.38132609472401918,997,167,99991,68906,True
37a1,3000,1,23.946137343569305,0.01615083411209679,0.38675009186147391,0.63617840145961946,0.38159008905305725,0.38159008905305725,1.6671774758048383,2.1833756438056304,0.2913737740294467,1.8593935110999786,0.34214296095035285,2999,429,99991,68906,True
37a1,10000,1,27.925452718688394,0.013026575594383,0.36377302084736263,0.59838263459211682,0.38157704685050647,0.38157704685050647,1.5681829909086487,2.1799414188863926,0.27449482330483738,1.8564844469712924,0.32232030576304088,9973,1228,99991,68906,True
37a1,30000,1,31.678147125825216,0.01084381306921482,0.3435119058115334,0.56505443623735052,0.38157505137604675,0.38157505137604675,1.4808474353856083,2.179733086451519,0.25923102225200739,1.85631676260626,0.3043954822904345,29989,3244,99991,68906,True
37a1,100000,1,35.613775142871255,0.010546896055589288,0.37561478457899267,0.61786155516584285,0.38157555405900961,0.38157555405900961,1.6192377855272464,2.1800412219150953,0.28341737254998856,1.8565760072759636,0.33279626190601913,99991,9591,99991,68906,True
37a1,300000,1,39.385162121232383,0.009706380930633321,0.38228738656343181,0.62883754548456594,0.38157546984568919,0.38157546984568919,1.6480030693243217,2.1795850406369648,0.28851250754629587,1.8561884093335381,0.33877894200963637,299993,25996,99991,68906,True
37a1,1000000,1,43.066209759167663,0.0090959216766497743,0.39172687087955921,0.64436487480964344,0.38157543589059822,0.38157543589059822,1.6886959017833365,2.1800428937412679,0.29557440207234659,1.8565782325697615,0.347071221403772,999983,78497,99991,68906,True
11a1,1000,0,3.8534284234510396,0.19182300422277251,0.73917621674380041,1.2158961403258657,0.54604786734452382,1,1.2158961403258657,1.396598144574337,0.87061274214742235,1.1565060362548678,1.0513530428801927,997,167,99991,68906,True
11a1,3000,0,4.118706016114098,0.16297780937522394,0.6712576839668315,1.1041746319906816,0.54602137063872902,1,1.1041746319906816,1.3997906138871912,0.78881414194113664,1.1591244881046627,0.95259365436767518,2999,429,99991,68906,True
11a1,10000,0,3.8296192861649048,0.17639956041363192,0.67554315863105607,1.1112239552584795,0.54604444648364758,1,1.1112239552584795,1.3995910029771321,0.79396334564508186,1.1590018552989609,0.95877668372829539,9973,1228,99991,68906,True
11a1,30000,0,4.1037325288221442,0.16956096834235304,0.69583286140509604,1.144599178557723,0.54604603201285218,1,1.144599178557723,1.3994482842321803,0.817893159364383,1.1588767508700804,0.98767981815008554,29989,3244,99991,68906,True
11a1,100000,0,4.0047561121831059,0.17974744562515352,0.71984468151663406,1.1840970394662231,0.54604781789092094,1,1.1840970394662231,1.3989201312602138,0.84643648554798634,1.1584424874563723,1.0221457278092254,99991,9591,99991,68906,True
11a1,300000,0,4.1640733199025082,0.17921537527889808,0.74626596271517498,1.2275583049994796,0.54604797121506099,1,1.2275583049994796,1.3992546817212936,0.87729440611154386,1.1587189136318958,1.0594099143094273,299993,25996,99991,68906,True
11a1,1000000,0,3.8279107011232933,0.17554856726446713,0.67198423919851602,1.1053697674427263,0.54604800914930474,1,1.1053697674427263,1.3992174473705596,0.78999141235692971,1.1586881034468204,0.95398387551793729,999983,78497,99991,68906,True
389a1,1000,2,37.437233881897733,0.003050769113509474,0.11421235682212399,0.18787179659173719,0.36011312749674274,0.1296814645954853,1.4487174183123601,2.6252649899722997,0.071562984045172334,2.095650967661816,0.089648419269622789,997,167,99991,68906,True
389a1,3000,2,49.229072333537232,0.0026699124812858271,0.13143731466543385,0.21620571654822213,0.3601109895150969,0.12967992476954224,1.6672258017765453,2.6439806929859975,0.081772804590357559,2.1104482309571928,0.10244540158663931,2999,429,99991,68906,True
389a1,10000,2,63.778908116194607,0.0015717195238145801,0.10024255509379924,0.16489239382170059,0.36008959106903216,0.1296645135962628,1.2716848214549052,2.6409917022884764,0.06243578640509085,2.1079638702326431,0.07822353890890095,9973,1228,99991,68906,True
389a1,30000,2,78.584916696985445,0.0015055867458350794,0.11831640900153512,0.19462269183377326,0.3600934891672371,0.1296673209406351,1.5009386360567774,2.6436543323943122,0.07361881220587066,2.1101141496631937,0.092233252814705791,29989,3244,99991,68906,True
389a1,100000,2,96.746253328920005,0.001210892509481165,0.11714931347635646,0.19270289664514076,0.36009310688533447,0.12966704562633291,1.4861362477592106,2.6433983233125606,0.072899681801892102,2.1099079086603973,0.091332373253906543,99991,9591,99991,68906,True
389a1,300000,2,114.79162023141416,0.0012147467635044637,0.13944274915354388,0.22937412845763602,0.36009314981098611,0.12966707654079729,1.7689465558781823,2.6425750149572056,0.086799476707135434,2.1092505759891447,0.10874674212193577,299993,25996,99991,68906,True
389a1,1000000,2,137.13660888176562,0.00087282623130055222,0.11969642950360933,0.19689273457058412,0.36009289173716952,0.12966689067963688,1.5184503425553684,2.6422994774406723,0.074515677065225841,2.1090297960074773,0.093357018920886811,999983,78497,99991,68906,True
