curve,K,c_K,E_K,D_K,D_K_times_zeta2,D_K_zeta2_minus_1,scale_label,scale_value
37a1,1000,20.147808211575911549662787725,0.021313139983840745216584732861,0.429413056780893457267338500224,0.706356165848323452703544499104,-0.293643834151676547296455500896,c_K / log K,2.9166939762441477629443571186
37a1,3000,23.9461373435693692058540940492,0.0161508341120969056327252989636,0.386750091861477747598836151723,0.636178401459625752351315772557,-0.363821598540374247648684227443,c_K / log K,2.99088658386404993597648229804
37a1,10000,27.9254527186885764259843042531,0.0130265755943832113959597671095,0.363773020847370909076468008191,0.598382634592130488035441844074,-0.401617365407869511964558155926,c_K / log K,3.03196750509415262642308296738
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971
11a1,30000,4.10373252882216125438151122054,0.16956096834235249268361991403,0.695832861405096622694145292675,1.14459917855772388910119734836,0.144599178557723889101197348356,c_K (constant),4.10373252882216125438151122054
11a1,100000,4.00475611218316189036890149171,0.179747445625154350210848475157,0.719844681516647426879968522739,1.18409703946624518760259078281,0.18409703946624518760259078281,c_K (constant),4.00475611218316189036890149171
389a1,1000,37.4372338818977573237524691446,0.00305076911350946345984227305258,0.114212356822123670567669576316,0.187871796591736668610067140932,-0.812128203408263331389932859068,c_K / (log K)²,0.784566690431714108202512398709
389a1,3000,49.2290723335374399373037756204,0.00266991248128582219056620965809,0.131437314665434167063309265762,0.216205716548222659120937326776,-0.783794283451777340879062673224,c_K / (log K)²,0.767981225570418536065075954748
389a1,10000,63.7789081161945379183728573092,0.00157171952381458236638362952057,0.100242555093799281610924221783,0.164892393821700648978239723865,-0.835107606178299351021760276135,c_K / (log K)²,0.751840505833953043968938798307
389a1,30000,78.5849166969843563128476618906,0.00150558674583508338608321334289,0.118316409001533786667365458825,0.194622691833771077922709842167,-0.805377308166228922077290157833,c_K / (log K)²,0.73945220188983606111034956759
389a1,100000,96.7462533289193451245011564822,0.00121089250948111818797558669446,0.117149313476351130171480870229,0.192702896645132004101904506985,-0.807297103354867995898095493015,c_K / (log K)²,0.729899000795319239940772340072
