curve,rank,conductor,K,alpha,mode,smooth_c,smooth_P,smooth_L2,c,P,D,D_zeta2,L2,L2_rank_power,X,p_max,prime_count,ap_cache_in,ap_cache_max_in,ap_extended_count,product_complete
37a1,1,37,1000,0.5,sharp,False,False,False,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38166426104492446,0.38166426104492446,1.8507265100338568,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,c_only,True,False,False,19.744506960901326,0.021313139983840761,0.42081744076960825,0.69221694424581437,0.38166426104492446,0.38166426104492446,1.8136802810686425,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,P_only,False,True,False,20.14780821157591,0.017605483900973967,0.35471191310881078,0.58347770978959079,0.38166426104492446,0.38166426104492446,1.528772194158655,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,L2_only,False,False,True,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38157566983510627,0.38157566983510627,1.8511561970226456,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,cP_only,True,True,False,19.744506960901326,0.017605483900973967,0.34761159943281672,0.57179816193863986,0.38166426104492446,0.38166426104492446,1.4981705658611177,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,cL2_only,True,False,True,19.744506960901326,0.021313139983840761,0.42081744076960825,0.69221694424581437,0.38157566983510627,0.38157566983510627,1.8141013669580881,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,PL2_only,False,True,True,20.14780821157591,0.017605483900973967,0.35471191310881078,0.58347770978959079,0.38157566983510627,0.38157566983510627,1.5291271323502735,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.5,all,True,True,True,19.744506960901326,0.017605483900973967,0.34761159943281672,0.57179816193863986,0.38157566983510627,0.38157566983510627,1.4985183992096145,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,sharp,False,False,False,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38166426104492446,0.38166426104492446,1.8507265100338568,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,c_only,True,False,False,20.004413253618143,0.021313139983840761,0.42635685996896289,0.70132892359738586,0.38166426104492446,0.38166426104492446,1.8375546132542777,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,P_only,False,True,False,20.14780821157591,0.017936003363807962,0.36137115585618318,0.59443172504415565,0.38166426104492446,0.38166426104492446,1.5574728517066654,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,L2_only,False,False,True,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38158415692807224,0.38158415692807224,1.851115024100622,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,cP_only,True,True,False,20.004413253618143,0.017936003363807962,0.3587992234078996,0.59020106574234166,0.38166426104492446,0.38166426104492446,1.5463880849794081,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,cL2_only,True,False,True,20.004413253618143,0.021313139983840761,0.42635685996896289,0.70132892359738586,0.38158415692807224,0.38158415692807224,1.8379403622084467,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,PL2_only,False,True,True,20.14780821157591,0.017936003363807962,0.36137115585618318,0.59443172504415565,0.38158415692807224,0.38158415692807224,1.5577998044510131,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.65,all,True,True,True,20.004413253618143,0.017936003363807962,0.3587992234078996,0.59020106574234166,0.38158415692807224,0.38158415692807224,1.5467127107522791,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,sharp,False,False,False,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38166426104492446,0.38166426104492446,1.8507265100338568,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,c_only,True,False,False,20.046619233053612,0.021313139983840761,0.42725640191682612,0.7028086107919852,0.38166426104492446,0.38166426104492446,1.8414315473705301,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,P_only,False,True,False,20.14780821157591,0.018855566560404904,0.37989833877964208,0.62490771939768197,0.38166426104492446,0.38166426104492446,1.6373231218631867,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,L2_only,False,False,True,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38160853820808993,0.38160853820808993,1.8509967548554958,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,cP_only,True,True,False,20.046619233053612,0.018855566560404904,0.37799036325993546,0.62176922546660407,0.38166426104492446,0.38166426104492446,1.6290999418292866,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,cL2_only,True,False,True,20.046619233053612,0.021313139983840761,0.42725640191682612,0.7028086107919852,0.38160853820808993,0.38160853820808993,1.8417004349329991,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,PL2_only,False,True,True,20.14780821157591,0.018855566560404904,0.37989833877964208,0.62490771939768197,0.38160853820808993,0.38160853820808993,1.6375622053218364,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.75,all,True,True,True,20.046619233053612,0.018855566560404904,0.37799036325993546,0.62176922546660407,0.38160853820808993,0.38160853820808993,1.6293378245314711,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,sharp,False,False,False,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38166426104492446,0.38166426104492446,1.8507265100338568,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,c_only,True,False,False,20.004686226633314,0.021313139983840761,0.42636267788104704,0.701338493679171,0.38166426104492446,0.38166426104492446,1.8375796878624135,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,P_only,False,True,False,20.14780821157591,0.020265963388268228,0.40831474356964736,0.67165083169411077,0.38166426104492446,0.38166426104492446,1.7597949303800624,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,L2_only,False,False,True,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38164037769759707,0.38164037769759707,1.8508423299172607,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,cP_only,True,True,False,20.004686226633314,0.020265963388268228,0.40541423866274445,0.66687969236168565,0.38166426104492446,0.38166426104492446,1.7472940498434288,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,cL2_only,True,False,True,20.004686226633314,0.021313139983840761,0.42636267788104704,0.701338493679171,0.38164037769759707,0.38164037769759707,1.8376946850076101,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,PL2_only,False,True,True,20.14780821157591,0.020265963388268228,0.40831474356964736,0.67165083169411077,0.38164037769759707,0.38164037769759707,1.759905059695521,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.85,all,True,True,True,20.004686226633314,0.020265963388268228,0.40541423866274445,0.66687969236168565,0.38164037769759707,0.38164037769759707,1.7474033968442029,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,sharp,False,False,False,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38166426104492446,0.38166426104492446,1.8507265100338568,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,c_only,True,False,False,19.83749105463464,0.021313139983840761,0.42279922377561696,0.69547684662549891,0.38166426104492446,0.38166426104492446,1.8222215638462325,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,P_only,False,True,False,20.14780821157591,0.021668335161307194,0.43656946109416411,0.71812797909936188,0.38166426104492446,0.38166426104492446,1.8815698832614389,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,L2_only,False,False,True,20.14780821157591,0.021313139983840761,0.42941305678089375,0.70635616584832395,0.38166859470947551,0.38166859470947551,1.8507054959185185,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,cP_only,True,True,False,19.83749105463464,0.021668335161307194,0.42984540493125667,0.70706735004959476,0.38166426104492446,0.38166426104492446,1.8525898864980921,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,cL2_only,True,False,True,19.83749105463464,0.021313139983840761,0.42279922377561696,0.69547684662549891,0.38166859470947551,0.38166859470947551,1.8222008733909398,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,PL2_only,False,True,True,20.14780821157591,0.021668335161307194,0.43656946109416411,0.71812797909936188,0.38166859470947551,0.38166859470947551,1.8815485189343331,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,1000,0.92,all,True,True,True,19.83749105463464,0.021668335161307194,0.42984540493125667,0.70706735004959476,0.38166859470947551,0.38166859470947551,1.8525688512250043,997,168,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,3000,0,sharp,False,False,False,23.946137343569369,0.016150834112096904,0.38675009186147769,0.63617840145962568,0.38159008905305708,0.38159008905305708,1.6671774758048554,2999,430,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,3000,0,c_only,True,False,False,21.4693748526064,0.016150834112096904,0.34674831173487086,0.5703781105947977,0.38159008905305708,0.38159008905305708,1.4947403692014944,2999,430,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,3000,0,P_only,False,True,False,23.946137343569369,0.017345447068977012,0.41535645779933628,0.683233987319536,0.38159008905305708,0.38159008905305708,1.7904919622389295,2999,430,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,3000,0,L2_only,False,False,True,23.946137343569369,0.016150834112096904,0.38675009186147769,0.63617840145962568,0.38160925511056282,0.38160925511056282,1.667093742984056,2999,430,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
37a1,1,37,3000,0,cP_only,True,True,False,21.4693748526064,0.017345447068977012,0.37239590510991044,0.61256671067007118,0.38159008905305708,0.38159008905305708,1.6053003687548568,2999,430,/Users/za/Documents/Farey NOW/primes-equispaced/handoff-2026-05-11-gpt55-wave/AGENT3_EC_AP_TABLE_1000000.csv,999983,0,True
