mode,alpha,passes_old_gate,max_within_cv,cross_curve_cv,cross_curve_ratio,mean_37a1,mean_11a1,mean_389a1,cv_37a1,cv_11a1,cv_389a1
all,0.75,True,0.063297427334436704,0.13277561777915303,1.3473754929960748,1.5911087023622141,1.181952525781276,1.5925338671225024,0.040314798205058552,0.015589562672353854,0.063297427334436704
all,0.65,True,0.066193602570005644,0.13551051401440584,1.3592276762583548,1.5880425955675612,1.1747164462533377,1.5967071055033968,0.039624497644368123,0.016937718044849885,0.066193602570005644
all,0.5,True,0.063993107979051472,0.13640864374793707,1.359825674272148,1.5971499300290357,1.1745255000306687,1.5940879499440705,0.038032908990141202,0.012308967191387264,0.063993107979051472
all,0.85,True,0.059774312812809476,0.13459502120580694,1.3676209623121751,1.619468743438061,1.1841502785246127,1.5806461240784684,0.050139951545692625,0.019704573952216784,0.059774312812809476
all,0.25,True,0.061019865232229339,0.14168567790570355,1.3786042051313698,1.6122376847827447,1.1741825109769017,1.6187329472244676,0.017206848382690057,0.0062378283525426565,0.061019865232229339
all,0.92,True,0.066713363080442512,0.13967447869073926,1.3927481408096773,1.641483644239873,1.1785933121300687,1.5770771876831844,0.066713363080442512,0.021829759012068222,0.056875760750856909
all,0,True,0.066157193795105734,0.14636655842797053,1.4067934832480298,1.6118777319702289,1.1734582572564773,1.6508134291720022,0.012100584743424901,0.0044074410846285383,0.066157193795105734
cP_only,0.75,True,0.063319173311522384,0.13278238908311557,1.3474536199105895,1.5910669291628821,1.181952525781276,1.5926262094264447,0.040310427051526744,0.015589562672353854,0.063319173311522384
cP_only,0.65,True,0.066235566505953275,0.13551965327929028,1.3593274654739098,1.5879884272388689,1.1747164462533377,1.596824329536068,0.03965361269544309,0.016937718044849885,0.066235566505953275
cP_only,0.5,True,0.064154232089411178,0.13642375121882452,1.359780745442883,1.5970971599733776,1.1745255000306687,1.5942592125726112,0.038088533303275919,0.012308967191387264,0.064154232089411178
P_only,0.85,True,0.060251761567118804,0.13642412385891284,1.366515830251503,1.6287085438223763,1.1918695032772635,1.6089451313649279,0.052549360581817695,0.042957689794581956,0.060251761567118804
PL2_only,0.85,True,0.060240037574336124,0.13641834004994505,1.3665311924986026,1.6287268536161961,1.1918695032772635,1.6088741866760787,0.052563212518450288,0.042957689794581956,0.060240037574336124
cP_only,0.85,True,0.05978060629123727,0.13459969454868309,1.367605626319518,1.6194505833180846,1.1841502785246127,1.5807153172485968,0.050125975287386812,0.019704573952216784,0.05978060629123727
PL2_only,0.75,True,0.0651323248451188,0.13556653929752932,1.3689713655053704,1.6046500209947552,1.1970574665378553,1.638737394554727,0.041474009607159856,0.045730592782697879,0.0651323248451188
P_only,0.75,True,0.065162093522829645,0.13557609693715847,1.3690514798829585,1.6046079994255333,1.1970574665378553,1.6388332960685958,0.04147152492472659,0.045730592782697879,0.065162093522829645
cP_only,0.25,True,0.061327234264609572,0.1417174025617185,1.3788260745364742,1.6122164260707454,1.1741825109769017,1.618993462399662,0.017234681466181373,0.0062378283525426565,0.061327234264609572
cP_only,0.92,True,0.066717844123676165,0.1396808653636438,1.3927526296315482,1.6414889347353092,1.1785933121300687,1.5771372362366558,0.066717844123676165,0.021829759012068222,0.056877125973930354
PL2_only,0.92,True,0.074962683151305803,0.14280893316020457,1.4003187470373801,1.6497716877806916,1.1781401136498908,1.5945388756362242,0.074962683151305803,0.036845447496121189,0.057460492368098644
