classification,mode,alpha,passes_old_gate,cross_curve_ratio,max_within_cv,score,ratio_delta_vs_primary,maxcv_delta_vs_primary,score_delta_vs_primary
primary,all,0,True,1.4067934832480298,0.066157193795105734,0.40747018307908545,0.059417990251954933,0.0028597664606690304,0.046014134731322542
primary,all,0.25,True,1.3786042051313698,0.061019865232229339,0.38209140698813471,0.031228712135294989,-0.0022775621022073644,0.020635358640371804
primary,all,0.5,True,1.359825674272148,0.063993107979051472,0.37134961882892226,0.012450181276073113,0.00069568064461476842,0.0098935704811593528
primary,all,0.65,True,1.3592276762583548,0.066193602570005644,0.37311025590599722,0.011852183262279992,0.0028961752355689402,0.01165420755823432
primary,all,0.75,True,1.3473754929960748,0.063297427334436704,0.3614560483477629,0,0,0
primary,all,0.85,True,1.3676209623121751,0.059774312812809476,0.37284701928777797,0.020245469316100273,-0.0035231145216272283,0.011390970940015066
primary,all,0.92,True,1.3927481408096773,0.066713363080442512,0.39799223809234568,0.045372647813602507,0.0034159357460058076,0.036536189744582781
predeclared_null,cP_only,0,True,1.4073013023288647,0.066797792922392754,0.40847169335190309,0.059925809332789903,0.0035003655879560502,0.047015645004140183
predeclared_null,cP_only,0.25,True,1.3788260745364742,0.061327234264609572,0.38255970078239859,0.031450581540399369,-0.0019701930698271322,0.021103652434635689
predeclared_null,cP_only,0.5,True,1.359780745442883,0.064154232089411178,0.37147770225446564,0.012405252446808124,0.0008568047549744745,0.010021653906702732
predeclared_null,cP_only,0.65,True,1.3593274654739098,0.066235566505953275,0.37322563326223412,0.011951972477834971,0.0029381391715165711,0.011769584914471221
predeclared_null,cP_only,0.75,True,1.3474536199105895,0.063319173311522384,0.36153577715883417,7.8126914514697887e-05,2.1745977085679824e-05,7.9728811071266836e-05
predeclared_null,cP_only,0.85,True,1.367605626319518,0.05978060629123727,0.37284209907537591,0.020230133323443145,-0.0035168210431994334,0.011386050727613006
predeclared_null,cP_only,0.92,True,1.3927526296315482,0.066717844123676165,0.39799994212651763,0.045377136635473381,0.003420416789239461,0.036543893778754721
predeclared_null,P_only,0,False,1.6534768396062232,0.10418472673594888,0.60706497318685926,0.30610134661014832,0.040887299401512173,0.24560892483909635
predeclared_null,P_only,0.25,False,1.5191334320814089,0.082967452094766872,0.50110751390542574,0.1717579390853341,0.019670024760330168,0.13965146555766283
predeclared_null,P_only,0.5,False,1.4307166490830823,0.073727264162026934,0.43190273610346797,0.083341156087007429,0.01042983682759023,0.070446687755705062
predeclared_null,P_only,0.65,True,1.4008896786386076,0.070275780316219172,0.40738329984437022,0.053514185642532741,0.006978352981782468,0.045927251496607313
predeclared_null,P_only,0.75,True,1.3690514798829585,0.065162093522829645,0.37928024312721154,0.021675986886883658,0.0018646661883929411,0.017824194779448632
predeclared_null,P_only,0.85,True,1.366515830251503,0.060251761567118804,0.37251607240960705,0.019140337255428186,-0.0030456657673178997,0.011060024061844143
predeclared_null,P_only,0.92,True,1.4003233218860602,0.074967291470311989,0.411670445632346,0.052947828889985393,0.011669864135875285,0.050214397284583101
predeclared_null,PL2_only,0,False,1.6528471495627965,0.10353932455476821,0.60603867061412431,0.30547165656672171,0.040241897220331502,0.2445826222663614
predeclared_null,PL2_only,0.25,False,1.5188802091605964,0.082655240852694808,0.50062859971116058,0.17150471616452156,0.019357813518258105,0.13917255136339768
predeclared_null,PL2_only,0.5,False,1.430559524227887,0.073548519200199017,0.43161416262748342,0.083184031231812172,0.010251091865762313,0.070158114279720518
predeclared_null,PL2_only,0.65,True,1.4007854162221256,0.070220777271914295,0.407253868172191,0.053409923226050759,0.0069233499374775909,0.045797819824428099
predeclared_null,PL2_only,0.75,True,1.3689713655053704,0.0651323248451188,0.37919195457429511,0.021595872509295511,0.0018348975106820958,0.017735906226532205
predeclared_null,PL2_only,0.85,True,1.3665311924986026,0.060240037574336124,0.37251559026299225,0.019155699502527712,-0.0030573897601005803,0.011059541915229343
predeclared_null,PL2_only,0.92,True,1.4003187470373801,0.074962683151305803,0.41166257031343945,0.052943254041305288,0.0116652558168691,0.050206521965676543
supporting_ablation,sharp,0,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,sharp,0.25,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,sharp,0.5,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,sharp,0.65,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,sharp,0.75,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,sharp,0.85,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,sharp,0.92,False,1.4238213854704775,0.096692112053387638,0.45003648562434578,0.076445892474402699,0.033394684718950934,0.08858043727658288
supporting_ablation,c_only,0,False,1.3077610268987254,0.11307433615410069,0.38139087134945637,-0.039614466097349421,0.049776908819663984,0.019934823001693469
supporting_ablation,c_only,0.25,False,1.359195828864278,0.10603739797336761,0.41293062052749741,0.011820335868203191,0.04273997063893091,0.051474572179734501
supporting_ablation,c_only,0.5,False,1.3973779703747649,0.1015399826342239,0.43613758492223165,0.050002477378690013,0.038242555299787193,0.074681536574468743
supporting_ablation,c_only,0.65,False,1.4172331436423076,0.099751373832809062,0.44845785427633361,0.069857650646232727,0.036453946498372358,0.087001805928570708
supporting_ablation,c_only,0.75,False,1.4280314700323038,0.098971990137690119,0.45526889165000095,0.080655977036228954,0.035674562803253415,0.093812843302238047
supporting_ablation,c_only,0.85,False,1.4236615721373576,0.098601936198132858,0.45183406092639938,0.076286079141282714,0.035304508863696155,0.09037801257863648
supporting_ablation,c_only,0.92,False,1.4155421694699191,0.097978978948588272,0.44549159529324944,0.068166676473844223,0.034681551614151568,0.084035546945486539
supporting_ablation,L2_only,0,False,1.4237924788639904,0.096820567226966664,0.45014463846209885,0.076416985867915566,0.03352313989252996,0.088688590114335941
supporting_ablation,L2_only,0.25,False,1.4238439711027866,0.096773198818134523,0.45013343494980917,0.076468478106711757,0.033475771483697819,0.088677386602046271
supporting_ablation,L2_only,0.5,False,1.4238776218806342,0.096752043850718825,0.45013591345691017,0.076502128884559317,0.033454616516282121,0.088679865109147271
supporting_ablation,L2_only,0.65,False,1.4238770637355553,0.096725011876509517,0.45010848949312277,0.076501570739480496,0.033427584542072813,0.088652441145359862
supporting_ablation,L2_only,0.75,False,1.4238623271052859,0.096717470004319461,0.45009059791666067,0.076486834109211088,0.033420042669882757,0.088634549568897769
supporting_ablation,L2_only,0.85,False,1.4238380306782896,0.0967133859305956,0.45006944995000964,0.076462537682214782,0.033415958596158896,0.088613401602246733
supporting_ablation,L2_only,0.92,False,1.4238168609895028,0.096710951837345502,0.45005214770061525,0.076441367993427933,0.033413524502908798,0.088596099352852342
supporting_ablation,cL2_only,0,False,1.3077350110801771,0.11332518873918335,0.38162183033258257,-0.039640481915897752,0.050027761404746643,0.020165781984819664
supporting_ablation,cL2_only,0.25,False,1.3592172101103397,0.10615424818862311,0.41306320142514413,0.011841717114264849,0.042856820854186406,0.051607153077381229
supporting_ablation,cL2_only,0.5,False,1.3974334506193238,0.10161592037110158,0.4362532249761597,0.050057957623248939,0.038318493036664875,0.0747971766283968
supporting_ablation,cL2_only,0.65,False,1.4172888768135372,0.099792319537118229,0.44853812454459718,0.069913383817462371,0.036494892202681525,0.087082076196834279
supporting_ablation,cL2_only,0.75,False,1.4280726347523744,0.09900175368866497,0.45532748098502518,0.080697141756299606,0.035704326354228266,0.093871432637262275
supporting_ablation,cL2_only,0.85,False,1.4236781750290544,0.098625785701913715,0.45186957246785137,0.076302682032979519,0.035328358367477011,0.090413524120088462
supporting_ablation,cL2_only,0.92,False,1.4155377328680554,0.097999686125758448,0.44550916825872888,0.068162239871980557,0.034702258791321744,0.084053119910965979
