p,n,n_prime,M_p,A,B,C,D,delta_W,DA_ratio,one_minus_DA,B_plus_C_plus_D_minus_A,C_plus_D_minus_A,one_minus_DA_times_p,one_minus_DA_times_p_over_M
181,9881,10061,-4,0.0001109216993448536,7.00770407223223e-05,1.5987940915086748e-05,0.00011127706373329898,-8.642034602585443e-05,1.0032037409320655,-0.003203740932065567,8.642034602585443e-05,1.6343305303532126e-05,-0.5798771087038677,0.14496927717596692
191,10977,11167,-5,9.718733099174569e-05,5.380799239601292e-05,1.3855426716014058e-05,9.95386240721805e-05,-7.001471219246178e-05,1.024193411388512,-0.02419341138851213,7.001471219246178e-05,1.6206719796448855e-05,-4.6209415752058165,0.9241883150411633
193,11231,11423,-6,9.746710291272623e-05,6.7770455908913e-05,1.426816812641703e-05,9.693375226792222e-05,-8.150527339052601e-05,0.9945278906537154,0.0054721093462846,8.150527339052601e-05,1.3734817481613018e-05,1.0561171038329278,-0.17601951730548795
197,11699,11895,-7,9.524178811551511e-05,7.56543427937598e-05,1.306276287199458e-05,9.739499566490145e-05,-9.08703132151407e-05,1.0226078026461956,-0.02260780264619546,9.08703132151407e-05,1.5215970421380911e-05,-4.453737121300506,0.6362481601857866
199,11955,12153,-8,9.6189776634775e-05,8.845500362622727e-05,1.2829254645110383e-05,9.731507598688287e-05,-0.00010240955762344551,1.011698741711196,-0.01169874171119594,0.00010240955762344551,1.3954553997218247e-05,-2.328049600527992,0.291006200065999
211,13415,13625,-2,8.087007121268883e-05,3.936761211454272e-05,1.1938726539975985e-05,8.104388742869156e-05,-5.148015487052144e-05,1.0021493268572201,-0.0021493268572200584,5.148015487052144e-05,1.2112542755978716e-05,-0.4535079668734323,0.22675398343671616
223,14991,15213,3,7.472929815509546e-05,-3.2471953408464303e-06,1.0274217479635338e-05,7.409530192682389e-05,-6.393025910517339e-06,0.9915160955084075,0.008483904491592477,6.393025910517339e-06,9.64022125136377e-06,1.8919107016251224,0.6306369005417075
227,15541,15767,3,7.28576091056164e-05,1.8425999523215157e-06,9.869720354343378e-06,7.154735751537273e-05,-1.0402068716421223e-05,0.9820162697303957,0.017983730269604294,1.0402068716421223e-05,8.559468764099707e-06,4.082306771200175,1.3607689237333915
229,15839,16067,2,7.196178122952005e-05,1.0821292172696929e-05,9.890422085637619e-06,7.31415134451525e-05,-2.1891446473966997e-05,1.0163938717952203,-0.016393871795220425,2.1891446473966997e-05,1.107015430127007e-05,-3.7541966411054775,-1.8770983205527387
233,16387,16619,-1,6.788826676004356e-05,2.9779893814531284e-05,9.406084509771605e-06,6.846728916801544e-05,-3.9765000732274765e-05,1.008529049799113,-0.00852904979911299,3.9765000732274765e-05,9.985106917743485e-06,-1.9872686031933267,1.9872686031933267
