Sieving to 100000...
Sieve complete.
STREAMING MODE: Computing exact B'/C' for M(p)=-3 primes up to 100000
p,n,T_N,alpha_from_T,B_prime,C_prime,B_over_C,rho,alpha_plus_rho,B_plus_C_positive
7589,17502283,-15.241419,16.241419,36109136.732640,2909360.424236,12.411366,-3.830053,12.411366,1
7603,17566829,-15.513838,16.513838,37058314.653333,2922037.556768,12.682354,-3.831484,12.682354,1
7607,17585777,-15.776592,16.776592,37874710.459266,2922868.687972,12.958061,-3.818531,12.958061,1
7717,18097533,-16.662865,17.662865,41604303.255819,3010816.297206,13.818280,-3.844585,13.818280,1
7883,18885513,-15.008893,16.008893,38170124.730017,3138936.413536,12.160210,-3.848684,12.160210,1
7933,19125065,-14.982029,15.982029,38639687.230612,3180507.803196,12.148905,-3.833124,12.148905,1
7937,19144851,-15.500429,16.500429,40362383.081604,3183561.938408,12.678372,-3.822056,12.678372,1
9241,25953023,-12.890813,13.890813,43454292.520957,4326770.814949,10.043123,-3.847690,10.043123,1
9277,26153851,-12.817982,13.817982,43364673.091562,4354009.904736,9.959709,-3.858273,9.959709,1
9281,26177529,-13.108044,14.108044,44640382.779408,4355295.520421,10.249679,-3.858365,10.249679,1
9391,26801835,-12.790526,13.790526,44383774.181648,4460597.619650,9.950186,-3.840340,9.950186,1
9397,26836049,-13.189962,14.189962,46222630.246010,4467300.789921,10.346881,-3.843081,10.346881,1
11027,36954677,-11.023145,12.023145,50295684.709828,6148402.876193,8.180284,-3.842861,8.180284,1
11159,37844513,-12.899824,13.899824,63227791.910763,6291532.118996,10.049665,-3.850159,10.049665,1
11273,38622591,-9.902903,10.902903,45249180.999611,6430098.757940,7.037090,-3.865813,7.037090,1
11287,38717747,-10.197616,11.197616,47382639.605274,6446407.220812,7.350240,-3.847377,7.350240,1
11299,38800139,-10.903466,11.903466,52025752.468264,6456298.965603,8.058139,-3.845327,8.058139,1
Done 80 primes, last p=11299, min B'/C'=0.1199 at p=13
12919,50726629,-17.745159,18.745159,125534819.980606,8439025.934629,14.875511,-3.869648,14.875511,1
13399,54565029,-17.745669,18.745669,135268230.371913,9087700.012672,14.884760,-3.860909,14.884760,1
13441,54907557,-17.491265,18.491265,133929991.677928,9147386.784713,14.641339,-3.849926,14.641339,1
13469,55136753,-17.467774,18.467774,134181614.894878,9183637.743339,14.610944,-3.856830,14.610944,1
13513,55497657,-17.796739,18.796739,138106049.841753,9239235.801216,14.947778,-3.848961,14.947778,1
13879,58545347,-18.573085,19.573085,153146685.332087,9746307.643468,15.713303,-3.859782,15.713303,1
15277,70932913,-14.041222,15.041222,132108172.214409,11812372.702879,11.183881,-3.857341,11.183881,1
17737,95617419,-15.112367,16.112367,194935563.520306,15920930.289427,12.243981,-3.868386,12.243981,1
17863,96982909,-12.003847,13.003847,147467347.313976,16146200.248442,9.133254,-3.870593,9.133254,1
18671,105952929,-17.578077,18.578077,259697701.855384,17641649.915533,14.720715,-3.857362,14.720715,1
18749,106841941,-17.352263,18.352263,257955680.988623,17792912.529732,14.497665,-3.854598,14.497665,1
21839,144961561,-14.765104,15.765104,286999291.895110,24118089.661682,11.899752,-3.865352,11.899752,1
21991,146985201,-15.366121,16.366121,305837611.407544,24477281.951897,12.494754,-3.871367,12.494754,1
22027,147467755,-14.485333,15.485333,285318059.820070,24557777.824034,11.618236,-3.867097,11.618236,1
25189,192850523,-13.940641,14.940641,355611875.201216,32119196.763890,11.071630,-3.869011,11.071630,1
25357,195428351,-13.185133,14.185133,335659296.827069,32546469.831506,10.313232,-3.871901,10.313232,1
25373,195678417,-13.007621,14.007621,330119029.312517,32589562.953297,10.129594,-3.878028,10.129594,1
25457,196974353,-10.795471,11.795471,259879188.279617,32804772.379344,7.921993,-3.873478,7.921993,1
25913,204094699,-12.618352,13.618352,331195628.940083,33992983.988380,9.743058,-3.875294,9.743058,1
27239,225515193,-14.358391,15.358391,431425037.555860,37548254.394709,11.489883,-3.868508,11.489883,1
Done 100 primes, last p=27239, min B'/C'=0.1199 at p=13
27943,237323735,-13.959127,14.959127,438226662.371634,39527126.611590,11.086732,-3.872395,11.086732,1
27983,238006209,-13.386091,14.386091,416408370.335303,39635256.457912,10.506009,-3.880081,10.506009,1
28051,239160705,-12.382493,13.382493,379213546.250082,39853653.177988,9.515151,-3.867341,9.515151,1
28229,242209563,-10.653442,11.653442,313591067.013415,40338869.634221,7.773918,-3.879524,7.773918,1
28571,248109637,-9.694716,10.694716,282126040.874607,41326145.735078,6.826817,-3.867899,6.826817,1
28579,248250779,-11.207683,12.207683,344952084.350229,41347723.543324,8.342710,-3.864972,8.342710,1
29123,257791443,-16.859708,17.859708,600961745.974126,42932871.524773,13.997707,-3.862002,13.997707,1
29137,258040549,-18.183915,19.183915,657913207.705396,42983595.701318,15.306146,-3.877768,15.306146,1
33461,340310767,-20.063748,21.063748,974572697.524152,56682161.423509,17.193640,-3.870108,17.193640,1
33469,340475647,-20.211287,21.211287,983423357.559480,56716837.718395,17.339178,-3.872109,17.339178,1
33547,342063695,-21.574327,22.574327,1065435467.531716,56978557.246943,18.698885,-3.875442,18.698885,1
36307,400666807,-16.344770,17.344770,898568729.215289,66740891.099015,13.463541,-3.881229,13.463541,1
36341,401414115,-15.789050,16.789050,863717875.805638,66871998.563706,12.915987,-3.873063,12.915987,1
36389,402476897,-15.076469,16.076469,818649222.805994,67051695.783217,12.209225,-3.867245,12.209225,1
36683,409011899,-17.776459,18.776459,1015013285.333110,68133196.445033,14.897485,-3.878974,14.897485,1
36781,411195999,-18.923183,19.923183,1099481187.008025,68508477.787656,16.048834,-3.874349,16.048834,1
36833,412363431,-19.553922,20.553922,1145600903.390809,68688522.942537,16.678200,-3.875723,16.678200,1
39097,464606685,-12.307895,13.307895,729843566.348074,77406079.317111,9.428763,-3.879132,9.428763,1
39103,464754173,-12.110358,13.110358,715218025.800005,77427327.036790,9.237282,-3.873077,9.237282,1
39107,464849211,-12.464904,13.464904,742477094.049479,77440606.424624,9.587697,-3.877207,9.587697,1
Done 120 primes, last p=39107, min B'/C'=0.1199 at p=13
39119,465134843,-12.899362,13.899362,776829389.344475,77465149.100870,10.028115,-3.871247,10.028115,1
39157,466036717,-11.347027,12.347027,657297755.763454,77646506.370348,8.465259,-3.881768,8.465259,1
39821,481976257,-9.121036,10.121036,500729634.963210,80306368.424675,6.235242,-3.885794,6.235242,1
39827,482122989,-9.167737,10.167737,504953682.182195,80315869.388556,6.287097,-3.880639,6.287097,1
39841,482465335,-11.248341,12.248341,673170386.513331,80390599.105105,8.373745,-3.874596,8.373745,1
40093,488585937,-12.456663,13.456663,779674646.293981,81407402.183448,9.577442,-3.879221,9.577442,1
40483,498134365,-7.305394,8.305394,367639656.472428,82997062.145588,4.429550,-3.875844,4.429550,1
40519,499024713,-9.132651,10.132651,520414980.008327,83133504.211558,6.259991,-3.872660,6.259991,1
40577,500455983,-6.920434,7.920434,336599716.157394,83384038.760753,4.036740,-3.883694,4.036740,1
40897,508377639,-6.519859,7.519859,308459835.916553,84697961.095946,3.641880,-3.877979,3.641880,1
41143,514512809,-3.816541,4.816541,80867968.781701,85710047.317422,0.943506,-3.873035,0.943506,1
41149,514664555,-3.925851,4.925851,89280950.518672,85750514.064888,1.041171,-3.884680,1.041171,1
44381,598686347,-22.743507,23.743507,1981846594.415312,99744343.053169,19.869263,-3.874244,19.869263,1
44383,598744359,-23.436333,24.436333,2050773446.623083,99748162.725777,20.559511,-3.876822,20.559511,1
44389,598903509,-24.293174,25.293174,2136494384.675944,99779703.712603,21.412114,-3.881060,21.412114,1
44417,599658041,-23.433151,24.433151,2053639783.943924,99905994.814496,20.555721,-3.877429,20.555721,1
44711,607619223,-26.654133,27.654133,2406595264.433037,101209214.678887,23.778420,-3.875713,23.778420,1
45121,618819843,-23.172781,24.172781,2093152117.286453,103120579.606838,20.298103,-3.874678,20.298103,1
45127,618980123,-23.965142,24.965142,2175696367.958616,103129219.328690,21.096799,-3.868343,21.096799,1
45289,623434897,-20.465338,21.465338,1827163179.841857,103875305.110190,17.589967,-3.875371,17.589967,1
Done 140 primes, last p=45289, min B'/C'=0.1199 at p=13
45553,630722585,-19.161216,20.161216,1711248159.758581,105096274.099094,16.282672,-3.878544,16.282672,1
45569,631166955,-20.803709,21.803709,1884910912.091294,105131474.850566,17.929083,-3.874627,17.929083,1
45589,631724455,-20.147343,21.147343,1817604542.333534,105240784.095519,17.270914,-3.876429,17.270914,1
45631,632885659,-19.330909,20.330909,1735265771.800039,105447564.268307,16.456196,-3.874713,16.456196,1
45673,634053441,-18.616824,19.616824,1662558104.165917,105642687.754737,15.737560,-3.879264,15.737560,1
56039,954529939,-14.597853,15.597853,1863774587.270490,159022958.075854,11.720160,-3.877692,11.720160,1
56113,957053071,-15.140941,16.140941,1955381742.948551,159478571.295096,12.261094,-3.879848,12.261094,1
56209,960333919,-17.042750,18.042750,2265391827.373156,159991400.324049,14.159460,-3.883290,14.159460,1
56237,961284889,-15.058555,16.058555,1949705388.451176,160142142.358939,12.174843,-3.883712,12.174843,1
56393,966628095,-12.656431,13.656431,1575306200.869026,161059254.913229,9.780911,-3.875521,9.780911,1
65843,1317747627,-14.607861,15.607861,2574760540.520438,219538097.759903,11.728081,-3.879780,11.728081,1
75869,1749605947,-24.226684,25.226684,6221229018.680562,291513335.462893,21.341147,-3.885536,21.341147,1
75937,1752741941,-20.901073,21.901073,5263921748.038459,292089483.263132,18.021607,-3.879467,18.021607,1
75967,1754127869,-20.981449,21.981449,5291946371.689845,292289906.107770,18.105129,-3.876320,18.105129,1
76249,1767178595,-18.965758,19.965758,4735654077.049886,294471154.927954,16.081895,-3.883864,16.081895,1
77647,1832577817,-20.346118,21.346118,5332605586.561960,305321933.743524,17.465518,-3.880600,17.465518,1
77969,1847803229,-19.962917,20.962917,5259856879.287769,307908089.624185,17.082555,-3.880362,17.082555,1
77983,1848470361,-19.690356,20.690356,5177638936.142853,307998511.749833,16.810597,-3.879759,16.810597,1
78017,1850078059,-19.491187,20.491187,5121130102.151937,308274160.833355,16.612259,-3.878928,16.612259,1
78139,1855876873,-17.255311,18.255311,4443883704.891541,309258390.154106,14.369485,-3.885826,14.369485,1
Done 160 primes, last p=78139, min B'/C'=0.1199 at p=13
78191,1858337535,-18.470395,19.470395,4827969243.495131,309630960.521407,15.592657,-3.877738,15.592657,1
78203,1858918713,-18.548374,19.548374,4852926368.042332,309711334.674928,15.669192,-3.879182,15.669192,1
78233,1860341967,-18.653358,19.653358,4889418849.510055,309990533.853477,15.772801,-3.880558,15.772801,1
80953,1991953629,-20.481610,21.481610,5842274043.672643,331936066.594285,17.600600,-3.881009,17.600600,1
81001,1994315117,-20.247389,21.247389,5772325248.305831,332370382.819231,17.367147,-3.880243,17.367147,1
84349,2162584227,-28.364819,29.364819,9183761721.745131,360358412.245377,25.485077,-3.879743,25.485077,1
84421,2166275783,-28.072612,29.072612,9094995968.136980,361013564.378535,25.192948,-3.879664,25.192948,1
84449,2167712165,-29.023280,30.023280,9444737184.226929,361232440.958087,26.145872,-3.877408,26.145872,1
84649,2177995049,-29.367554,30.367554,9612420365.770468,362932457.952907,26.485425,-3.882129,26.485425,1
84653,2178202229,-29.649752,30.649752,9717549146.436707,362934807.897993,26.774916,-3.874835,26.774916,1
84659,2178510085,-29.671702,30.671702,9724241600.579954,362964584.631639,26.791158,-3.880544,26.791158,1
90089,2466936637,-18.004605,19.004605,6213667051.760520,410997765.168127,15.118494,-3.886112,15.118494,1
91433,2541086873,-14.700647,15.700647,5003013759.112566,423413554.369639,11.815904,-3.884744,11.815904,1
91513,2545529465,-13.739459,14.739459,4606591287.389974,424188269.149568,10.859780,-3.879679,10.859780,1

Total M(p)=-3 primes: 174
Min B'/C' (= alpha+rho): 0.119894 at p=13
Min (B'+C')/C' (= 1+alpha+rho): 1.119894 at p=13

B+C > 0 iff alpha+rho > -1 iff B'/C' > -1.
Minimum B'/C' found: 0.119894 -- B+C > 0 HOLDS
