p,M(p),delta_w,verified,method,margin_or_dw
7951,-5,-1.282695705469788e-07,PASS,wobble_float64,1.282695705469788e-07
7963,-10,-1.486501235706050e-07,PASS,wobble_float64,1.486501235706050e-07
7993,-4,-9.868411201216802e-08,PASS,wobble_float64,9.868411201216802e-08
9067,-1,-7.823298645592857e-08,PASS,wobble_float64,7.823298645592857e-08
9161,-2,-6.282810912379541e-08,PASS,wobble_float64,6.282810912379541e-08
9209,-1,-6.163277051451877e-08,PASS,wobble_float64,6.163277051451877e-08
9221,-4,-7.405564835747660e-08,PASS,wobble_float64,7.405564835747660e-08
9227,-4,-7.437565919355760e-08,PASS,wobble_float64,7.437565919355760e-08
9239,-2,-6.369676989342616e-08,PASS,wobble_float64,6.369676989342616e-08
9241,-3,-7.039983248983452e-08,PASS,wobble_float64,7.039983248983452e-08
9257,-1,-6.226208968965956e-08,PASS,wobble_float64,6.226208968965956e-08
9277,-3,-6.944793811868770e-08,PASS,wobble_float64,6.944793811868770e-08
9281,-3,-7.120453722592158e-08,PASS,wobble_float64,7.120453722592158e-08
9283,-5,-7.907589779267284e-08,PASS,wobble_float64,7.907589779267284e-08
9293,-6,-8.337995348026465e-08,PASS,wobble_float64,8.337995348026465e-08
9311,-4,-6.830839641266875e-08,PASS,wobble_float64,6.830839641266875e-08
9319,-4,-6.895617095831500e-08,PASS,wobble_float64,6.895617095831500e-08
9323,-7,-8.274097845821461e-08,PASS,wobble_float64,8.274097845821461e-08
9337,-5,-7.613099154282559e-08,PASS,wobble_float64,7.613099154282559e-08
9341,-6,-8.486668719702049e-08,PASS,wobble_float64,8.486668719702049e-08
9343,-7,-9.130239256539753e-08,PASS,wobble_float64,9.130239256539753e-08
9349,-5,-8.468765293431790e-08,PASS,wobble_float64,8.468765293431790e-08
9371,-4,-7.323126809198176e-08,PASS,wobble_float64,7.323126809198176e-08
9377,-7,-8.613174245082319e-08,PASS,wobble_float64,8.613174245082319e-08
9391,-3,-6.756225858117651e-08,PASS,wobble_float64,6.756225858117651e-08
9397,-3,-6.995135560364566e-08,PASS,wobble_float64,6.995135560364566e-08
9403,-8,-8.994933275143977e-08,PASS,wobble_float64,8.994933275143977e-08
9413,-7,-8.427201090512764e-08,PASS,wobble_float64,8.427201090512764e-08
9419,-11,-1.027685058429406e-07,PASS,wobble_float64,1.027685058429406e-07
9421,-12,-1.080493863408891e-07,PASS,wobble_float64,1.080493863408891e-07
9431,-14,-1.134883200916556e-07,PASS,wobble_float64,1.134883200916556e-07
9433,-15,-1.197260619151025e-07,PASS,wobble_float64,1.197260619151025e-07
9437,-16,-1.270698341251979e-07,PASS,wobble_float64,1.270698341251979e-07
9439,-17,-1.329636654542020e-07,PASS,wobble_float64,1.329636654542020e-07
9461,-17,-1.310084616709553e-07,PASS,wobble_float64,1.310084616709553e-07
9463,-17,-1.351222748797266e-07,PASS,wobble_float64,1.351222748797266e-07
9467,-18,-1.413075746068402e-07,PASS,wobble_float64,1.413075746068402e-07
9473,-18,-1.412002022850995e-07,PASS,wobble_float64,1.412002022850995e-07
9479,-21,-1.521506782981344e-07,PASS,wobble_float64,1.521506782981344e-07
9491,-21,-1.477767541395350e-07,PASS,wobble_float64,1.477767541395350e-07
9497,-22,-1.505258133379831e-07,PASS,wobble_float64,1.505258133379831e-07
9511,-20,-1.437051433466691e-07,PASS,wobble_float64,1.437051433466691e-07
9521,-22,-1.523883981210326e-07,PASS,wobble_float64,1.523883981210326e-07
9533,-22,-1.442737767552986e-07,PASS,wobble_float64,1.442737767552986e-07
9539,-22,-1.465464801765219e-07,PASS,wobble_float64,1.465464801765219e-07
9547,-24,-1.575434727951741e-07,PASS,wobble_float64,1.575434727951741e-07
9551,-25,-1.613584157727967e-07,PASS,wobble_float64,1.613584157727967e-07
9587,-19,-1.221876241053221e-07,PASS,wobble_float64,1.221876241053221e-07
9601,-18,-1.147649582420603e-07,PASS,wobble_float64,1.147649582420603e-07
9613,-17,-1.100128035530284e-07,PASS,wobble_float64,1.100128035530284e-07
9619,-16,-1.086958869639718e-07,PASS,wobble_float64,1.086958869639718e-07
9623,-18,-1.148540610938797e-07,PASS,wobble_float64,1.148540610938797e-07
9629,-17,-1.157805685324937e-07,PASS,wobble_float64,1.157805685324937e-07
9631,-18,-1.210689089833585e-07,PASS,wobble_float64,1.210689089833585e-07
9643,-19,-1.219533457125075e-07,PASS,wobble_float64,1.219533457125075e-07
9649,-19,-1.217696725505413e-07,PASS,wobble_float64,1.217696725505413e-07
9661,-19,-1.216459847178873e-07,PASS,wobble_float64,1.216459847178873e-07
9677,-17,-1.078052027588569e-07,PASS,wobble_float64,1.078052027588569e-07
9679,-19,-1.154930960612646e-07,PASS,wobble_float64,1.154930960612646e-07
9689,-22,-1.257967781547424e-07,PASS,wobble_float64,1.257967781547424e-07
9697,-25,-1.324616805677364e-07,PASS,wobble_float64,1.324616805677364e-07
9719,-32,-1.501212088357237e-07,PASS,wobble_float64,1.501212088357237e-07
9721,-33,-1.558099586035112e-07,PASS,wobble_float64,1.558099586035112e-07
9733,-32,-1.504139903861924e-07,PASS,wobble_float64,1.504139903861924e-07
9739,-34,-1.604492958844582e-07,PASS,wobble_float64,1.604492958844582e-07
9743,-35,-1.678977355372489e-07,PASS,wobble_float64,1.678977355372489e-07
9749,-36,-1.697486279170815e-07,PASS,wobble_float64,1.697486279170815e-07
9767,-31,-1.442368868910478e-07,PASS,wobble_float64,1.442368868910478e-07
9769,-32,-1.494541263478559e-07,PASS,wobble_float64,1.494541263478559e-07
9781,-31,-1.474092182667186e-07,PASS,wobble_float64,1.474092182667186e-07
9787,-33,-1.563567179369170e-07,PASS,wobble_float64,1.563567179369170e-07
9791,-34,-1.618971228029801e-07,PASS,wobble_float64,1.618971228029801e-07
9803,-33,-1.568574134202145e-07,PASS,wobble_float64,1.568574134202145e-07
9811,-34,-1.598904221630955e-07,PASS,wobble_float64,1.598904221630955e-07
9817,-36,-1.699008394493459e-07,PASS,wobble_float64,1.699008394493459e-07
9829,-38,-1.782214140303638e-07,PASS,wobble_float64,1.782214140303638e-07
9833,-41,-1.887855388963062e-07,PASS,wobble_float64,1.887855388963062e-07
9839,-41,-1.908334010338359e-07,PASS,wobble_float64,1.908334010338359e-07
9851,-41,-1.927305995688271e-07,PASS,wobble_float64,1.927305995688271e-07
9857,-42,-1.964837281160986e-07,PASS,wobble_float64,1.964837281160986e-07
9859,-42,-2.002248987378619e-07,PASS,wobble_float64,2.002248987378619e-07
9871,-39,-1.845389872884865e-07,PASS,wobble_float64,1.845389872884865e-07
9883,-41,-1.907061186624798e-07,PASS,wobble_float64,1.907061186624798e-07
9887,-42,-1.974536297757903e-07,PASS,wobble_float64,1.974536297757903e-07
9901,-38,-1.843555556522731e-07,PASS,wobble_float64,1.843555556522731e-07
9907,-37,-1.849651415839051e-07,PASS,wobble_float64,1.849651415839051e-07
9923,-38,-1.857688209032073e-07,PASS,wobble_float64,1.857688209032073e-07
9929,-40,-1.928242842389290e-07,PASS,wobble_float64,1.928242842389290e-07
9931,-40,-1.967975025621673e-07,PASS,wobble_float64,1.967975025621673e-07
9941,-35,-1.807688465655706e-07,PASS,wobble_float64,1.807688465655706e-07
9949,-35,-1.802362035302339e-07,PASS,wobble_float64,1.802362035302339e-07
9967,-34,-1.747045229791424e-07,PASS,wobble_float64,1.747045229791424e-07
9973,-35,-1.787205721317858e-07,PASS,wobble_float64,1.787205721317858e-07
10007,-21,-1.199410865905358e-07,PASS,wobble_float64,1.199410865905358e-07
10009,-22,-1.254683633813389e-07,PASS,wobble_float64,1.254683633813389e-07
10037,-19,-1.086394241259182e-07,PASS,wobble_float64,1.086394241259182e-07
10039,-19,-1.124741028690393e-07,PASS,wobble_float64,1.124741028690393e-07
10061,-18,-1.068473008903676e-07,PASS,wobble_float64,1.068473008903676e-07
10067,-18,-1.064294338671710e-07,PASS,wobble_float64,1.064294338671710e-07
10069,-19,-1.126497226989429e-07,PASS,wobble_float64,1.126497226989429e-07
10079,-15,-1.041684265491537e-07,PASS,wobble_float64,1.041684265491537e-07
10091,-15,-1.030839383117139e-07,PASS,wobble_float64,1.030839383117139e-07
10093,-16,-1.084163509219123e-07,PASS,wobble_float64,1.084163509219123e-07
10099,-17,-1.111882815474298e-07,PASS,wobble_float64,1.111882815474298e-07
10103,-16,-1.112438071624602e-07,PASS,wobble_float64,1.112438071624602e-07
10111,-17,-1.161108677911950e-07,PASS,wobble_float64,1.161108677911950e-07
10133,-15,-1.047063732334086e-07,PASS,wobble_float64,1.047063732334086e-07
10139,-17,-1.127707001826432e-07,PASS,wobble_float64,1.127707001826432e-07
10141,-18,-1.179658261016167e-07,PASS,wobble_float64,1.179658261016167e-07
10151,-18,-1.185461345381612e-07,PASS,wobble_float64,1.185461345381612e-07
10159,-20,-1.241244868895611e-07,PASS,wobble_float64,1.241244868895611e-07
10163,-20,-1.257134194474900e-07,PASS,wobble_float64,1.257134194474900e-07
10169,-20,-1.296519925589936e-07,PASS,wobble_float64,1.296519925589936e-07
10177,-18,-1.230541111997048e-07,PASS,wobble_float64,1.230541111997048e-07
10181,-20,-1.318591683134145e-07,PASS,wobble_float64,1.318591683134145e-07
10193,-21,-1.298989603824234e-07,PASS,wobble_float64,1.298989603824234e-07
10211,-24,-1.372632571527738e-07,PASS,wobble_float64,1.372632571527738e-07
10223,-20,-1.214598787532774e-07,PASS,wobble_float64,1.214598787532774e-07
10243,-17,-1.076228744230508e-07,PASS,wobble_float64,1.076228744230508e-07
10247,-20,-1.191903825042121e-07,PASS,wobble_float64,1.191903825042121e-07
10253,-20,-1.211898558959999e-07,PASS,wobble_float64,1.211898558959999e-07
10259,-25,-1.367980506312213e-07,PASS,wobble_float64,1.367980506312213e-07
10267,-25,-1.356171885529348e-07,PASS,wobble_float64,1.356171885529348e-07
10271,-25,-1.409905831580846e-07,PASS,wobble_float64,1.409905831580846e-07
10273,-26,-1.461849444972117e-07,PASS,wobble_float64,1.461849444972117e-07
10289,-30,-1.591318665585353e-07,PASS,wobble_float64,1.591318665585353e-07
10301,-30,-1.594388453814307e-07,PASS,wobble_float64,1.594388453814307e-07
10303,-30,-1.629076844396441e-07,PASS,wobble_float64,1.629076844396441e-07
10313,-31,-1.662838216178310e-07,PASS,wobble_float64,1.662838216178310e-07
10321,-30,-1.622369507219180e-07,PASS,wobble_float64,1.622369507219180e-07
10331,-34,-1.736450491956847e-07,PASS,wobble_float64,1.736450491956847e-07
10333,-35,-1.784196306219823e-07,PASS,wobble_float64,1.784196306219823e-07
10337,-34,-1.785124998755295e-07,PASS,wobble_float64,1.785124998755295e-07
10343,-35,-1.806081266184946e-07,PASS,wobble_float64,1.806081266184946e-07
10357,-34,-1.760243962084214e-07,PASS,wobble_float64,1.760243962084214e-07
10369,-32,-1.650336792628657e-07,PASS,wobble_float64,1.650336792628657e-07
10391,-32,-1.609620712872585e-07,PASS,wobble_float64,1.609620712872585e-07
10399,-31,-1.566188684749836e-07,PASS,wobble_float64,1.566188684749836e-07
10427,-24,-1.275053698224406e-07,PASS,wobble_float64,1.275053698224406e-07
10429,-25,-1.317065942096186e-07,PASS,wobble_float64,1.317065942096186e-07
10433,-25,-1.358809472320306e-07,PASS,wobble_float64,1.358809472320306e-07
10453,-24,-1.259639959544893e-07,PASS,wobble_float64,1.259639959544893e-07
10457,-23,-1.252865431887294e-07,PASS,wobble_float64,1.252865431887294e-07
10459,-24,-1.297274407558238e-07,PASS,wobble_float64,1.297274407558238e-07
10463,-25,-1.360918611886997e-07,PASS,wobble_float64,1.360918611886997e-07
10477,-20,-1.196467365237270e-07,PASS,wobble_float64,1.196467365237270e-07
10487,-21,-1.198927524142883e-07,PASS,wobble_float64,1.198927524142883e-07
10499,-21,-1.160781866515537e-07,PASS,wobble_float64,1.160781866515537e-07
10501,-22,-1.209437445858760e-07,PASS,wobble_float64,1.209437445858760e-07
10513,-26,-1.358760352599564e-07,PASS,wobble_float64,1.358760352599564e-07
10529,-27,-1.355944566945740e-07,PASS,wobble_float64,1.355944566945740e-07
10531,-28,-1.403948638969055e-07,PASS,wobble_float64,1.403948638969055e-07
10559,-21,-1.086244179388429e-07,PASS,wobble_float64,1.086244179388429e-07
10567,-20,-1.066494437420185e-07,PASS,wobble_float64,1.066494437420185e-07
10589,-16,-9.120799604627242e-08,PASS,wobble_float64,9.120799604627242e-08
10597,-17,-1.013258759940136e-07,PASS,wobble_float64,1.013258759940136e-07
10601,-18,-1.050362994252032e-07,PASS,wobble_float64,1.050362994252032e-07
10607,-16,-1.010928525219541e-07,PASS,wobble_float64,1.010928525219541e-07
10613,-18,-1.085154633575646e-07,PASS,wobble_float64,1.085154633575646e-07
10627,-20,-1.169079537697827e-07,PASS,wobble_float64,1.169079537697827e-07
10631,-22,-1.212834479228693e-07,PASS,wobble_float64,1.212834479228693e-07
10639,-24,-1.256196156532494e-07,PASS,wobble_float64,1.256196156532494e-07
10651,-21,-1.141200297457515e-07,PASS,wobble_float64,1.141200297457515e-07
10657,-23,-1.189347495861938e-07,PASS,wobble_float64,1.189347495861938e-07
10663,-23,-1.175948840237813e-07,PASS,wobble_float64,1.175948840237813e-07
10667,-23,-1.207466433960687e-07,PASS,wobble_float64,1.207466433960687e-07
10687,-16,-9.552884829147146e-08,PASS,wobble_float64,9.552884829147146e-08
10691,-19,-1.047801445893895e-07,PASS,wobble_float64,1.047801445893895e-07
10709,-18,-1.005173853976837e-07,PASS,wobble_float64,1.005173853976837e-07
10711,-19,-1.055746253527258e-07,PASS,wobble_float64,1.055746253527258e-07
10723,-19,-9.995418527301739e-08,PASS,wobble_float64,9.995418527301739e-08
10729,-20,-1.031222156867444e-07,PASS,wobble_float64,1.031222156867444e-07
10733,-20,-1.051976369624460e-07,PASS,wobble_float64,1.051976369624460e-07
10739,-22,-1.123171711888777e-07,PASS,wobble_float64,1.123171711888777e-07
10753,-20,-1.018008581349670e-07,PASS,wobble_float64,1.018008581349670e-07
10771,-20,-1.015356249324463e-07,PASS,wobble_float64,1.015356249324463e-07
10781,-19,-9.688233399427273e-08,PASS,wobble_float64,9.688233399427273e-08
10789,-20,-1.004721976617250e-07,PASS,wobble_float64,1.004721976617250e-07
10799,-19,-1.018925229491881e-07,PASS,wobble_float64,1.018925229491881e-07
10831,-11,-6.754251988846087e-08,PASS,wobble_float64,6.754251988846087e-08
10837,-13,-7.561449068246758e-08,PASS,wobble_float64,7.561449068246758e-08
10847,-8,-6.297822689944107e-08,PASS,wobble_float64,6.297822689944107e-08
10853,-7,-5.865832440109464e-08,PASS,wobble_float64,5.865832440109464e-08
10859,-9,-6.714422433207342e-08,PASS,wobble_float64,6.714422433207342e-08
10861,-10,-7.111778470228621e-08,PASS,wobble_float64,7.111778470228621e-08
10867,-12,-7.965570953954602e-08,PASS,wobble_float64,7.965570953954602e-08
10883,-9,-6.738299262890133e-08,PASS,wobble_float64,6.738299262890133e-08
10889,-11,-7.587934736867885e-08,PASS,wobble_float64,7.587934736867885e-08
10891,-12,-8.041253240815579e-08,PASS,wobble_float64,8.041253240815579e-08
10903,-8,-7.018382448420338e-08,PASS,wobble_float64,7.018382448420338e-08
10909,-8,-7.172734650398924e-08,PASS,wobble_float64,7.172734650398924e-08
10937,-7,-6.129467032876492e-08,PASS,wobble_float64,6.129467032876492e-08
10939,-9,-6.735499249304071e-08,PASS,wobble_float64,6.735499249304071e-08
10949,-12,-7.611666600645619e-08,PASS,wobble_float64,7.611666600645619e-08
10957,-12,-7.499125056248022e-08,PASS,wobble_float64,7.499125056248022e-08
10973,-8,-6.168910336215968e-08,PASS,wobble_float64,6.168910336215968e-08
10979,-8,-6.300358093070025e-08,PASS,wobble_float64,6.300358093070025e-08
10987,-10,-6.643932046470708e-08,PASS,wobble_float64,6.643932046470708e-08
10993,-9,-6.658999240350663e-08,PASS,wobble_float64,6.658999240350663e-08
11003,-10,-6.642170765806072e-08,PASS,wobble_float64,6.642170765806072e-08
11027,-3,-4.092591591883338e-08,PASS,wobble_float64,4.092591591883338e-08
11047,-1,-3.946312568559881e-08,PASS,wobble_float64,3.946312568559881e-08
11083,-2,-4.344633139869239e-08,PASS,wobble_float64,4.344633139869239e-08
11087,-5,-5.342183157693985e-08,PASS,wobble_float64,5.342183157693985e-08
11093,-5,-5.353041232013884e-08,PASS,wobble_float64,5.353041232013884e-08
11131,-1,-4.268620760261235e-08,PASS,wobble_float64,4.268620760261235e-08
11149,-2,-4.604685324864280e-08,PASS,wobble_float64,4.604685324864280e-08
11159,-3,-4.818507430898373e-08,PASS,wobble_float64,4.818507430898373e-08
11161,-4,-5.245579281738051e-08,PASS,wobble_float64,5.245579281738051e-08
11171,-4,-5.069833645646616e-08,PASS,wobble_float64,5.069833645646616e-08
11173,-5,-5.496814117713391e-08,PASS,wobble_float64,5.496814117713391e-08
11177,-7,-6.238492701259420e-08,PASS,wobble_float64,6.238492701259420e-08
11261,-2,-3.652444700871327e-08,PASS,wobble_float64,3.652444700871327e-08
11273,-3,-3.423874242406425e-08,PASS,wobble_float64,3.423874242406425e-08
11279,-4,-3.813389379149609e-08,PASS,wobble_float64,3.813389379149609e-08
11287,-3,-3.538304893406562e-08,PASS,wobble_float64,3.538304893406562e-08
11299,-3,-3.833461023267158e-08,PASS,wobble_float64,3.833461023267158e-08
12569,-1,-4.759584663233015e-08,PASS,wobble_float64,4.759584663233015e-08
12583,-1,-4.932665465633959e-08,PASS,wobble_float64,4.932665465633959e-08
12589,-1,-5.042879601054750e-08,PASS,wobble_float64,5.042879601054750e-08
12601,-2,-5.125169396921135e-08,PASS,wobble_float64,5.125169396921135e-08
12917,-1,-4.746300382429405e-08,PASS,wobble_float64,4.746300382429405e-08
12919,-3,-5.181602745846578e-08,PASS,wobble_float64,5.181602745846578e-08
12923,-4,-5.560175037983640e-08,PASS,wobble_float64,5.560175037983640e-08
12941,-5,-5.861051185177831e-08,PASS,wobble_float64,5.861051185177831e-08
12953,-5,-5.674338152551316e-08,PASS,wobble_float64,5.674338152551316e-08
12959,-4,-5.759623930079379e-08,PASS,wobble_float64,5.759623930079379e-08
12967,-4,-5.740243422007251e-08,PASS,wobble_float64,5.740243422007251e-08
12973,-7,-6.423220269234089e-08,PASS,wobble_float64,6.423220269234089e-08
12979,-8,-6.568038093641233e-08,PASS,wobble_float64,6.568038093641233e-08
12983,-7,-6.451156265609159e-08,PASS,wobble_float64,6.451156265609159e-08
13001,-10,-7.027116615127818e-08,PASS,wobble_float64,7.027116615127818e-08
13003,-10,-7.249123809320107e-08,PASS,wobble_float64,7.249123809320107e-08
13007,-12,-7.629221579304375e-08,PASS,wobble_float64,7.629221579304375e-08
13009,-13,-7.961823855638834e-08,PASS,wobble_float64,7.961823855638834e-08
13033,-13,-7.283154709997164e-08,PASS,wobble_float64,7.283154709997164e-08
13037,-13,-7.368638747133285e-08,PASS,wobble_float64,7.368638747133285e-08
13043,-13,-7.715530856573750e-08,PASS,wobble_float64,7.715530856573750e-08
13049,-13,-7.792283035686911e-08,PASS,wobble_float64,7.792283035686911e-08
13063,-12,-7.571000580324362e-08,PASS,wobble_float64,7.571000580324362e-08
13093,-12,-6.855864997063019e-08,PASS,wobble_float64,6.855864997063019e-08
13099,-10,-6.611854158191451e-08,PASS,wobble_float64,6.611854158191451e-08
13103,-11,-6.971897009729988e-08,PASS,wobble_float64,6.971897009729988e-08
13109,-11,-7.140794046076249e-08,PASS,wobble_float64,7.140794046076249e-08
13121,-13,-7.439899579391671e-08,PASS,wobble_float64,7.439899579391671e-08
13127,-12,-7.377178677325466e-08,PASS,wobble_float64,7.377178677325466e-08
13147,-8,-6.723595984402139e-08,PASS,wobble_float64,6.723595984402139e-08
13151,-9,-7.110659639802909e-08,PASS,wobble_float64,7.110659639802909e-08
13159,-8,-6.759732598011234e-08,PASS,wobble_float64,6.759732598011234e-08
13163,-9,-7.088273032776899e-08,PASS,wobble_float64,7.088273032776899e-08
13171,-8,-6.901095785727732e-08,PASS,wobble_float64,6.901095785727732e-08
13177,-9,-7.258840685089418e-08,PASS,wobble_float64,7.258840685089418e-08
13183,-12,-7.933182803419734e-08,PASS,wobble_float64,7.933182803419734e-08
13187,-14,-8.443735177031977e-08,PASS,wobble_float64,8.443735177031977e-08
13217,-7,-6.558100676150102e-08,PASS,wobble_float64,6.558100676150102e-08
13219,-9,-6.972938002496016e-08,PASS,wobble_float64,6.972938002496016e-08
13229,-10,-7.108414269322650e-08,PASS,wobble_float64,7.108414269322650e-08
13241,-11,-7.276679035815304e-08,PASS,wobble_float64,7.276679035815304e-08
13249,-15,-7.926916406827571e-08,PASS,wobble_float64,7.926916406827571e-08
13259,-18,-8.329175779364379e-08,PASS,wobble_float64,8.329175779364379e-08
13267,-19,-8.461168241934381e-08,PASS,wobble_float64,8.461168241934381e-08
13291,-17,-7.769986902865636e-08,PASS,wobble_float64,7.769986902865636e-08
13297,-17,-7.828032419989633e-08,PASS,wobble_float64,7.828032419989633e-08
13309,-15,-7.282823502697758e-08,PASS,wobble_float64,7.282823502697758e-08
13313,-16,-7.607972733434407e-08,PASS,wobble_float64,7.607972733434407e-08
13327,-14,-7.184204169915733e-08,PASS,wobble_float64,7.184204169915733e-08
13331,-14,-7.304978916768633e-08,PASS,wobble_float64,7.304978916768633e-08
13337,-14,-7.230553701292848e-08,PASS,wobble_float64,7.230553701292848e-08
13339,-15,-7.524398854669417e-08,PASS,wobble_float64,7.524398854669417e-08
13367,-13,-6.941805000202755e-08,PASS,wobble_float64,6.941805000202755e-08
13381,-8,-5.835392913220935e-08,PASS,wobble_float64,5.835392913220935e-08
13397,-1,-4.441193872762401e-08,PASS,wobble_float64,4.441193872762401e-08
13399,-3,-4.821473692035371e-08,PASS,wobble_float64,4.821473692035371e-08
13411,-4,-5.147832405422365e-08,PASS,wobble_float64,5.147832405422365e-08
13417,-6,-5.579087715175125e-08,PASS,wobble_float64,5.579087715175125e-08
13421,-6,-5.692127376873981e-08,PASS,wobble_float64,5.692127376873981e-08
13441,-3,-4.715407441006496e-08,PASS,wobble_float64,4.715407441006496e-08
13451,-1,-4.434113984974175e-08,PASS,wobble_float64,4.434113984974175e-08
13457,-1,-4.367512383977363e-08,PASS,wobble_float64,4.367512383977363e-08
13463,-4,-4.851622996361935e-08,PASS,wobble_float64,4.851622996361935e-08
13469,-3,-4.688426995880988e-08,PASS,wobble_float64,4.688426995880988e-08
13477,-1,-4.490021773968214e-08,PASS,wobble_float64,4.490021773968214e-08
13487,-2,-4.602917020921608e-08,PASS,wobble_float64,4.602917020921608e-08
13499,-2,-4.626946383127280e-08,PASS,wobble_float64,4.626946383127280e-08
13513,-3,-4.757765377931723e-08,PASS,wobble_float64,4.757765377931723e-08
13729,-1,-4.797545171474440e-08,PASS,wobble_float64,4.797545171474440e-08
13763,-2,-5.109300513057115e-08,PASS,wobble_float64,5.109300513057115e-08
13789,-4,-5.043610692180973e-08,PASS,wobble_float64,5.043610692180973e-08
13799,-2,-4.774997965702622e-08,PASS,wobble_float64,4.774997965702622e-08
13807,-5,-5.225244933651274e-08,PASS,wobble_float64,5.225244933651274e-08
13829,-2,-4.416948297747219e-08,PASS,wobble_float64,4.416948297747219e-08
13831,-2,-4.624302879286974e-08,PASS,wobble_float64,4.624302879286974e-08
13877,-2,-4.433704901746135e-08,PASS,wobble_float64,4.433704901746135e-08
13879,-3,-4.726484583087560e-08,PASS,wobble_float64,4.726484583087560e-08
13883,-6,-5.326669881967303e-08,PASS,wobble_float64,5.326669881967303e-08
13901,-6,-5.391040406364062e-08,PASS,wobble_float64,5.391040406364062e-08
13903,-6,-5.591301867519555e-08,PASS,wobble_float64,5.591301867519555e-08
13907,-8,-6.036130776258103e-08,PASS,wobble_float64,6.036130776258103e-08
13913,-6,-5.769082891665108e-08,PASS,wobble_float64,5.769082891665108e-08
13921,-4,-5.495466738739591e-08,PASS,wobble_float64,5.495466738739591e-08
13933,-1,-5.144059866953819e-08,PASS,wobble_float64,5.144059866953819e-08
14657,-2,-1.085532631285683e-08,PASS,wobble_float64,1.085532631285683e-08
14737,-2,-1.580941722603295e-08,PASS,wobble_float64,1.580941722603295e-08
14741,-2,-1.659655856849589e-08,PASS,wobble_float64,1.659655856849589e-08
14747,-4,-1.954041352173369e-08,PASS,wobble_float64,1.954041352173369e-08
14753,-5,-2.289969614705168e-08,PASS,wobble_float64,2.289969614705168e-08
14759,-8,-2.714249001239537e-08,PASS,wobble_float64,2.714249001239537e-08
14767,-5,-2.249682185359619e-08,PASS,wobble_float64,2.249682185359619e-08
14771,-5,-2.409624698141859e-08,PASS,wobble_float64,2.409624698141859e-08
14779,-7,-2.842789717835665e-08,PASS,wobble_float64,2.842789717835665e-08
14783,-10,-3.413885664834754e-08,PASS,wobble_float64,3.413885664834754e-08
14797,-9,-3.062706586814821e-08,PASS,wobble_float64,3.062706586814821e-08
14813,-10,-2.920970108471262e-08,PASS,wobble_float64,2.920970108471262e-08
14821,-13,-3.490758146817009e-08,PASS,wobble_float64,3.490758146817009e-08
14827,-12,-3.530003266050911e-08,PASS,wobble_float64,3.530003266050911e-08
14831,-13,-3.767538515880983e-08,PASS,wobble_float64,3.767538515880983e-08
14843,-15,-4.102644752828515e-08,PASS,wobble_float64,4.102644752828515e-08
14851,-15,-4.081524080501832e-08,PASS,wobble_float64,4.081524080501832e-08
14867,-14,-3.919465463358220e-08,PASS,wobble_float64,3.919465463358220e-08
14869,-15,-4.153734664577124e-08,PASS,wobble_float64,4.153734664577124e-08
14879,-15,-4.090748415041309e-08,PASS,wobble_float64,4.090748415041309e-08
14887,-17,-4.420808710173008e-08,PASS,wobble_float64,4.420808710173008e-08
14891,-20,-4.873005177699678e-08,PASS,wobble_float64,4.873005177699678e-08
14897,-21,-4.992859812378870e-08,PASS,wobble_float64,4.992859812378870e-08
14923,-15,-3.812518602398394e-08,PASS,wobble_float64,3.812518602398394e-08
14929,-18,-4.367987843977375e-08,PASS,wobble_float64,4.367987843977375e-08
14939,-19,-4.555148979232027e-08,PASS,wobble_float64,4.555148979232027e-08
14947,-20,-4.752292221143372e-08,PASS,wobble_float64,4.752292221143372e-08
14951,-21,-5.086458578518215e-08,PASS,wobble_float64,5.086458578518215e-08
14957,-21,-5.024664905408060e-08,PASS,wobble_float64,5.024664905408060e-08
14969,-20,-4.708788903148289e-08,PASS,wobble_float64,4.708788903148289e-08
14983,-12,-3.559387260052596e-08,PASS,wobble_float64,3.559387260052596e-08
15013,-5,-2.147585957406082e-08,PASS,wobble_float64,2.147585957406082e-08
15017,-6,-2.330874721677428e-08,PASS,wobble_float64,2.330874721677428e-08
15031,-6,-2.172970894250025e-08,PASS,wobble_float64,2.172970894250025e-08
15053,-2,-1.426658255454413e-08,PASS,wobble_float64,1.426658255454413e-08
15091,-1,-1.787720048458306e-08,PASS,wobble_float64,1.787720048458306e-08
15269,-1,-2.364006355141192e-08,PASS,wobble_float64,2.364006355141192e-08
15271,-1,-2.535112689391173e-08,PASS,wobble_float64,2.535112689391173e-08
15277,-3,-2.840885058869990e-08,PASS,wobble_float64,2.840885058869990e-08
15287,-6,-3.463612778408138e-08,PASS,wobble_float64,3.463612778408138e-08
15289,-7,-3.694122715470566e-08,PASS,wobble_float64,3.694122715470566e-08
15299,-4,-3.155782220837385e-08,PASS,wobble_float64,3.155782220837385e-08
15307,-6,-3.383873933984700e-08,PASS,wobble_float64,3.383873933984700e-08
15313,-7,-3.527332087001475e-08,PASS,wobble_float64,3.527332087001475e-08
15319,-8,-3.796781150801787e-08,PASS,wobble_float64,3.796781150801787e-08
15329,-11,-4.342457778098638e-08,PASS,wobble_float64,4.342457778098638e-08
15331,-13,-4.625784366864310e-08,PASS,wobble_float64,4.625784366864310e-08
15349,-9,-3.823721673300052e-08,PASS,wobble_float64,3.823721673300052e-08
