p,M(p),delta_w,verified,method,margin_or_dw
617,-3,-9.820970376385376e-06,PASS,exact+wobble,9.820970376385376e-06
619,-5,-1.159097883993913e-05,PASS,exact+wobble,1.159097883993913e-05
631,-3,-9.353168719883147e-06,PASS,exact+wobble,9.353168719883147e-06
641,-2,-7.995932768056703e-06,PASS,exact+wobble,7.995932768056703e-06
643,-4,-9.652556940181224e-06,PASS,exact+wobble,9.652556940181224e-06
647,-7,-1.232225150237431e-05,PASS,exact+wobble,1.232225150237431e-05
653,-8,-1.270260924338823e-05,PASS,exact+wobble,1.270260924338823e-05
659,-10,-1.326372916252096e-05,PASS,exact+wobble,1.326372916252096e-05
661,-11,-1.421731249804563e-05,PASS,exact+wobble,1.421731249804563e-05
673,-11,-1.306003797433241e-05,PASS,exact+wobble,1.306003797433241e-05
677,-11,-1.342994695982189e-05,PASS,exact+wobble,1.342994695982189e-05
683,-12,-1.358882941662070e-05,PASS,exact+wobble,1.358882941662070e-05
691,-9,-1.146635792210419e-05,PASS,exact+wobble,1.146635792210419e-05
701,-5,-8.589116014985089e-06,PASS,exact+wobble,8.589116014985089e-06
709,-4,-7.814722901931543e-06,PASS,exact+wobble,7.814722901931543e-06
719,-3,-6.684748085722132e-06,PASS,exact+wobble,6.684748085722132e-06
727,-2,-5.595544998325173e-06,PASS,exact+wobble,5.595544998325173e-06
733,-3,-6.250606118149774e-06,PASS,exact+wobble,6.250606118149774e-06
739,-2,-5.893626175580442e-06,PASS,exact+wobble,5.893626175580442e-06
743,-5,-7.999582210140954e-06,PASS,exact+wobble,7.999582210140954e-06
751,-3,-6.806474542673320e-06,PASS,exact+wobble,6.806474542673320e-06
757,-3,-6.633683063383229e-06,PASS,exact+wobble,6.633683063383229e-06
761,-4,-7.644611300739205e-06,PASS,exact+wobble,7.644611300739205e-06
769,-3,-6.557355033133669e-06,PASS,exact+wobble,6.557355033133669e-06
773,-2,-6.252374709032676e-06,PASS,exact+wobble,6.252374709032676e-06
787,-2,-5.079628374409645e-06,PASS,exact+wobble,5.079628374409645e-06
797,-1,-3.649001804998308e-06,PASS,exact+wobble,3.649001804998308e-06
827,-2,-4.679018297708455e-06,PASS,exact+wobble,4.679018297708455e-06
829,-3,-5.472490585153628e-06,PASS,exact+wobble,5.472490585153628e-06
839,-3,-5.178930115526154e-06,PASS,exact+wobble,5.178930115526154e-06
857,-2,-4.637491648609997e-06,PASS,exact+wobble,4.637491648609997e-06
859,-2,-5.126616976453588e-06,PASS,exact+wobble,5.126616976453588e-06
863,-3,-5.992913931270310e-06,PASS,exact+wobble,5.992913931270310e-06
887,-1,-5.753258458978771e-06,PASS,exact+wobble,5.753258458978771e-06
907,-1,-3.996471305439480e-06,PASS,exact+wobble,3.996471305439480e-06
911,-1,-4.097568347956587e-06,PASS,exact+wobble,4.097568347956587e-06
1019,-1,-3.261393117304722e-06,PASS,exact+wobble,3.261393117304722e-06
1021,-2,-3.698717677092346e-06,PASS,exact+wobble,3.698717677092346e-06
1031,-5,-4.211519929088448e-06,PASS,exact+wobble,4.211519929088448e-06
1033,-6,-4.732609518507628e-06,PASS,exact+wobble,4.732609518507628e-06
1039,-8,-5.300294476031633e-06,PASS,exact+wobble,5.300294476031633e-06
1049,-5,-4.455011410806758e-06,PASS,exact+wobble,4.455011410806758e-06
1051,-6,-4.895648161066255e-06,PASS,exact+wobble,4.895648161066255e-06
1061,-5,-4.360683257962706e-06,PASS,exact+wobble,4.360683257962706e-06
1063,-6,-4.867619128594400e-06,PASS,exact+wobble,4.867619128594400e-06
1069,-8,-5.455136728027684e-06,PASS,exact+wobble,5.455136728027684e-06
1087,-8,-4.495244066547331e-06,PASS,exact+wobble,4.495244066547331e-06
1091,-10,-5.073708950567167e-06,PASS,exact+wobble,5.073708950567167e-06
1093,-11,-5.433797181743252e-06,PASS,exact+wobble,5.433797181743252e-06
1097,-12,-5.787225210380988e-06,PASS,exact+wobble,5.787225210380988e-06
1103,-12,-5.758009005601950e-06,PASS,exact+wobble,5.758009005601950e-06
1109,-15,-6.489772279828993e-06,PASS,exact+wobble,6.489772279828993e-06
1117,-13,-5.997851416904851e-06,PASS,exact+wobble,5.997851416904851e-06
1123,-12,-5.757645908957510e-06,PASS,exact+wobble,5.757645908957510e-06
1129,-12,-5.780025666986483e-06,PASS,exact+wobble,5.780025666986483e-06
1151,-6,-3.346299540120889e-06,PASS,exact+wobble,3.346299540120889e-06
1153,-7,-3.734329383364363e-06,PASS,exact+wobble,3.734329383364363e-06
1163,-6,-3.271509062945446e-06,PASS,exact+wobble,3.271509062945446e-06
1171,-5,-2.889996264914593e-06,PASS,exact+wobble,2.889996264914593e-06
1181,-6,-2.941270988495652e-06,PASS,exact+wobble,2.941270988495652e-06
1187,-8,-3.398462345071567e-06,PASS,exact+wobble,3.398462345071567e-06
1193,-6,-2.970889022925515e-06,PASS,exact+wobble,2.970889022925515e-06
1201,-5,-2.758275624919538e-06,PASS,exact+wobble,2.758275624919538e-06
1213,-2,-2.058593516541672e-06,PASS,exact+wobble,2.058593516541672e-06
1217,-2,-2.216785844176387e-06,PASS,exact+wobble,2.216785844176387e-06
1223,-3,-2.573837723059288e-06,PASS,exact+wobble,2.573837723059288e-06
1229,-2,-2.396482708307891e-06,PASS,exact+wobble,2.396482708307891e-06
1231,-2,-2.648998192353812e-06,PASS,exact+wobble,2.648998192353812e-06
1237,-3,-3.046672985931235e-06,PASS,exact+wobble,3.046672985931235e-06
1249,-3,-2.692428783001612e-06,PASS,exact+wobble,2.692428783001612e-06
1259,-1,-2.049349325622092e-06,PASS,exact+wobble,2.049349325622092e-06
1283,-1,-1.920721695674883e-06,PASS,exact+wobble,1.920721695674883e-06
1301,-1,-2.639655875367282e-06,PASS,exact+wobble,2.639655875367282e-06
1303,-1,-2.854195519487587e-06,PASS,exact+wobble,2.854195519487587e-06
1307,-1,-3.003727058998522e-06,PASS,exact+wobble,3.003727058998522e-06
1319,-1,-3.049055094995925e-06,PASS,exact+wobble,3.049055094995925e-06
1321,-2,-3.326583172291058e-06,PASS,exact+wobble,3.326583172291058e-06
1327,-1,-3.225874343485888e-06,PASS,exact+wobble,3.225874343485888e-06
1493,-1,-1.930314107506583e-06,PASS,exact+wobble,1.930314107506583e-06
1499,-3,-2.324036771099403e-06,PASS,exact+wobble,2.324036771099403e-06
1511,-3,-2.141164865019198e-06,PASS,exact+wobble,2.141164865019198e-06
1549,-2,-1.611533541022881e-06,PASS,exact+wobble,1.611533541022881e-06
1553,-4,-1.968730673537387e-06,PASS,exact+wobble,1.968730673537387e-06
1559,-4,-1.934589179553600e-06,PASS,exact+wobble,1.934589179553600e-06
1567,-3,-1.766673394248996e-06,PASS,exact+wobble,1.766673394248996e-06
1571,-4,-1.915595052619928e-06,PASS,exact+wobble,1.915595052619928e-06
1579,-4,-1.871569242065617e-06,PASS,exact+wobble,1.871569242065617e-06
1583,-7,-2.344370194186601e-06,PASS,exact+wobble,2.344370194186601e-06
1597,-5,-1.922627321105828e-06,PASS,exact+wobble,1.922627321105828e-06
1601,-8,-2.348761714902144e-06,PASS,exact+wobble,2.348761714902144e-06
1607,-10,-2.536006671125218e-06,PASS,exact+wobble,2.536006671125218e-06
1609,-11,-2.753297602703418e-06,PASS,exact+wobble,2.753297602703418e-06
1613,-11,-2.879192694648335e-06,PASS,exact+wobble,2.879192694648335e-06
1619,-13,-3.180156709449921e-06,PASS,exact+wobble,3.180156709449921e-06
1621,-14,-3.374610071961372e-06,PASS,exact+wobble,3.374610071961372e-06
1627,-14,-3.397788039431651e-06,PASS,exact+wobble,3.397788039431651e-06
1637,-16,-3.428340199430619e-06,PASS,exact+wobble,3.428340199430619e-06
1657,-10,-2.540694358991568e-06,PASS,exact+wobble,2.540694358991568e-06
1663,-11,-2.652965581689381e-06,PASS,exact+wobble,2.652965581689381e-06
1667,-12,-2.879434078475324e-06,PASS,exact+wobble,2.879434078475324e-06
1669,-13,-3.093658869278329e-06,PASS,exact+wobble,3.093658869278329e-06
