p,n,M_p,B,C,Term2,correction_over_C,margin
2347,1672979,-3,2345333.8002910293,278117.9583257167,-1033607.9209826563,-3.716437,4.216437
2377,1716135,-3,2593685.7406229163,285926.1294358131,-1153879.8055935516,-4.035587,4.535587
2543,1964371,-3,2166499.4564587395,325215.5703135145,-920641.9430726125,-2.830867,3.330867
3049,2824407,-3,4012514.7033331939,468934.5186546704,-1771790.0923392617,-3.778332,4.278332
3067,2857681,-3,4240347.3861077065,474645.3488259732,-1882851.0186408665,-3.966859,4.466859
3079,2880211,-3,3991811.5908342963,477460.3321997522,-1757175.6293172720,-3.680255,4.180255
3617,3975079,-3,6344896.9563681940,660210.7356308876,-2842343.1103686532,-4.305206,4.805206
3671,4094241,-3,6457914.2747740233,678124.2414678640,-2889895.0166530795,-4.261601,4.761601
4547,6282051,-3,8477100.8797366098,1043549.9257147604,-3716775.4770109248,-3.561665,4.061665
4591,6404223,-3,8911350.6635599528,1065694.4767098452,-3922828.0934250536,-3.681006,4.181006
4643,6550175,-3,8981157.8853624072,1087382.1036767268,-3946887.8908428401,-3.629716,4.129716
4649,6567305,-3,9127297.7611206677,1091102.0173754611,-4018097.8718726034,-3.682605,4.182605
5147,8049867,-3,12567334.5758485366,1335440.9444563838,-5615946.8156960765,-4.205313,4.705313
5167,8112335,-3,11182801.6294039059,1348763.4393244479,-4917019.0950397290,-3.645576,4.145576
5179,8150711,-3,11328694.9931037407,1353228.6533735171,-4987733.1698651118,-3.685802,4.185802
5237,8334019,-3,10965961.4619989954,1385678.4278696566,-4790141.5170646692,-3.456893,3.956893
5939,10718769,-3,25206290.9326351546,1777650.0906639977,-11714320.4209855776,-6.589779,7.089779
5953,10769189,-3,23092697.3169307299,1790936.2761242790,-10650880.5204032250,-5.947102,6.447102
6113,11355637,-3,17826821.1946450658,1888440.8105814490,-7969190.1920318082,-4.219984,4.719984
6131,11422657,-3,16483011.8342731427,1897934.1509886016,-7292538.8416422708,-3.842356,4.342356
6199,11677827,-3,12347843.8731718101,1940449.5005121829,-5203697.1863298137,-2.681697,3.181697
7193,15723245,-3,28248956.2475961857,2616373.3433352951,-12816291.4521304443,-4.898495,5.398495
7207,15783913,-3,26508315.3611006141,2622749.8946699328,-11942782.7332153413,-4.553535,5.053535
7211,15801647,-3,28587218.3515452147,2629879.7979258779,-12978669.2768096682,-4.935081,5.435081
7229,15880949,-3,32582859.0824840292,2640471.6239562333,-14971193.7292638980,-5.669894,6.169894
7589,17502283,-3,36109136.7326397002,2909360.4242357593,-16599888.1542019695,-5.705683,6.205683
7603,17566829,-3,37058314.6533327922,2922037.5567678423,-17068138.5482824743,-5.841177,6.341177
7607,17585777,-3,37874710.4592661858,2922868.6879722048,-17475920.8856469914,-5.979030,6.479030
7717,18097533,-3,41604303.2558185980,3010816.2972062621,-19296743.4793061689,-6.409140,6.909140
7883,18885513,-3,38170124.7300174832,3138936.4135355945,-17515594.1582409441,-5.580105,6.080105
7933,19125065,-3,38639687.2306124195,3180507.8031964973,-17729589.7137079611,-5.574453,6.074453
7937,19144851,-3,40362383.0816037729,3183561.9384080134,-18589410.5715978816,-5.839186,6.339186
9241,25953023,-3,43454292.5209566206,4326770.8149494752,-19563760.8530035727,-4.521562,5.021562
9277,26153851,-3,43364673.0915621147,4354009.9047359414,-19505331.5934130847,-4.479855,4.979855
9281,26177529,-3,44640382.7794075161,4355295.5204209015,-20142543.6294933073,-4.624840,5.124840
9391,26801835,-3,44383774.1816478297,4460597.6196498061,-19961588.2809990123,-4.475093,4.975093
9397,26836049,-3,46222630.2460104600,4467300.7899213284,-20877664.7280445658,-4.673441,5.173441
11027,36954677,-3,50295684.7098283842,6148402.8761934051,-22073640.9168174900,-3.590142,4.090142
11159,37844513,-3,63227791.9107630700,6291532.1189963045,-28468129.8958833814,-4.524833,5.024833
11273,38622591,-3,45249180.9996108711,6430098.7579398286,-19409541.1208355203,-3.018545,3.518545
11287,38717747,-3,47382639.6052740812,6446407.2208117163,-20468116.1922311820,-3.175120,3.675120
11299,38800139,-3,52025752.4682639241,6456298.9656034019,-22784726.7513302602,-3.529069,4.029069
12919,50726629,-3,125534819.9806058109,8439025.9346292391,-58547897.0229882896,-6.937755,7.437755
13399,54565029,-3,135268230.3719134927,9087700.0126721151,-63090265.1796206906,-6.942380,7.442380
13441,54907557,-3,133929991.6779275686,9147386.7847134601,-62391302.4466070533,-6.820670,7.320670
13469,55136753,-3,134181614.8948782980,9183637.7433388326,-62498988.5757697299,-6.805472,7.305472
13513,55497657,-3,138106049.8417525887,9239235.8012158573,-64433407.0202683657,-6.973889,7.473889
13879,58545347,-3,153146685.3320869207,9746307.6434681695,-71700188.8443093747,-7.356652,7.856652
15277,70932913,-3,132108172.2144091278,11812372.7028793208,-60147899.7557649016,-5.091941,5.591941
17737,95617419,-3,194935563.5203062296,15920930.2894269023,-89507316.6154396683,-5.621990,6.121990
17863,96982909,-3,147467347.3139756322,16146200.2484424319,-65660573.5327666029,-4.066627,4.566627
18671,105952929,-3,259697701.8553844988,17641649.9155332595,-121028025.9699256122,-6.860358,7.360358
18749,106841941,-3,257955680.9886226654,17792912.5297316462,-120081384.2294455171,-6.748832,7.248832
