p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
5237,5236,-10.7959939877,8,-10,-4,2,-3,5,5,17,5
5939,5938,-21.9604553300,-16,4,-8,2,-1,5,11,29,11
5953,5952,-20.6791519199,-15,7,-6,1,0,1,1,13,1
6113,6112,-7.3450835264,-4,2,-2,0,2,5,5,23,17
6131,6130,-6.6141805082,-3,4,-2,-2,1,5,11,11,11
6199,6198,-9.1958925441,3,7,-3,-6,-1,1,7,19,7
7193,7192,-13.6330021805,1,-10,8,-5,-3,5,5,23,17
7207,7206,-12.9295981587,3,-11,8,-5,-3,1,7,7,7
7211,7210,-13.6809443479,2,-11,7,-5,-4,5,11,11,11
7229,7228,-20.2464371955,-1,-13,6,-3,-5,5,5,29,5
7589,7588,-20.3017726635,-8,-1,-1,2,-5,5,5,29,5
7603,7602,-20.5741917556,-8,-1,0,1,-7,1,7,13,19
7607,7606,-20.8369464876,-8,-1,0,1,-7,5,11,17,23
7717,7716,-16.6628650630,-13,1,0,1,-11,1,1,7,13
7883,7882,-15.0088931214,-14,9,-3,-3,-11,5,11,23,11
7933,7932,-9.9330410876,-14,10,-7,-1,-13,1,1,13,13
7937,7936,-10.4514410440,-15,10,-7,-1,-13,5,5,17,17
9241,9240,-12.8699801057,0,-3,-2,1,-1,1,1,1,1
9277,9276,-12.7971487377,-1,-3,-1,0,-1,1,1,7,13
9281,9280,-13.0872110099,-2,-2,-1,0,-1,5,5,11,17
9391,9390,-12.7905259231,-2,2,-4,-2,1,1,7,1,7
9397,9396,-13.1899618738,-3,3,-5,-2,0,1,1,7,13
11027,11026,-5.8157863052,10,-5,8,-3,-3,5,11,17,11
11159,11158,-12.8998244952,5,-7,12,1,-3,5,11,29,23
11273,11272,-15.1671352060,15,-5,8,-4,-10,5,5,23,17
11287,11286,-15.4618486668,16,-6,8,-5,-10,1,7,7,7
11299,11298,-16.1676983689,14,-7,9,-3,-12,1,7,19,19
12919,12918,-17.7451587865,-13,-10,5,-2,0,1,7,19,7
13399,13398,-17.7456689978,-15,-11,4,11,-5,1,7,19,7
13441,13440,-17.4912645913,-17,-4,1,8,-4,1,1,1,1
13469,13468,-17.5108771866,-15,-3,-2,6,-2,5,5,29,5
13513,13512,-17.8398424386,-15,-3,-6,7,-1,1,1,13,1
13879,13878,-18.5730847760,-15,-1,-17,-2,6,1,7,19,7
15277,15276,-14.0412224915,3,-4,-4,-3,4,1,1,7,13
17737,17736,-20.5987240675,3,-8,5,-17,0,1,1,7,1
17863,17862,-12.0038472227,10,-4,2,-14,-5,1,7,13,7
18671,18670,-17.5780772501,-4,-9,-11,5,7,5,11,11,23
18749,18748,-17.3522626602,-6,-6,-7,4,5,5,5,29,5
21839,21838,-14.7651038368,-7,9,-11,-7,6,5,11,29,23
21991,21990,-15.3593643567,-11,8,-10,-4,5,1,7,1,7
22027,22026,-14.4785759493,-7,6,-10,-3,6,1,7,7,19
25189,25188,-13.9406409251,-3,16,-4,-6,-1,1,1,19,13
25357,25356,-18.8343941277,2,17,-2,-10,-4,1,1,7,13
25373,25372,-18.6568825752,3,17,-4,-9,-5,5,5,23,5
25457,25456,-10.7954710490,7,25,-4,-13,-6,5,5,17,17
25913,25912,-12.6183524469,-3,24,-3,-8,-8,5,5,23,17
27239,27238,-8.6782629904,1,3,9,-2,-12,5,11,29,23
27943,27942,-8.2669144653,10,-2,8,-6,-10,1,7,13,7
27983,27982,-7.6938781855,14,-5,7,-6,-9,5,11,23,23
28051,28050,-6.6902802593,16,-5,12,-7,-10,1,7,1,19
28229,28228,-10.6593946112,18,-6,17,-1,-14,5,5,29,5
28571,28570,-9.7006330932,24,-21,7,4,-14,5,11,11,11
28579,28578,-11.2135999979,21,-22,7,6,-15,1,7,19,19
29123,29122,-16.8597084257,1,-26,4,18,-18,5,11,23,11
29137,29136,-18.1839148045,1,-28,2,18,-18,1,1,7,1
33461,33460,-20.0637483919,-20,-1,-15,3,11,5,5,11,5
33469,33468,-20.2112872214,-20,-2,-16,4,12,1,1,19,13
33547,33546,-27.3856161669,-22,-4,-19,8,10,1,7,7,19
36307,36306,-16.3447704097,-17,17,2,6,-2,1,7,7,19
36341,36340,-15.7890500568,-15,15,5,3,0,5,5,11,5
36389,36388,-15.0764692833,-13,14,9,0,-1,5,5,29,5
36683,36682,-17.7764588504,-22,20,5,-3,-3,5,11,23,11
36781,36780,-18.9231828619,-22,18,6,-2,-1,1,1,1,13
36833,36832,-19.5539223799,-22,18,5,-4,0,5,5,23,17
39097,39096,-12.3078950791,23,-12,-2,-11,7,1,1,7,1
39103,39102,-12.1103582977,24,-13,-2,-11,7,1,7,13,7
39107,39106,-12.4649041113,23,-12,-2,-11,7,5,11,17,11
39119,39118,-12.8993620035,23,-13,-2,-11,8,5,11,29,23
39157,39156,-11.3470270756,28,-12,0,-13,7,1,1,7,13
39821,39820,-9.1210362190,42,-17,-10,-14,9,5,5,11,5
39827,39826,-9.1677366458,42,-16,-10,-15,8,5,11,17,11
39841,39840,-11.2483410994,38,-18,-10,-13,6,1,1,1,1
40093,40092,-12.4966628744,24,-11,-1,-15,5,1,1,13,13
40483,40482,-13.2232261414,21,0,12,-16,7,1,7,13,19
40519,40518,-15.0504832537,19,-5,12,-13,5,1,7,19,7
40577,40576,-12.8382662424,25,0,11,-16,7,5,5,17,17
40897,40896,-12.4375185483,22,3,18,-14,3,1,1,7,1
41143,41142,-3.8165408076,32,6,22,-19,-5,1,7,13,7
41149,41148,-3.9258514377,33,5,21,-19,-4,1,1,19,13
44381,44380,-22.7435070963,-15,-6,4,9,-18,5,5,11,5
44383,44382,-23.4363330162,-16,-7,4,10,-18,1,7,13,7
44389,44388,-24.2931743281,-17,-8,3,10,-17,1,1,19,13
44417,44416,-23.4331506060,-18,-8,5,12,-17,5,5,17,17
44711,44710,-20.7321705493,-18,-16,7,16,-22,5,11,11,23
45121,45120,-23.1822148179,-20,-5,1,14,-12,1,1,1,1
45127,45126,-23.9745754770,-22,-4,1,13,-13,1,7,7,7
45289,45288,-20.4653380790,-17,1,5,9,-15,1,1,19,1
45553,45552,-25.1067641778,-20,11,1,-5,-13,1,1,13,1
45569,45568,-26.7492575655,-25,9,3,-3,-12,5,5,29,17
45589,45588,-20.1473428058,-22,7,4,-3,-12,1,1,19,13
45631,45630,-19.3309085568,-22,8,7,-3,-10,1,7,1,7
45673,45672,-18.6168238660,-19,7,7,-4,-12,1,1,13,1
56039,56038,-14.5978526911,-1,0,2,-5,2,5,11,29,23
56113,56112,-15.1409414502,-4,0,3,-5,1,1,1,13,1
56209,56208,-23.0859148951,-7,-5,2,-2,3,1,1,19,1
