N,wobble,farey_size,is_prime,delta_w,mertens,mu
3944,1.675161738391317e-04,4729601,0,2.013986744420313e-07,-15,0
3945,1.674920145196467e-04,4731697,0,2.415931948498485e-08,-16,-1
3946,1.671963009508931e-04,4733669,0,2.957135687535744e-07,-15,1
3947,1.678691388697229e-04,4737615,1,-6.728379188297902e-07,-16,-1
3948,1.678530219249653e-04,4738719,0,1.611694475756953e-08,-16,0
3949,1.673920835902296e-04,4742299,0,4.609383347357367e-07,-15,1
3950,1.673710728250573e-04,4743859,0,2.101076517231474e-08,-15,0
3951,1.671761694028763e-04,4746487,0,1.949034221809690e-07,-15,0
3952,1.670870209201407e-04,4748215,0,8.914848273556598e-08,-15,0
3953,1.665927039084332e-04,4752043,0,4.943170117075737e-07,-14,1
3954,1.668015505701244e-04,4753359,0,-2.088466616912180e-07,-15,-1
3955,1.670536244124224e-04,4756047,0,-2.520738422980365e-07,-16,-1
3956,1.669798281247238e-04,4757895,0,7.379628769857752e-08,-16,0
3957,1.668256205920986e-04,4760531,0,1.542075326252119e-07,-15,1
3958,1.665620533990641e-04,4762509,0,2.635671930345312e-07,-14,1
3959,1.661517529255050e-04,4766325,0,4.103004735591244e-07,-13,1
3960,1.660893381614056e-04,4767285,0,6.241476409939530e-08,-13,0
3961,1.657054876150015e-04,4770997,0,3.838505464040997e-07,-12,1
3962,1.659719508279770e-04,4772689,0,-2.664632129755048e-07,-13,-1
3963,1.659095832691222e-04,4775329,0,6.236755885477216e-08,-12,1
3964,1.658422545641095e-04,4777309,0,6.732870501272373e-08,-12,0
3965,1.659306871768065e-04,4780189,0,-8.843261269702511e-08,-13,-1
3966,1.661281669521490e-04,4781509,0,-1.974797753425133e-07,-14,-1
3967,1.667118091262701e-04,4785475,1,-5.836421741210805e-07,-15,-1
3968,1.666251199855584e-04,4787395,0,8.668914071175283e-08,-15,0
3969,1.664961249409876e-04,4789663,0,1.289950445707293e-07,-15,0
3970,1.666952180047117e-04,4791247,0,-1.990930637241152e-07,-16,-1
3971,1.665199358804530e-04,4794667,0,1.752821242587870e-07,-16,0
3972,1.663201069480266e-04,4795987,0,1.998289324263512e-07,-16,0
3973,1.658864552645301e-04,4799795,0,4.336516834964874e-07,-15,1
3974,1.656076115036653e-04,4801781,0,2.788437608647657e-07,-14,1
3975,1.654685975903621e-04,4803861,0,1.390139133032283e-07,-14,0
3976,1.652877531648858e-04,4805541,0,1.808444254763084e-07,-14,0
3977,1.648124593917687e-04,4809381,0,4.752937731171045e-07,-13,1
3978,1.648315748843880e-04,4810533,0,-1.911549261926688e-08,-13,0
3979,1.645068084576923e-04,4814317,0,3.247664266956603e-07,-12,1
3980,1.645451796446905e-04,4815901,0,-3.837118699815951e-08,-12,0
3981,1.645099317902829e-04,4818553,0,3.524785440752560e-08,-11,1
3982,1.646645829835666e-04,4820353,0,-1.546511932836348e-07,-12,-1
3983,1.642700271326046e-04,4823761,0,3.945558509620161e-07,-11,1
3984,1.642022868698790e-04,4825073,0,6.774026272557345e-08,-11,0
3985,1.639523532353220e-04,4828257,0,2.499336345569985e-07,-10,1
3986,1.637688819626357e-04,4830249,0,1.834712726862483e-07,-9,1
3987,1.636620896495897e-04,4832901,0,1.067923130460794e-07,-9,0
3988,1.636225774483597e-04,4834893,0,3.951220122998798e-08,-9,0
3989,1.640512350207554e-04,4838881,1,-4.286575723956945e-07,-10,-1
3990,1.643076209692208e-04,4839745,0,-2.563859484654531e-07,-11,-1
3991,1.640542741516607e-04,4843417,0,2.533468175600756e-07,-10,1
3992,1.640785183632662e-04,4845409,0,-2.424421160547195e-08,-10,0
3993,1.639589278704295e-04,4847829,0,1.195904928367596e-07,-10,0
3994,1.637851766155609e-04,4849825,0,1.737512548685759e-07,-9,1
3995,1.637209428334956e-04,4852769,0,6.423378206529872e-08,-10,-1
3996,1.636156676102488e-04,4854065,0,1.052752232467806e-07,-10,0
3997,1.633127005837217e-04,4857485,0,3.029670265271441e-07,-9,1
3998,1.631764082365778e-04,4859483,0,1.362923471438348e-07,-8,1
3999,1.630618261307232e-04,4862003,0,1.145821058545998e-07,-9,-1
4000,1.629690622374602e-04,4863603,0,9.276389326300159e-08,-9,0
4001,1.633848982448406e-04,4867603,1,-4.158360073804035e-07,-10,-1
4002,1.631385068869389e-04,4868835,0,2.463913579017036e-07,-9,1
4003,1.635773496802099e-04,4872837,1,-4.388427932710019e-07,-10,-1
4004,1.635095509872417e-04,4874277,0,6.779869296817849e-08,-10,0
4005,1.634004434608759e-04,4876389,0,1.091075263658309e-07,-10,0
4006,1.632655902493637e-04,4878391,0,1.348532115121796e-07,-9,1
4007,1.637202619610206e-04,4882397,1,-4.546717116569109e-07,-10,-1
4008,1.635596318215734e-04,4883725,0,1.606301394472935e-07,-10,0
4009,1.633027013885845e-04,4887505,0,2.569304329888935e-07,-9,1
4010,1.633980678443214e-04,4889105,0,-9.536645573693554e-08,-10,-1
4011,1.633742872734016e-04,4891385,0,2.378057091975932e-08,-11,-1
4012,1.632370380737321e-04,4893241,0,1.372491996695690e-07,-11,0
4013,1.637356938535786e-04,4897253,1,-4.986557798465575e-07,-12,-1
4014,1.635231356600321e-04,4898585,0,2.125581935465105e-07,-12,0
4015,1.636608409114317e-04,4901465,0,-1.377052513996133e-07,-13,-1
4016,1.635426520960574e-04,4903465,0,1.181888153743477e-07,-13,0
4017,1.635145332070970e-04,4905913,0,2.811888896042409e-08,-14,-1
4018,1.632842527325675e-04,4907593,0,2.302804745294145e-07,-14,0
4019,1.638638049890146e-04,4911611,1,-5.795522564470707e-07,-15,-1
4020,1.637944770390853e-04,4912667,0,6.932794992931370e-08,-15,0
4021,1.644023775738167e-04,4916687,1,-6.079005347313826e-07,-16,-1
4022,1.641834789295176e-04,4918697,0,2.188986442990470e-07,-15,1
4023,1.639363693715083e-04,4921361,0,2.471095580093249e-07,-15,0
4024,1.639138384618388e-04,4923369,0,2.253090966954693e-08,-15,0
4025,1.636996931576893e-04,4926009,0,2.141453041494448e-07,-15,0
4026,1.633581841630079e-04,4927209,0,3.415089946814476e-07,-14,1
4027,1.639690029574309e-04,4931235,1,-6.108187944230061e-07,-15,-1
4028,1.639578592947749e-04,4933107,0,1.114366265600073e-08,-15,0
4029,1.640050627748371e-04,4935603,0,-4.720348006223497e-08,-16,-1
4030,1.637423236159813e-04,4937043,0,2.627391588558184e-07,-15,1
4031,1.633232077153794e-04,4940907,0,4.191159006018978e-07,-14,1
4032,1.632465790822702e-04,4942059,0,7.662863310922176e-08,-14,0
4033,1.628676313509848e-04,4945947,0,3.789477312854199e-07,-13,1
4034,1.627360939036762e-04,4947963,0,1.315374473085567e-07,-12,1
4035,1.628038921108366e-04,4950107,0,-6.779820716038693e-08,-13,-1
4036,1.626480468761399e-04,4952123,0,1.558452346967149e-07,-13,0
4037,1.622948585409857e-04,4955783,0,3.531883351541685e-07,-12,1
4038,1.624475963505959e-04,4957127,0,-1.527378096101819e-07,-13,-1
4039,1.620614594303515e-04,4960583,0,3.861369202443814e-07,-12,1
4040,1.618671189109321e-04,4962183,0,1.943405194194025e-07,-12,0
4041,1.617992300673256e-04,4964871,0,6.788884360646214e-08,-12,0
4042,1.618744450236987e-04,4966803,0,-7.521495637302926e-08,-13,-1
4043,1.615742293444840e-04,4970523,0,3.002156792146482e-07,-12,1
4044,1.614365239355468e-04,4971867,0,1.377054089371976e-07,-12,0
4045,1.611133674589510e-04,4975099,0,3.231564765958036e-07,-11,1
4046,1.609898413738938e-04,4976731,0,1.235260850572029e-07,-11,0
4047,1.610332714228172e-04,4979251,0,-4.343004892333794e-08,-12,-1
4048,1.609357701266840e-04,4981011,0,9.750129613313998e-08,-12,0
4049,1.614553441332703e-04,4985059,1,-5.195740065862535e-07,-13,-1
4050,1.613916017944613e-04,4986139,0,6.374233880892914e-08,-13,0
4051,1.619436556325782e-04,4990189,1,-5.520538381168709e-07,-14,-1
4052,1.618334924275505e-04,4992213,0,1.101632050277230e-07,-14,0
4053,1.620193818758505e-04,4994517,0,-1.858894483000183e-07,-15,-1
4054,1.618603701801523e-04,4996543,0,1.590116956982392e-07,-14,1
4055,1.615246431246338e-04,4999783,0,3.357270555184541e-07,-13,1
4056,1.614647162658253e-04,5001031,0,5.992685880846062e-08,-13,0
4057,1.620157272570300e-04,5005087,1,-5.510109912046932e-07,-14,-1
4058,1.618870987705218e-04,5007115,0,1.286284865082885e-07,-13,1
4059,1.616679181723277e-04,5009515,0,2.191805981940930e-07,-13,0
4060,1.615131745734542e-04,5010859,0,1.547435988734336e-07,-13,0
4061,1.611872514795564e-04,5014759,0,3.259230938977824e-07,-12,1
4062,1.613800705373820e-04,5016111,0,-1.928190578255650e-07,-13,-1
4063,1.610312160267834e-04,5019919,0,3.488545105986504e-07,-12,1
4064,1.609172441289663e-04,5021935,0,1.139718978170176e-07,-12,0
4065,1.610452927635319e-04,5024095,0,-1.280486345655142e-07,-13,-1
4066,1.611245165644400e-04,5026003,0,-7.922380090814125e-08,-14,-1
4067,1.610630095476169e-04,5029447,0,6.150701682312311e-08,-14,0
4068,1.611219937928461e-04,5030791,0,-5.898424522920130e-08,-14,0
4069,1.608592077831257e-04,5034535,0,2.627860097203691e-07,-13,1
4070,1.606356726908619e-04,5035975,0,2.235350922638341e-07,-12,1
4071,1.606766513918152e-04,5038527,0,-4.097870095329443e-08,-13,-1
4072,1.606560697546402e-04,5040559,0,2.058163717493650e-08,-13,0
4073,1.611731330044105e-04,5044631,1,-5.170632497702575e-07,-14,-1
4074,1.606810837444560e-04,5045783,0,4.920492599544543e-07,-13,1
4075,1.605261496935362e-04,5049023,0,1.549340509198198e-07,-13,0
4076,1.604411082196211e-04,5051059,0,8.504147391513272e-08,-13,0
4077,1.602904744377791e-04,5053759,0,1.506337818419799e-07,-13,0
4078,1.601819308991366e-04,5055797,0,1.085435386424729e-07,-12,1
4079,1.606888974352585e-04,5059875,1,-5.069665361218611e-07,-13,-1
4080,1.605529897616392e-04,5060899,0,1.359076736192472e-07,-13,0
4081,1.606586712668020e-04,5064019,0,-1.056815051627682e-07,-14,-1
4082,1.606864458816412e-04,5065891,0,-2.777461483914156e-08,-15,-1
4083,1.603902089415490e-04,5068611,0,2.962369400921110e-07,-14,1
4084,1.603270821030303e-04,5070651,0,6.312683851876239e-08,-14,0
4085,1.605331159788205e-04,5073675,0,-2.060338757902660e-07,-15,-1
4086,1.603172143934681e-04,5075031,0,2.159015853524335e-07,-15,0
4087,1.599395340097314e-04,5078991,0,3.776803837367098e-07,-14,1
4088,1.598552824446285e-04,5080719,0,8.425156510294472e-08,-14,0
4089,1.599280243423699e-04,5083295,0,-7.274189774142403e-08,-15,-1
4090,1.600622827866923e-04,5084927,0,-1.342584443223894e-07,-16,-1
4091,1.606411173333810e-04,5089017,1,-5.788345466887742e-07,-17,-1
4092,1.606750094369117e-04,5090217,0,-3.389210353061918e-08,-17,0
4093,1.612805920853351e-04,5094309,1,-6.055826484234711e-07,-18,-1
4094,1.614097007638725e-04,5096245,0,-1.291086785373862e-07,-19,-1
4095,1.613562001232052e-04,5097973,0,5.350064066734442e-08,-19,0
4096,1.613151642200173e-04,5100021,0,4.103590318783423e-08,-19,0
4097,1.609001458907477e-04,5103861,0,4.150183292696090e-07,-18,1
4098,1.612090935853403e-04,5105225,0,-3.089476945925852e-07,-19,-1
4099,1.618360150867910e-04,5109323,1,-6.269215014506840e-07,-20,-1
4100,1.616684942364843e-04,5110923,0,1.675208503067324e-07,-20,0
4101,1.613057738431672e-04,5113655,0,3.627203933170560e-07,-19,1
4102,1.616154355711809e-04,5115407,0,-3.096617280136523e-07,-20,-1
4103,1.612092347862807e-04,5119127,0,4.062007849001223e-07,-19,1
4104,1.611506124823278e-04,5120423,0,5.862230395296190e-08,-19,0
4105,1.607492649687501e-04,5123703,0,4.013475135776457e-07,-18,1
4106,1.605050452753431e-04,5125755,0,2.442196934069869e-07,-17,1
4107,1.603633438874913e-04,5128419,0,1.417013878518753e-07,-17,0
4108,1.602468633786550e-04,5130291,0,1.164805088362355e-07,-17,0
4109,1.597968001164246e-04,5133807,0,4.500632622303990e-07,-16,1
4110,1.594352907775975e-04,5134895,0,3.615093388271019e-07,-15,1
4111,1.599848310073755e-04,5139005,1,-5.495402297779292e-07,-16,-1
4112,1.598629624655044e-04,5141053,0,1.218685418710817e-07,-16,0
4113,1.598216262515460e-04,5143789,0,4.133621395838887e-08,-16,0
4114,1.597371378721666e-04,5145549,0,8.448837937938530e-08,-16,0
4115,1.594172827610451e-04,5148837,0,3.198551111214870e-07,-15,1
4116,1.593554069072545e-04,5150013,0,6.187585379065588e-08,-15,0
4117,1.590226046253240e-04,5153929,0,3.328022819305018e-07,-14,1
4118,1.591246510835711e-04,5155889,0,-1.020464582471682e-07,-15,-1
4119,1.588715689598745e-04,5158633,0,2.530821236965955e-07,-14,1
4120,1.587588720270420e-04,5160265,0,1.126969328325454e-07,-14,0
4121,1.585323484396253e-04,5164057,0,2.265235874166491e-07,-13,1
4122,1.583361341349360e-04,5165425,0,1.962143046893333e-07,-13,0
4123,1.585023465213797e-04,5168665,0,-1.662123864436759e-07,-14,-1
4124,1.585141480356082e-04,5170725,0,-1.180151422856064e-08,-14,0
4125,1.583659096666854e-04,5172725,0,1.482383689227983e-07,-14,0
4126,1.581764404896850e-04,5174787,0,1.894691770004675e-07,-13,1
4127,1.586631324106161e-04,5178913,1,-4.866919209310953e-07,-14,-1
4128,1.586088882983518e-04,5180257,0,5.424411226426684e-08,-14,0
4129,1.591274475046302e-04,5184385,1,-5.185592062784215e-07,-15,-1
4130,1.587364145819351e-04,5185777,0,3.910329226951726e-07,-14,1
4131,1.585974789912879e-04,5188369,0,1.389355906471961e-07,-14,0
4132,1.586128783977999e-04,5190433,0,-1.539940651203360e-08,-14,0
4133,1.591432940681576e-04,5194565,1,-5.304156703577227e-07,-15,-1
4134,1.588773436558328e-04,5195813,0,2.659504123248208e-07,-14,1
4135,1.586154770420810e-04,5199117,0,2.618666137518052e-07,-13,1
4136,1.585718134168618e-04,5200957,0,4.366362521917547e-08,-13,0
4137,1.588002279127428e-04,5203309,0,-2.284144958809625e-07,-14,-1
4138,1.586364367615312e-04,5205377,0,1.637911512115649e-07,-13,1
4139,1.591676503829394e-04,5209515,1,-5.312136214081999e-07,-14,-1
4140,1.590305160475176e-04,5210571,0,1.371343354218441e-07,-14,0
4141,1.585971292469473e-04,5214571,0,4.333868005702661e-07,-13,1
4142,1.587607234563196e-04,5216515,0,-1.635942093722634e-07,-14,-1
4143,1.585170351007955e-04,5219275,0,2.436883555241153e-07,-13,1
4144,1.584205198088610e-04,5221003,0,9.651529193441407e-08,-13,0
4145,1.582118306188760e-04,5224315,0,2.086891899849975e-07,-12,1
4146,1.584001088398795e-04,5225695,0,-1.882782210034246e-07,-13,-1
4147,1.583117227882712e-04,5229055,0,8.838605160821898e-08,-14,-1
4148,1.581233561156972e-04,5230975,0,1.883666725740639e-07,-14,0
4149,1.580960872587745e-04,5233735,0,2.726885692271898e-08,-14,0
4150,1.581155233143300e-04,5235375,0,-1.943605555554287e-08,-14,0
4151,1.576996791637499e-04,5238927,0,4.158441505801140e-07,-13,1
4152,1.576869300553162e-04,5240303,0,1.274910843364926e-08,-13,0
4153,1.581992539480906e-04,5244455,1,-5.123238927744016e-07,-14,-1
4154,1.583178181108508e-04,5246435,0,-1.185641627601158e-07,-15,-1
4155,1.584482672611878e-04,5248643,0,-1.304491503370270e-07,-16,-1
4156,1.584905658395272e-04,5250719,0,-4.229857833944520e-08,-16,0
4157,1.590568645043585e-04,5254875,1,-5.662986648312504e-07,-17,-1
4158,1.589469405478426e-04,5255955,0,1.099239565159062e-07,-17,0
4159,1.595430099077368e-04,5260113,1,-5.960693598941903e-07,-18,-1
4160,1.594755293262017e-04,5261649,0,6.748058153506855e-08,-18,0
4161,1.597876138254838e-04,5264241,0,-3.120844992821439e-07,-19,-1
4162,1.595363848660602e-04,5266321,0,2.512289594236536e-07,-18,1
4163,1.591494666640307e-04,5270281,0,3.869182020294439e-07,-17,1
4164,1.589660544148716e-04,5271665,0,1.834122491591072e-07,-17,0
4165,1.587344595816865e-04,5274353,0,2.315948331851273e-07,-17,0
4166,1.585344312819920e-04,5276435,0,2.000282996945425e-07,-16,1
4167,1.585685346390198e-04,5279207,0,-3.410335702781785e-08,-16,0
4168,1.584382336014094e-04,5281287,0,1.303010376104080e-07,-16,0
4169,1.581043909436834e-04,5285067,0,3.338426577259980e-07,-15,1
4170,1.578684660426207e-04,5286171,0,2.359249010626526e-07,-14,1
4171,1.574673433110928e-04,5290203,0,4.011227315279284e-07,-13,1
4172,1.572981606976501e-04,5291979,0,1.691826134426826e-07,-13,0
4173,1.574701936212205e-04,5294523,0,-1.720329235703889e-07,-14,-1
4174,1.573455259151491e-04,5296609,0,1.246677060713695e-07,-13,1
4175,1.571489374218168e-04,5299929,0,1.965884933323762e-07,-13,0
4176,1.570708372300238e-04,5301273,0,7.810019179291315e-08,-13,0
4177,1.575884530882174e-04,5305449,1,-5.176158581935255e-07,-14,-1
4178,1.574825351377491e-04,5307537,0,1.059179504682688e-07,-13,1
4179,1.578359910771669e-04,5309913,0,-3.534559394178410e-07,-14,-1
4180,1.577757012067563e-04,5311353,0,6.028987041068390e-08,-14,0
4181,1.574807261168721e-04,5315385,0,2.949750898842104e-07,-13,1
4182,1.571706346517449e-04,5316665,0,3.100914651271952e-07,-12,1
4183,1.568673708922484e-04,5320713,0,3.032637594964219e-07,-11,1
4184,1.567673618269337e-04,5322801,0,1.000090653147448e-07,-11,0
4185,1.567199121170756e-04,5324961,0,4.744970985809220e-08,-11,0
4186,1.565466935103655e-04,5326545,0,1.732186067101129e-07,-10,1
4187,1.563025139736817e-04,5330601,0,2.441795366838254e-07,-9,1
4188,1.562168018906529e-04,5331993,0,8.571208302872858e-08,-9,0
4189,1.559464622009996e-04,5336053,0,2.703396896533547e-07,-8,1
4190,1.558653188622321e-04,5337725,0,8.114333876745191e-08,-9,-1
4191,1.559447690122431e-04,5340245,0,-7.945015001093229e-08,-10,-1
4192,1.558444817689604e-04,5342325,0,1.002872432826288e-07,-10,0
4193,1.555542449137305e-04,5345913,0,2.902368552299404e-07,-9,1
4194,1.553454874552678e-04,5347305,0,2.087574584626469e-07,-9,0
4195,1.552183455025924e-04,5350657,0,1.271419526754382e-07,-8,1
4196,1.552156236027673e-04,5352753,0,2.721899825051510e-09,-8,0
4197,1.549565533831045e-04,5355549,0,2.590702196628603e-07,-7,1
4198,1.549586833098934e-04,5357647,0,-2.129926788895864e-09,-6,1
4199,1.549020460171331e-04,5361103,0,5.663729276024487e-08,-7,-1
4200,1.548508166960858e-04,5362063,0,5.122932104735718e-08,-7,0
4201,1.552164745667923e-04,5366263,1,-3.656578707064793e-07,-8,-1
4202,1.551804595378005e-04,5368163,0,3.601502899172062e-08,-9,-1
4203,1.553012302408044e-04,5370959,0,-1.207707030038768e-07,-9,0
4204,1.553206420415766e-04,5373059,0,-1.941180077219399e-08,-9,0
4205,1.552156657506894e-04,5376307,0,1.049762908871747e-07,-9,0
4206,1.553512829542974e-04,5377707,0,-1.356172036079493e-07,-10,-1
4207,1.551164124637074e-04,5381307,0,2.348704905900088e-07,-9,1
4208,1.549897798034158e-04,5383403,0,1.266326602915649e-07,-9,0
4209,1.550822845146895e-04,5386043,0,-9.250471127365454e-08,-10,-1
4210,1.550640629112827e-04,5387723,0,1.822160340680685e-08,-11,-1
4211,1.554706344183567e-04,5391933,1,-4.065715070740829e-07,-12,-1
4212,1.554095494037195e-04,5393229,0,6.108501463724172e-08,-12,0
4213,1.552048235168402e-04,5397049,0,2.047258868792914e-07,-11,1
4214,1.550877862187516e-04,5398813,0,1.170372980886076e-07,-11,0
4215,1.552929705080476e-04,5401053,0,-2.051842892959569e-07,-12,-1
4216,1.552370847549046e-04,5402973,0,5.588575314294957e-08,-12,0
4217,1.556669731027944e-04,5407189,1,-4.298883478897481e-07,-13,-1
4218,1.553213177208077e-04,5408485,0,3.456553819866474e-07,-12,1
4219,1.557719636911609e-04,5412703,1,-4.506459703532281e-07,-13,-1
4220,1.556515706030308e-04,5414383,0,1.203930881301535e-07,-13,0
4221,1.552694338674244e-04,5416759,0,3.821367356063689e-07,-13,0
4222,1.551801593965088e-04,5418869,0,8.927447091557831e-08,-12,1
4223,1.548643609161229e-04,5422949,0,3.157984803858955e-07,-11,1
4224,1.547803328947524e-04,5424229,0,8.402802137059159e-08,-11,0
4225,1.546629505121999e-04,5427349,0,1.173823825524872e-07,-11,0
4226,1.546198377579383e-04,5429461,0,4.311275426152053e-08,-10,1
4227,1.543010560878434e-04,5432277,0,3.187816700949905e-07,-9,1
4228,1.541836606818223e-04,5434077,0,1.173954060210483e-07,-9,0
4229,1.546009446434777e-04,5438305,1,-4.172839616553570e-07,-10,-1
4230,1.546831965495477e-04,5439409,0,-8.225190607002238e-08,-10,0
4231,1.551275662209320e-04,5443639,1,-4.443696713843490e-07,-11,-1
4232,1.550305025095629e-04,5445663,0,9.706371136911627e-08,-11,0
4233,1.552428317886222e-04,5448287,0,-2.123292790593182e-07,-12,-1
4234,1.552776565584290e-04,5450303,0,-3.482476980675190e-08,-13,-1
4235,1.551830792032287e-04,5452943,0,9.457735520028605e-08,-13,0
4236,1.551523735558548e-04,5454351,0,3.070564737390515e-08,-13,0
4237,1.547447871966299e-04,5458347,0,4.075863592249392e-07,-12,1
4238,1.547173958482995e-04,5460291,0,2.739134833033385e-08,-13,-1
4239,1.545732789779516e-04,5463099,0,1.441168703479167e-07,-13,0
4240,1.545107495119817e-04,5464763,0,6.252946596990131e-08,-13,0
4241,1.550078884950970e-04,5469003,1,-4.971389831152646e-07,-14,-1
4242,1.546679451244700e-04,5470203,0,3.399433706269207e-07,-13,1
4243,1.551862315910656e-04,5474445,1,-5.182864665955053e-07,-14,-1
4244,1.551362297167547e-04,5476565,0,5.000187431087482e-08,-14,0
4245,1.554643762078550e-04,5478821,0,-3.281464911003248e-07,-15,-1
4246,1.555234916497820e-04,5480741,0,-5.911544192699412e-08,-16,-1
4247,1.551651581595194e-04,5484821,0,3.583334902625850e-07,-15,1
4248,1.550317041412322e-04,5486213,0,1.334540182871928e-07,-15,0
4249,1.547120032329227e-04,5489849,0,3.197009083094821e-07,-14,1
4250,1.546127134782277e-04,5491449,0,9.928975469502351e-08,-14,0
4251,1.549404472728772e-04,5494041,0,-3.277337946494725e-07,-15,-1
4252,1.549347193210395e-04,5496165,0,5.727951837722432e-09,-15,0
4253,1.554597523921545e-04,5500417,1,-5.250330711150460e-07,-16,-1
4254,1.556879234876687e-04,5501833,0,-2.281710955141520e-07,-17,-1
4255,1.556843062285900e-04,5505001,0,3.617259078668488e-09,-18,-1
4256,1.556064267344195e-04,5506729,0,7.787949417051797e-08,-18,0
4257,1.553054410471954e-04,5509249,0,3.009856872240695e-07,-18,0
4258,1.551448697966816e-04,5511377,0,1.605712505138503e-07,-17,1
4259,1.557225046936958e-04,5515635,1,-5.776348970141989e-07,-18,-1
4260,1.556031453004421e-04,5516755,0,1.193593932536318e-07,-18,0
4261,1.562060136995257e-04,5521015,1,-6.028683990836183e-07,-19,-1
4262,1.560414089623577e-04,5523145,0,1.646047371680367e-07,-18,1
4263,1.559180444870537e-04,5525497,0,1.233644753039810e-07,-18,0
4264,1.558953720518112e-04,5527417,0,2.267243524251895e-08,-18,0
4265,1.555342546688545e-04,5530825,0,3.611173829567267e-07,-17,1
4266,1.554803255755667e-04,5532229,0,5.392909328781332e-08,-17,0
4267,1.550729932008860e-04,5536229,0,4.073323746806327e-07,-16,1
4268,1.548696842172730e-04,5538149,0,2.033089836130531e-07,-16,0
4269,1.544099721736524e-04,5540993,0,4.597120436206157e-07,-15,1
4270,1.542859923768715e-04,5542433,0,1.239797967808305e-07,-14,1
4271,1.548331184819668e-04,5546703,1,-5.471261050952992e-07,-15,-1
4272,1.548040912837707e-04,5548111,0,2.902719819616504e-08,-15,0
4273,1.553814430226455e-04,5552383,1,-5.773517388747934e-07,-16,-1
4274,1.552821502329152e-04,5554519,0,9.929278973024578e-08,-15,1
4275,1.552535336744214e-04,5556679,0,2.861655849377464e-08,-15,0
4276,1.552275643531809e-04,5558815,0,2.596932124058387e-08,-15,0
4277,1.553517119017849e-04,5562127,0,-1.241475486040593e-07,-16,-1
4278,1.551187920007718e-04,5563447,0,2.329199010130774e-07,-15,1
4279,1.547786615462760e-04,5567327,0,3.401304544957981e-07,-14,1
4280,1.548214154111914e-04,5569023,0,-4.275386491535481e-08,-14,0
4281,1.544043515857577e-04,5571875,0,4.170638254337412e-07,-13,1
4282,1.543609119220440e-04,5574015,0,4.343966371366578e-08,-12,1
4283,1.548990853404827e-04,5578297,1,-5.381734184387488e-07,-13,-1
4284,1.548386824793493e-04,5579449,0,6.040286113344622e-08,-13,0
4285,1.545637733810449e-04,5582873,0,2.749090983044256e-07,-12,1
4286,1.545457867091820e-04,5585015,0,1.798667186283446e-08,-11,1
4287,1.541828610048216e-04,5587871,0,3.629257043603960e-07,-10,1
4288,1.540821159748243e-04,5589983,0,1.007450299973334e-07,-10,0
4289,1.545882567687228e-04,5594271,1,-5.061407938985378e-07,-11,-1
4290,1.546822260735599e-04,5595231,0,-9.396930483707936e-08,-12,-1
4291,1.543883291768267e-04,5598903,0,2.938968967332388e-07,-11,1
4292,1.542575822070458e-04,5600919,0,1.307469697808296e-07,-11,0
4293,1.541458783063371e-04,5603727,0,1.117039007087839e-07,-11,0
4294,1.541912689441246e-04,5605743,0,-4.539063778755625e-08,-12,-1
4295,1.539604526511450e-04,5609175,0,2.308162929796247e-07,-11,1
4296,1.540113629620458e-04,5610599,0,-5.091031090082476e-08,-11,0
4297,1.545253236634814e-04,5614895,1,-5.139607014356131e-07,-12,-1
4298,1.544728452649616e-04,5616731,0,5.247839851983314e-08,-13,-1
4299,1.541027977349072e-04,5619595,0,3.700475300544076e-07,-12,1
4300,1.540355103266155e-04,5621275,0,6.728740829171670e-08,-12,0
4301,1.540222065614743e-04,5624795,0,1.330376514117534e-08,-13,-1
4302,1.538728799930822e-04,5626223,0,1.493265683921350e-07,-13,0
4303,1.534814732095231e-04,5630183,0,3.914067835590705e-07,-12,1
4304,1.533603075165432e-04,5632327,0,1.211656929799064e-07,-12,0
4305,1.529738568520556e-04,5634247,0,3.864506644876134e-07,-11,1
4306,1.529444375048202e-04,5636399,0,2.941934723539900e-08,-10,1
4307,1.526222358242784e-04,5640575,0,3.222016805418159e-07,-9,1
4308,1.525751499154909e-04,5642007,0,4.708590878744340e-08,-9,0
4309,1.523343349856850e-04,5646147,0,2.408149298059668e-07,-8,1
4310,1.522428804388112e-04,5647867,0,9.145454687374240e-08,-9,-1
4311,1.522835466928440e-04,5650735,0,-4.066625403279889e-08,-9,0
4312,1.522107015495499e-04,5652415,0,7.284514329410205e-08,-9,0
4313,1.518647716779980e-04,5656483,0,3.459298715519207e-07,-8,1
4314,1.519142186587039e-04,5657919,0,-4.944698070596010e-08,-9,-1
4315,1.517947458882383e-04,5661367,0,1.194727704656830e-07,-8,1
4316,1.517251717346433e-04,5663335,0,6.957415359500410e-08,-8,0
4317,1.514603990789829e-04,5666211,0,2.647726556603825e-07,-7,1
4318,1.513744181855986e-04,5668227,0,8.598089338426808e-08,-8,-1
4319,1.512196384254609e-04,5671923,0,1.547797601376836e-07,-7,1
4320,1.511632586105485e-04,5673075,0,5.637981491241864e-08,-7,0
4321,1.509043783972838e-04,5677219,0,2.588802132646854e-07,-6,1
4322,1.509402709394450e-04,5679379,0,-3.589254216122785e-08,-5,1
4323,1.509877708498527e-04,5681979,0,-4.749991040770138e-08,-6,-1
4324,1.509020644429370e-04,5684003,0,8.570640691574725e-08,-6,0
