N,wobble,farey_size,is_prime,delta_w,mertens,mu
94,5.396453265167524e-03,2703,0,-3.685195272869549e-05,1,1
95,5.377112273854590e-03,2775,0,1.934099131293415e-05,2,1
96,5.279452817718442e-03,2807,0,9.765945613614789e-05,2,0
97,5.329271349352067e-03,2903,1,-4.981853163362523e-05,1,-1
98,5.243018122300725e-03,2945,0,8.625322705134268e-05,1,0
99,5.074903838579507e-03,3005,0,1.681142837212171e-04,1,0
100,4.967835506294375e-03,3045,0,1.070683322851327e-04,1,0
101,5.053117156499200e-03,3145,1,-8.528165020482530e-05,0,-1
102,4.909037077436488e-03,3177,0,1.440800790627117e-04,-1,-1
103,5.055305889935096e-03,3279,1,-1.462688124986072e-04,-2,-1
104,4.955997225899476e-03,3327,0,9.930866403562010e-05,-2,0
105,4.814978819763329e-03,3375,0,1.410184061361461e-04,-3,-1
106,4.798562456316658e-03,3427,0,1.641636344667120e-05,-2,1
107,4.971499171702673e-03,3533,1,-1.729367153860146e-04,-3,-1
108,4.885357624142789e-03,3569,0,8.614154755988424e-05,-3,0
109,5.090074618883417e-03,3677,1,-2.047169947406282e-04,-4,-1
110,5.013196615823029e-03,3717,0,7.687800306038772e-05,-5,-1
111,4.875477695367048e-03,3789,0,1.377189204559807e-04,-4,1
112,4.766805940038678e-03,3837,0,1.086717553283705e-04,-4,0
113,4.983226651176004e-03,3949,1,-2.164207111373263e-04,-5,-1
114,4.954464620925432e-03,3985,0,2.876203025057190e-05,-6,-1
115,4.763771377928451e-03,4073,0,1.906932429969815e-04,-5,1
116,4.680664649860479e-03,4129,0,8.310672806797169e-05,-5,0
117,4.575945774349581e-03,4201,0,1.047188755108983e-04,-5,0
118,4.506707752424742e-03,4259,0,6.923802192483879e-05,-4,1
119,4.368166353611773e-03,4355,0,1.385413988129686e-04,-3,1
120,4.305940875032639e-03,4387,0,6.222547857913461e-05,-3,0
121,4.309901876514158e-03,4497,0,-3.961001481519143e-06,-3,0
122,4.297479315912656e-03,4557,0,1.242256060150163e-05,-2,1
123,4.234392498831629e-03,4637,0,6.308681708102736e-05,-1,1
124,4.198439958218583e-03,4697,0,3.595254061304620e-05,-1,0
125,4.176052033907468e-03,4797,0,2.238792431111507e-05,-1,0
126,4.096419168311414e-03,4833,0,7.963286559605365e-05,-1,0
127,4.195566776886578e-03,4959,1,-9.914760857516417e-05,-2,-1
128,4.164539246357468e-03,5023,0,3.102753052911054e-05,-2,0
129,4.136850954901724e-03,5107,0,2.768829145574376e-05,-1,1
130,4.071883549130074e-03,5155,0,6.496740577164976e-05,-2,-1
131,4.184934717709258e-03,5285,1,-1.130511685791839e-04,-3,-1
132,4.099513636743025e-03,5325,0,8.542108096623331e-05,-3,0
133,4.011195846781776e-03,5433,0,8.831778996124841e-05,-2,1
134,4.000476084633648e-03,5499,0,1.071976214812864e-05,-1,1
135,3.921046536517050e-03,5571,0,7.942954811659703e-05,-1,0
136,3.847740455034853e-03,5635,0,7.330608148219727e-05,-1,0
137,3.942707105202139e-03,5771,1,-9.496665016728561e-05,-2,-1
138,3.885044021794727e-03,5815,0,5.766308340741195e-05,-3,-1
139,4.011424021399156e-03,5953,1,-1.263799996044294e-04,-4,-1
140,3.949767914061402e-03,6001,0,6.165610733775435e-05,-4,0
141,3.893515495404239e-03,6093,0,5.625241865716332e-05,-3,1
142,3.876439126726807e-03,6163,0,1.707636867743145e-05,-2,1
143,3.794898354627408e-03,6283,0,8.154077209939934e-05,-1,1
144,3.741450659901051e-03,6331,0,5.344769472635661e-05,-1,0
145,3.688449488716554e-03,6443,0,5.300117118449757e-05,0,1
146,3.718238689417643e-03,6515,0,-2.978920070108911e-05,1,1
147,3.657810870955867e-03,6599,0,6.042781846177627e-05,1,0
148,3.608057862816134e-03,6671,0,4.975300813973285e-05,1,0
149,3.659928591836910e-03,6819,1,-5.187072902077634e-05,0,-1
150,3.619695400918453e-03,6859,0,4.023319091845702e-05,0,0
151,3.693615499863466e-03,7009,1,-7.392009894501310e-05,-1,-1
152,3.643219147739241e-03,7081,0,5.039635212422504e-05,-1,0
153,3.566219172000554e-03,7177,0,7.699997573868680e-05,-1,0
154,3.496578087554458e-03,7237,0,6.964108444609601e-05,-2,-1
155,3.467055560194689e-03,7357,0,2.952252735976884e-05,-1,1
156,3.429779087617789e-03,7405,0,3.727647257690007e-05,-1,0
157,3.508913426928159e-03,7561,1,-7.913433931036953e-05,-2,-1
158,3.510386980651951e-03,7639,0,-1.473553723792612e-06,-1,1
159,3.490831346607516e-03,7743,0,1.955563404443554e-05,0,1
160,3.445140152760881e-03,7807,0,4.569119384663497e-05,0,0
161,3.399761877898547e-03,7939,0,4.537827486233385e-05,1,1
162,3.369061669888145e-03,7993,0,3.070020801040256e-05,1,0
163,3.420604958228513e-03,8155,1,-5.154328834036832e-05,0,-1
164,3.372333396641079e-03,8235,0,4.827156158743401e-05,0,0
165,3.283233365541321e-03,8315,0,8.910003109975769e-05,-1,-1
166,3.299658840995476e-03,8397,0,-1.642547545415525e-05,0,1
167,3.362867547687978e-03,8563,1,-6.320870669250175e-05,-1,-1
168,3.323172908121089e-03,8611,0,3.969463956688931e-05,-1,0
169,3.332942459273989e-03,8767,0,-9.769551152899979e-06,-1,0
170,3.269796347460790e-03,8831,0,6.314611181319849e-05,-2,-1
171,3.225150719997493e-03,8939,0,4.464562746329774e-05,-2,0
172,3.194466972590233e-03,9023,0,3.068374740725945e-05,-2,0
173,3.272240404873461e-03,9195,1,-7.777343228322804e-05,-3,-1
174,3.247266187669492e-03,9251,0,2.497421720396931e-05,-4,-1
175,3.186250215984631e-03,9371,0,6.101597168486081e-05,-4,0
176,3.139871786136270e-03,9451,0,4.637842984836103e-05,-4,0
177,3.092798556459014e-03,9567,0,4.707322967725585e-05,-3,1
178,3.086913396415935e-03,9655,0,5.885160043079228e-06,-2,1
179,3.159197342257618e-03,9833,1,-7.228394584168300e-05,-3,-1
180,3.127934105386000e-03,9881,0,3.126323687161750e-05,-3,0
181,3.214354451411855e-03,10061,1,-8.642034602585405e-05,-4,-1
182,3.181320603819728e-03,10133,0,3.303384759212628e-05,-5,-1
183,3.137916302590996e-03,10253,0,4.340430122873199e-05,-4,1
184,3.093961726873630e-03,10341,0,4.395457571736627e-05,-4,0
185,3.036502335992323e-03,10485,0,5.745939088130708e-05,-3,1
186,3.020972824152149e-03,10545,0,1.552951184017421e-05,-4,-1
187,2.957998095802899e-03,10705,0,6.297472834924977e-05,-3,1
188,2.943488756461838e-03,10797,0,1.450933934106068e-05,-3,0
189,2.894535182183678e-03,10905,0,4.895357427815977e-05,-3,0
190,2.880534054974872e-03,10977,0,1.400112720880645e-05,-4,-1
191,2.950548767167353e-03,11167,1,-7.001471219248052e-05,-5,-1
192,2.923965783131292e-03,11231,0,2.658298403606079e-05,-5,0
193,3.005471056521758e-03,11423,1,-8.150527339046603e-05,-6,-1
194,2.965514678790372e-03,11519,0,3.995637773138551e-05,-5,1
195,2.945084022426610e-03,11615,0,2.043065636376205e-05,-6,-1
196,2.914061994163421e-03,11699,0,3.102202826318901e-05,-6,0
197,3.004932307378529e-03,11895,1,-9.087031321510777e-05,-7,-1
198,2.976250894898023e-03,11955,0,2.868141248050593e-05,-7,0
