p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
467,1.356636074779761e-03,1.333811987958869e-03,-2.282408682089212e-05,66569,-7,-0.3239213694,0
479,1.293827970043910e-03,1.275307149139922e-03,-1.852082090398753e-05,69993,-6,-0.2741469974,0
487,1.263196003657646e-03,1.246714796282818e-03,-1.648120737482873e-05,72309,-5,-0.2265716272,0
491,1.260561263776893e-03,1.243810728481809e-03,-1.675053529508414e-05,73531,-5,-0.2256468412,0
499,1.230488914009210e-03,1.213595547861564e-03,-1.689336614764587e-05,75917,-6,-0.2685968886,0
503,1.232538752179754e-03,1.216374672825139e-03,-1.616407935461483e-05,77201,-5,-0.2229389810,0
509,1.218767322589331e-03,1.202202510177807e-03,-1.656481241152342e-05,79037,-6,-0.2659453243,0
521,1.172624249526120e-03,1.161417052338309e-03,-1.120719718781063e-05,82741,-2,-0.0876215909,0
523,1.182933474893568e-03,1.169694549993161e-03,-1.323892490040718e-05,83431,-3,-0.1311808408,0
541,1.120444911118459e-03,1.113279166101080e-03,-7.165745017379552e-06,89183,0,0.0000000000,0
547,1.128587288949400e-03,1.123994671048531e-03,-4.592617900869020e-06,91191,3,0.1282707374,0
557,1.105227824510301e-03,1.103089902982908e-03,-2.137921527392518e-06,94567,4,0.1694854394,0
563,1.093959975773760e-03,1.091317356104527e-03,-2.642619669232993e-06,96605,4,0.1685799008,0
569,1.094507140552822e-03,1.092455378178672e-03,-2.051762374150013e-06,98691,5,0.2096109041,0
571,1.103579045807280e-03,1.100361349513587e-03,-3.217696293692862e-06,99405,5,0.2092434877,0
577,1.080807765033329e-03,1.076261435352633e-03,-4.546329680695524e-06,101473,4,0.1665221788,0
587,1.071453182704968e-03,1.069287405715503e-03,-2.165776989464458e-06,105011,6,0.2476465030,0
593,1.061698499595094e-03,1.059940815160678e-03,-1.757684434416061e-06,107223,6,0.2463904687,0
599,1.041387492764357e-03,1.037763567835381e-03,-3.623924928976199e-06,109341,4,0.1634355693,0
601,1.043477999054999e-03,1.038372336590782e-03,-5.105662464216986e-06,110101,3,0.1223725525,0
607,1.019892525256363e-03,1.013006785303513e-03,-6.885739952850172e-06,112295,0,0.0000000000,0
613,1.003906773283644e-03,9.955699759394488e-04,-8.336797344195507e-06,114515,-2,-0.0807792392,0
617,1.001340839004518e-03,9.915198686281327e-04,-9.820970376385376e-06,115997,-3,-0.1207754523,0
619,1.009967987038246e-03,9.983770081983066e-04,-1.159097883993913e-05,116819,-5,-0.2009669678,0
631,9.818169081875850e-04,9.724637394677018e-04,-9.353168719883147e-06,121319,-3,-0.1194281143,0
641,9.620584269368980e-04,9.540624941688413e-04,-7.995932768056703e-06,125179,-2,-0.0789952506,0
643,9.692921178686730e-04,9.596395609284918e-04,-9.652556940181224e-06,126033,-4,-0.1577446013,0
647,9.749682757334809e-04,9.626460242311065e-04,-1.232225150237431e-05,127567,-7,-0.2751983969,0
653,9.684333406759127e-04,9.557307314325245e-04,-1.270260924338823e-05,129939,-8,-0.3130641921,0
659,9.711966972316231e-04,9.579329680691022e-04,-1.326372916252096e-05,132361,-10,-0.3895446936,0
661,9.815596828603342e-04,9.673423703622885e-04,-1.421731249804563e-05,133181,-11,-0.4278504129,0
673,9.493784965586449e-04,9.363184585843125e-04,-1.306003797433241e-05,137991,-11,-0.4240188395,0
677,9.510786359105316e-04,9.376486889507098e-04,-1.342994695982189e-05,139675,-11,-0.4227643431,0
683,9.465035582363431e-04,9.329147288197224e-04,-1.358882941662070e-05,142165,-12,-0.4591672391,0
691,9.205919880501892e-04,9.091256301280850e-04,-1.146635792210419e-05,145501,-9,-0.3423761356,0
701,8.958221645108093e-04,8.872330484958242e-04,-8.589116014985089e-06,149719,-5,-0.1888473937,0
709,8.780843059791265e-04,8.702695830771949e-04,-7.814722901931543e-06,153163,-4,-0.1502231532,0
719,8.605190291374227e-04,8.538342810517006e-04,-6.684748085722132e-06,157503,-3,-0.1118811211,0
