p,M(p),B_plus_C,B_raw,delta_sq,R,n_farey
4561,-4,10200295.1972826272,9147080.7051593084,1053214.4921233195,8.6849172448,6320961
4567,-6,12039985.4908190258,10987883.9200606439,1052101.5707583812,10.4437482325,6337353
4591,-3,9977044.1402705312,8911348.6635606848,1065695.4767098455,8.3620028970,6404223
4643,-3,10068538.9890387822,8981155.8853620552,1087383.1036767266,8.2594219599,6550175
4649,-3,10218398.7784968205,9127295.7611213587,1091103.0173754608,8.3652007334,6567305
4651,-4,11309242.2504403275,10215927.7077363599,1093314.5427039673,9.3439969091,6573153
4657,-6,13002945.3331324477,11907240.5604668818,1095704.7726655658,10.8671978598,6589583
4663,-6,12973544.0785850808,11874310.9487200119,1099233.1298650682,10.8023590502,6607195
4673,-8,14630777.8673463874,13527988.1266681105,1102789.7406782766,12.2670601908,6635557
4679,-6,14526528.1784506869,13424750.1933663189,1101777.9850843679,12.1846237401,6652315
5039,-6,17168363.8068208285,15890489.7907699384,1277874.0160508889,12.4350989152,7715467
5051,-5,17091036.2110915557,15801939.5772509258,1289096.6338406294,12.2581497480,7752071
5059,-5,17045780.0333245695,15753686.3402407989,1292093.6930837720,12.1923715165,7777233
5077,-5,15837818.9373205975,14534515.8736297376,1303303.0636908601,11.1520614649,7831901
5081,-4,15756081.1875795666,14452967.5245233607,1303113.6630562057,11.0911027444,7844915
5087,-5,18019471.3070595227,16714595.9749129545,1304875.3321465666,12.8093432094,7863169
5147,-3,13902774.5203046799,12567332.5758482963,1335441.9444563838,9.4106169332,8049867
5153,-4,14969703.5342105553,13626293.6346699875,1343409.8995405682,10.1430647782,8068665
5167,-3,12531564.0687287617,11182799.6294043139,1348764.4393244477,8.2911435855,8112335
5179,-3,12681922.6464777887,11328692.9931042716,1353229.6533735171,8.3715967684,8150711
5237,-3,12351638.8898695335,10965959.4619998764,1385679.4278696566,7.9137780654,8334019
5303,-4,11019658.1302925479,9600047.2040742114,1419610.9262183371,6.7624495041,8545343
5309,-6,12361936.0880086310,10940172.5928215459,1421763.4951870861,7.6947907510,8564701
5867,-4,28144834.4543082267,26406144.5484631658,1738689.9058450593,15.1873801416,10459743
5869,-5,30032011.4799912460,28290716.7649856545,1741294.7150055913,16.2469434503,10467553
5879,-5,30557609.7271569446,28815983.2452350631,1741626.4819218826,16.5454438965,10503291
5881,-6,32434727.4855669439,30683666.0849027075,1751061.4006642371,17.5228955839,10510513
5897,-9,35714684.1300908476,33955653.8546621576,1759030.2754286923,19.3036210513,10567153
5903,-12,38291243.5230630338,36533824.8311734721,1757418.6918895645,20.7883442914,10588941
5923,-6,30416400.4872491397,28642239.7075854987,1774160.7796636422,16.1441060111,10660671
5927,-6,31038419.2249004357,29265759.5911784135,1772659.6337220215,16.5095199521,10675635
5939,-3,26983940.0232970156,25206288.9326330163,1777651.0906639979,14.1795479805,10718769
5953,-3,24883632.5930532888,23092695.3169290088,1790937.2761242790,12.8941954723,10769189
5987,-4,21046764.0029771589,19235368.3101414517,1811395.6928357063,10.6190869208,10891925
6101,-6,22890907.7131984010,21009783.4341906607,1881124.2790077406,11.1687375835,11310845
6113,-3,19715261.0052270703,17826819.1946456209,1888441.8105814487,9.4399621396,11355637
6131,-3,18380944.9852612317,16483009.8342726287,1897935.1509886021,8.6847065484,11422657
6133,-4,20080312.2285457030,18178214.0801511630,1902098.1483945407,9.5569274885,11430515
6143,-6,22878278.2462139726,20971831.9841976166,1906446.2620163576,11.0004842004,11467561
6151,-8,25666614.0881686285,23752469.1635038182,1914144.9246648115,12.4089189159,11496935
6163,-5,21283643.0071605109,19363177.7464021072,1920465.2607584051,10.0825451738,11542359
6173,-4,20123897.6074796431,18200238.8935718983,1923658.7139077450,9.4612618974,11580107
6199,-3,14288292.3736841716,12347841.8731719889,1940450.5005121829,6.3633892593,11677827
6203,-5,17478029.9921699725,15535468.5594334342,1942561.4327365374,7.9974142890,11692821
6211,-6,18581860.5943583548,16629891.7288724463,1951968.8654859101,8.5195476336,11722547
6217,-10,23516642.6253288686,21560605.7004409023,1956036.9248879666,11.0225964685,11744813
6221,-10,24411440.6140986569,22454899.8510004133,1956540.7630982453,11.4768372193,11760757
6229,-10,24913739.3208302259,22953267.4303356223,1960471.8904946053,11.7080318987,11791193
6247,-7,21554046.1560528055,19583283.4946579710,1970762.6613948359,9.9369060914,11859133
6257,-9,25676840.8590066805,23697635.5469665229,1979205.3120401585,11.9733083793,11896651
6263,-8,25350028.5632837452,23369108.8529888652,1980919.7102948811,11.7971004739,11920031
6269,-10,27818121.1088825241,25833928.3929286450,1984192.7159538802,13.0198685769,11942769
6271,-12,30336547.8809495755,28349099.2986642569,1987448.5822853169,14.2640667796,11950477
6277,-12,31817135.1587300450,29826484.3570862375,1990650.8016438093,14.9832830210,11973499
6287,-13,31899519.5718270540,29902899.6544769593,1996619.9173500929,14.9767611725,12011543
6299,-13,31363289.5498748645,29363112.4455448538,2000177.1043300119,14.6802562543,12057513
6301,-14,33534879.8286879323,31523702.3343187049,2011177.4943692258,15.6742517369,12065251
6311,-21,42206715.4786791801,40196134.6007323340,2010580.8779468450,19.9922992612,12102851
6317,-21,42357878.5900788307,40343434.2797996104,2014444.3102792203,20.0270784722,12126321
6323,-22,43729276.6649749726,41710478.0348065495,2018798.6301684217,20.6610393981,12149789
6329,-22,45458660.1169898510,43434309.1978464127,2024350.9191434355,21.4559189255,12172169
6337,-20,43772361.6037207022,41739826.6686118618,2032534.9351088426,20.5358471078,12202799
6343,-17,41357517.0092640892,39323819.7959097549,2033697.2133543359,19.3361231641,12226807
6353,-18,42577127.8117085844,40536890.1858754531,2040237.6258331288,19.8687102289,12265269
6359,-21,48207378.3119463250,46166084.8558407724,2041293.4561055517,22.6160940838,12287853
6361,-22,50199241.3091479763,48152167.5922605544,2047073.7168874238,23.5224394681,12295875
6367,-24,54353224.4226520509,52305312.5745087788,2047911.8481432751,25.5408027557,12318911
6373,-25,55767149.6557399184,53713198.0999203622,2053951.5558195594,26.1511513978,12342461
6379,-25,55535747.8189973384,53480161.6606878787,2055586.1583094564,26.0169886066,12365987
6389,-23,51334566.9042107239,49273098.5368563384,2061468.3673543853,23.9019425751,12405263
6397,-24,52958602.4847039133,50887526.4714136347,2071076.0132902786,24.5705740132,12435523
6421,-20,46360597.4631786495,44276205.0720754713,2084392.3911031752,21.2417802238,12528649
6427,-20,47094565.1215378493,45003315.0293404311,2091250.0921974159,21.5198149649,12551885
6449,-15,36759453.9759417996,34659268.4931109920,2100185.4828308043,16.5029559420,12638255
6451,-16,38784285.1114366055,36680038.2263750210,2104246.8850615830,17.4314328260,12646383
6469,-15,35022888.1447235793,32904082.5364533588,2118805.6082702205,15.5295428745,12717105
6473,-17,37203936.4975865185,35086935.4532241523,2117001.0443623662,16.5738867001,12733697
6481,-20,42763152.1008003876,40636105.6622183770,2127046.4385820106,19.1044750717,12763973
6491,-17,38919575.2354199514,36789130.4789275527,2130444.7564923982,17.2682865241,12803201
6521,-12,28466019.1953299753,26314667.4163337573,2151351.7789962180,12.2316897093,12921927
6529,-13,28892655.8828382008,26736687.5546667501,2155968.3281714511,12.4012431933,12954091
6547,-11,23047733.0599078834,20882469.5789857060,2165263.4809221765,9.6443087703,13024717
6551,-13,26260564.1959553957,24095732.0437673368,2164832.1521880575,11.1305313067,13041311
6553,-14,28493828.7504461110,26319759.4386802875,2174069.3117658230,12.1062191055,13049589
6563,-15,28981688.6614080295,26805108.2193466164,2176580.4420614126,12.3152389415,13089607
6569,-18,34386644.3090087026,32207082.0835157670,2179562.2254929389,14.7768582639,13113165
6571,-19,36428732.3626025021,34243706.6503312141,2185025.7122712890,15.6719925345,13121461
6577,-22,41203577.5233040676,39016966.3514210284,2186611.1718830382,17.8435777029,13145407
6581,-22,42641693.1527963057,40450812.2791247591,2190880.8736715443,18.4632641442,13160863
6599,-20,37006952.4188339114,34811032.1442560330,2195920.2745778798,15.8525938065,13233789
6607,-21,40376047.1405884922,38171165.4106808081,2204881.7299076803,17.3121147012,13265267
6619,-19,35175630.6283138022,32960658.5531589352,2214972.0751548689,14.8808460941,13313859
6637,-15,27445934.1326772533,25217674.7756249085,2228259.3570523444,11.3172080691,13385821
6653,-13,24219166.2790821306,21980706.0344095379,2238460.2446725941,9.8195650723,13450993
6659,-15,27308889.2087412030,25071313.6504266970,2237575.5583145069,11.2046780084,13474893
6661,-16,29567403.7332411334,27320846.9504332915,2246556.7828078410,12.1612091711,13483279
6673,-12,25022678.3935294822,22771652.9367309548,2251025.4567985288,10.1161241282,13531537
6679,-13,25873413.7573302798,23619013.1032624394,2254400.6540678409,10.4768480530,13556217
6689,-15,29063544.3897422329,26800422.5725579374,2263121.8171842964,11.8422359632,13596721
6691,-15,30673656.8232022710,28410367.0304946825,2263289.7927075890,12.5526864134,13605185
6701,-16,33386995.6135366745,31115258.3647175394,2271737.2488191365,13.6966800984,13644973
6703,-18,36404462.3333511353,34134065.2690743506,2270397.0642767823,15.0344033677,13653905
6709,-19,37486574.8639188483,35212493.8824440539,2274080.9814747931,15.4842743813,13678723
6719,-17,36706620.6831404045,34431817.6015068218,2274803.0816335850,15.1361750296,13719593
6733,-16,35852174.3949842229,33559517.5616317168,2292656.8333525048,14.6378285112,13776355
6737,-17,38314231.4697078541,36020255.9254637659,2293975.5442440864,15.7021098223,13792623
6761,-16,35149699.8582519740,32839481.0362501703,2310218.8220018027,14.2148790078,13890877
6763,-17,37399323.7444325089,35086165.6022710949,2313158.1421614131,15.1680790702,13899485
6779,-17,34983060.8487260640,32662294.3826550990,2320766.4660709635,14.0739255156,13965219
6781,-18,37039568.9082766026,34714102.2282986045,2325466.6799779981,14.9278003109,13973789
6791,-17,36596865.0930759236,34265879.8175619170,2330985.2755140034,14.7001700000,14014039
6793,-18,39188552.4557463750,36854764.8661311865,2333787.5896151881,15.7918248559,14023085
6803,-17,37243813.9630926251,34908701.3344814405,2335112.6286111837,14.9494722039,14064569
6823,-13,30320371.1993957162,27966353.5638908595,2354017.6355048553,11.8802651017,14146949
6827,-13,30997753.9096799865,28642723.1817492805,2355030.7279307051,12.1623564576,14163471
6829,-14,33765686.7870481461,31408473.3680232316,2357213.4190249117,13.3244080127,14172569
6833,-16,37439845.7945094556,35078983.5747569352,2360862.2197525227,14.8585475600,14188965
6841,-16,37220055.3289831728,34849691.5593763888,2370363.7696067863,14.7022545679,14221885
6857,-19,42693329.7953830287,40318999.7097495198,2374330.0856335103,16.9812108071,14287865
6863,-20,44769027.6912239864,42391943.3481436223,2377084.3430803623,17.8335882240,14313723
6869,-19,45103041.2944100946,42719115.4531035870,2383925.8413065090,17.9196494760,14338513
6871,-19,46873188.2551530078,44486413.0172892585,2386775.2378637488,18.6387106383,14347205
6883,-20,48535561.6238894388,46139709.3898510784,2395852.2340383632,19.2581615570,14396731
6899,-18,44407759.3162764385,42005485.6418959126,2402273.6743805227,17.4857203365,14464171
6907,-17,42654706.5850964114,40242529.3676417395,2412177.2174546709,16.6830733150,14497693
6911,-19,46772461.3537989557,44361207.4985117316,2411253.8552872208,18.3975683030,14514343
6917,-19,46634908.9196556732,44212829.5999820605,2422079.3196736146,18.2540799721,14539945
6947,-15,39976416.3109270707,37539099.5802235231,2437316.7307035448,15.4018142605,14665733
6949,-16,42587355.1658859178,40145988.1421177015,2441367.0237682196,16.4440609508,14674983
6959,-17,45894175.7591302767,43449919.5652075335,2444256.1939227465,17.7763360785,14716431
6961,-18,48393130.3199791461,45940474.8523257598,2452655.4676533863,18.7309124572,14725181
6967,-21,53431795.3621144220,50976973.9652180374,2454821.3968963856,20.7660622600,14750263
6971,-22,56847853.5718455538,54392893.2656795681,2454960.3061659834,22.1563229063,14767357
6977,-23,57995003.8862344995,55531967.0479983687,2463036.8382361308,22.5461374292,14793099
6983,-24,59935009.9625409544,57471664.3364205658,2463345.6261203848,23.3307351299,14818921
6991,-26,63381781.0142530650,60911326.7636475191,2470454.2506055441,24.6559217799,14852655
6997,-27,65084335.2290653214,62608986.0713744238,2475349.1576908994,25.2929918500,14877589
7001,-26,64769712.6870424598,62289695.0564945936,2480017.6305478648,25.1166339663,14895147
7013,-28,67145795.9795775563,64660300.0363058969,2485495.9432716584,26.0150495161,14946407
7019,-28,68985444.2825959921,66499337.6254580095,2486106.6571379849,26.7483848428,14971951
7027,-29,71049649.9836949706,68553624.6100072861,2496025.3736876822,27.4651152719,15005899
7039,-24,63662738.2263922319,61160010.0123012215,2502728.2140910109,24.4373358913,15057489
7043,-25,65664047.7812629119,63156829.2683370858,2507218.5129258242,25.1899979769,15074791
7057,-25,66922626.5738032982,64400679.2548027560,2521947.3190005403,25.5360921973,15133811
7069,-21,61027423.6760767996,58501153.2120091990,2526270.4640675993,23.1571219488,15186235
7079,-19,59439296.6236184314,56908543.6004984453,2530753.0231199884,22.4868025764,15228817
7103,-16,48956122.7789583057,46408761.4360869303,2547361.3428713726,18.2183660618,15332897
7109,-17,51792626.9877395630,49241289.5811236873,2551337.4066158743,19.3001872090,15357927
7121,-12,44643139.3180162683,42079013.8816255555,2564125.4363907110,16.4106690275,15409701
7127,-14,47445895.3311531246,44882000.3653328046,2563894.9658203190,17.5053974378,15435793
7129,-15,50104501.6581488252,47531806.4569445923,2572695.2012042310,18.4754907751,15445079
7151,-6,34538587.0144591928,31952311.5871211179,2586275.4273380726,12.3545664353,15539945
7159,-6,32908295.5405386202,30318002.3905829974,2590293.1499556242,11.7044676550,15575731
7193,-3,30865328.5909366608,28248954.2476013638,2616374.3433352951,10.7969848885,15723245
7207,-3,29131064.2557711117,26508313.3611011803,2622750.8946699328,10.1070648436,15783913
7211,-3,31217097.1494725049,28587216.3515466265,2629880.7979258779,10.8701566908,15801647
7213,-4,34166966.5699577779,31535592.8204028457,2631373.7495549284,11.9844597620,15811257
7229,-3,35223329.7064422667,32582857.0824860372,2640472.6239562333,12.3397821992,15880949
7589,-3,39018496.1568730921,36109134.7326373309,2909361.4242357588,12.4113609371,17502283
7591,-5,42677408.4439226687,39761755.8961105645,2915652.5478121010,13.6373436972,17511631
7603,-3,39980351.2101018205,37058312.6533339769,2922038.5567678423,12.6823489606,17566829
7607,-3,40797578.1472381055,37874708.4592659026,2922869.6879722048,12.9580557817,17585777
7691,-5,44985468.1001086235,41994505.8406449556,2990962.2594636683,14.0404666451,17975887
7699,-5,44990948.8581574112,41997950.7971698642,2992998.0609875466,14.0320674927,18013919
7703,-6,48309351.7307246625,45311304.2102703154,2998047.5204543434,15.1136044046,18032667
7717,-3,44615118.5530193150,41604301.2558130547,3010817.2972062631,13.8182749562,18097533
7723,-5,48756180.6002973542,45736467.3497709259,3019713.2505264264,15.1459637241,18125629
7727,-5,49792492.0496431962,46777281.5255322382,3015210.5241109552,15.5137696527,18145153
7741,-6,47505086.4792506620,44472230.0326178819,3032856.4466327829,14.6634800608,18210635
7753,-6,46222035.8495952487,43179339.0482564792,3042696.8013387672,14.1911409080,18266999
7757,-5,46967955.3363667727,43926050.6118164733,3041904.7245503017,14.4403111173,18285619
7759,-6,50375150.8279598504,47331923.4324628115,3043227.3954970418,15.5531997058,18295955
7883,-3,41309060.1435481980,38170122.7300126031,3138937.4135355949,12.1602050953,18885513
7933,-3,41820194.0338083655,38639685.2306118682,3180508.8031964973,12.1489005758,19125065
7937,-3,43545944.0200031549,40362381.0815951452,3183562.9384080134,12.6783675594,19144851
7949,-4,44692779.4628406018,41498993.1052275524,3193786.3576130499,12.9936659684,19202703
7951,-5,47706673.7058947161,44510596.9293568805,3196076.7765378323,13.9266356979,19212731
7963,-10,55583709.4119207636,52378487.2930703834,3205222.1188503774,16.3416092086,19270473
7993,-4,37510710.0073607042,34276991.8119574487,3233718.1954032527,10.5998697910,19415995
9221,-4,49695264.2681186646,45396784.7569929808,4298479.5111256838,10.5611262400,25839751
9227,-4,50058635.7834361121,45752965.0229211003,4305670.7605150100,10.6262107736,25874039
9241,-3,47781062.3359087631,43454290.5209592879,4326771.8149494743,10.0431204555,25953023
9277,-3,47718681.9963035136,43364671.0915675759,4354010.9047359414,9.9597065879,26153851
9281,-3,48995677.2998304665,44640380.7794095650,4355296.5204209024,10.2496765881,26177529
9283,-5,54626608.6431404501,50264674.6587568074,4361933.9843836436,11.5234835829,26189113
9293,-6,57737811.1264400855,53368258.0395815894,4369553.0868584970,12.2136651000,26246105
9311,-4,47747052.5264732912,43364417.6400351897,4382634.8864381034,9.8945996561,26346819
9319,-4,48356794.4819247350,43966960.5839304328,4389833.8979943004,10.0156319363,26392433
9323,-7,58035582.0277951211,53642498.6604120582,4393083.3673830600,12.2106716796,26415699
9337,-5,53727201.6679937616,49320348.4289869368,4406853.2390068267,11.1917383571,26494239
9341,-6,59939750.3790843040,55528983.1789307445,4410767.2001535632,12.5894160039,26516639
9343,-7,64623980.2218094319,60208743.8908625394,4415236.3309468888,13.6365846306,26529075
9349,-5,60126546.7804942802,55707343.6130832285,4419203.1674110489,12.6057439549,26563417
9371,-4,52408620.4672296643,47970702.8456111178,4437917.6216185493,10.8092819506,26687963
9377,-7,61783163.3659931868,57335920.9210071713,4447242.4449860165,12.8924657538,26721685
9391,-3,48844370.8012903631,44383772.1816405579,4460598.6196498051,9.9501829163,26801835
9397,-3,50689930.0359338745,46222628.2460125461,4467301.7899213284,10.3468783663,26836049
9403,-8,65149239.7017809004,60679392.0257608294,4469847.6760200672,13.5752706633,26870041
9413,-7,61477946.3717203736,56996790.6529214680,4481155.7187989084,12.7192166998,26928493
9419,-11,75112457.5176768899,70627794.4242532700,4484663.0934236273,15.7487403073,26962173
9421,-12,79036836.4874143898,74543782.1652797461,4493054.3221346512,16.5908927026,26974087
9431,-14,83310795.9400787205,78813931.1336627752,4496864.8064159444,17.5264177436,27030151
9433,-15,88024192.0092118979,83521432.4183649868,4502759.5908469064,18.5489433165,27042701
9437,-16,93505443.4516470730,89003028.4507290274,4502415.0009180475,19.7678420209,27065349
9439,-17,97906734.0239639133,93403216.7147319466,4503517.3092319611,20.7400594471,27077425
9461,-17,97524204.7842740268,92995610.2233312279,4528594.5609427942,20.5352033554,27202529
9463,-17,100614147.4229980260,96085071.2890662700,4529076.1339317504,21.2151592174,27214941
9467,-18,105290510.7354583591,100758606.3256653845,4531904.4097929737,22.2331711384,27237919
9473,-18,105564912.7134676576,101027174.9671670496,4537737.7463006023,22.2637756114,27272617
9479,-21,113952326.2178321779,109412737.4557432830,4539588.7620888995,24.1019050821,27307181
9491,-21,111347556.1234183460,106791641.2663030177,4555914.8571153302,23.4402188398,27376339
9497,-22,113754380.9638064057,109192429.1678821892,4561951.7959242146,23.9354631641,27411521
9511,-20,109117773.1830968708,104541495.7119549811,4576277.4711418925,22.8442213942,27491927
9521,-22,116289564.1341618896,111701643.5001683384,4587920.6339935474,24.3468996984,27548683
9533,-22,110574830.8189008534,105982720.0372427702,4592110.7816580757,23.0793038488,27619707
9539,-22,112549888.9911371022,107952538.0388720483,4597350.9522650493,23.4814655570,27654251
9547,-24,121368947.6367742121,116762473.9798518717,4606473.6569223339,25.3474745925,27699773
9551,-25,124611424.8107627481,119997568.1359178424,4613856.6748449095,26.0080831705,27723079
9587,-19,95786955.3912791610,91141380.6647917926,4645574.7264873693,19.6189677340,27932377
9601,-18,90715901.8768418431,86047114.0117268264,4668787.8651150241,18.4302899377,28014193
9613,-17,87209500.3719864935,82536298.2519092113,4673202.1200772831,17.6616153402,28084017
9619,-16,86373957.2163149416,81697622.5070989132,4676334.7092160303,17.4704394760,28119641
9623,-18,91445610.4674315602,86763915.4882982373,4681694.9791333182,18.5325861413,28143635
9629,-17,92444862.0900586843,87757770.2555343956,4687091.8345242888,18.7232879905,28178277
9631,-18,96748297.4262683988,92056227.3682173789,4692070.0580510153,19.6195338580,28190449
9643,-19,98011049.5877551436,93306695.1290382743,4704354.4587168666,19.8341124054,28260195
9649,-19,98141795.5370275974,93430143.9764820486,4711651.5605455516,19.8295953714,28295465
9661,-19,98545848.1966595352,93820147.6813846380,4725700.5152749019,19.8531725356,28365013
9677,-17,87786318.6313793659,83049897.0843645930,4736421.5470147701,17.5343128267,28459423
9679,-19,94155828.3161629289,89421745.6731380671,4734082.6430248553,18.8889278908,28472323
9689,-22,102944248.0718728602,98199432.0605823100,4744816.0112905502,20.6961517216,28530525
9697,-25,108932588.6509365290,104173608.2818378955,4758980.3690986326,21.8899008196,28577109
9719,-32,124343601.8908082992,119572012.2266512364,4771589.6641570609,25.0591565165,28706673
9721,-33,129550065.3128618449,124763817.8827017844,4786247.4301600587,26.0671475312,28718983
9733,-32,125531768.7862496823,120740924.5653522909,4790844.2208973914,25.2024317632,28790131
9739,-34,134207659.1427085847,129409035.6583740413,4798623.4843345480,26.9679494715,28824919
9743,-35,140450336.1930284500,135655258.3786819875,4795077.8143464588,28.2905228301,28849495
9749,-36,142460949.7528951764,137658729.5620673299,4802220.1908278391,28.6656429926,28885165
9767,-31,121902648.2384896874,117082576.1304251105,4820072.1080645835,24.2906275063,28991217
9769,-32,126717291.0787282139,121887813.8073428273,4829477.2713853801,25.2383036420,29003863
9781,-31,125446956.8157920688,120606342.3935782313,4840614.4222138440,24.9155028420,29073883
9787,-33,133290733.3283345103,128445968.3092451096,4844765.0190893952,26.5123216096,29109947
9791,-34,138184728.0503627360,133340525.9342595637,4844202.1161031770,27.5257973838,29134145
9803,-33,134592458.8170807362,129734188.7450321764,4858270.0720485626,26.7037827912,29205915
9811,-34,137842230.9836421013,132971761.7435384989,4870469.2401036052,27.3016325919,29253427
9817,-36,146697431.1951442063,141823146.0692891479,4874285.1258550705,29.0961940895,29288881
9829,-38,154812429.6602709889,149920970.6064097285,4891459.0538612707,30.6495401383,29360329
9833,-41,164205735.2934358716,159315729.2666479647,4890006.0267879097,32.5798635817,29385269
9839,-41,166215262.0334770679,161324830.4769040942,4890431.5565729588,32.9878516059,29421167
9851,-41,168689351.0874521136,163781729.5659093857,4907621.5215427224,33.3729340877,29491689
9857,-42,172564230.2024609745,167648455.6869935989,4915774.5154673867,34.1041793434,29528007
9859,-42,175879498.5123670995,170965705.4696087241,4913793.0427583884,34.7930211920,29540983
9871,-39,163001387.3319001198,158070108.2367123663,4931279.0951877609,32.0545856735,29612159
9883,-41,169321118.0715371072,164379286.2345352173,4941831.8370018862,33.2628247290,29684541
9887,-42,175411250.7452401221,170469760.4201633930,4941490.3250767216,34.4976412389,29708853
9901,-38,164897977.7551368773,159931898.9705089927,4966078.7846278837,32.2048654294,29792263
9907,-37,165607701.6929938197,160642533.6210061014,4965168.0719877230,32.3538964426,29828449
9923,-38,167476250.2923136950,162495424.8173427284,4980825.4749709768,32.6241956547,29924719
9929,-40,174319728.7758882642,169333778.2965083122,4985950.4793799408,33.9621861462,29961333
9931,-40,178149905.6780959964,173160075.3598240614,4989830.3182719452,34.7025979472,29973901
9941,-35,164184487.1539599597,159181794.0985265970,5002693.0554333618,31.8192206347,30033857
9949,-35,164137427.4061753452,159133681.2230307460,5003746.1831446113,31.8029083408,30082433
9967,-34,160353121.6961191297,155326490.4308525622,5026631.2652665619,30.9007130688,30190781
9973,-35,164347519.9666834772,159316492.8626580834,5031027.1040253863,31.6667927977,30227959
