p,N,T_total,T_low,T_mid,T_high,M_N_2,M_N_3,M_N_4,M_N_5,M_N_6,M_N_7,M_N_8,M_N_9,M_N_10,M_N_11,M_N_12,M_N_13,M_N_14,M_N_15,M_N_16,M_N_17,M_N_18,M_N_19,M_N_20,sqrtN
56039,56038,-14.5978526911,-0.6837301587,-6.7699205258,-7.1442020066,-1,0,12,2,-5,2,-25,-10,12,-3,-6,-9,-9,-11,11,23,6,-15,-23,236
56113,56112,-15.1409414502,-1.0265873016,-6.9787681758,-7.1355859728,-4,0,17,3,-5,1,-27,-10,13,-2,-7,-8,-10,-10,13,20,6,-15,-24,236
56209,56208,-17.0427502773,-2.9880952381,-6.8920319999,-7.1626230394,-7,-5,17,2,-2,3,-28,-6,16,-1,-5,-6,-12,-8,13,20,4,-17,-25,237
56237,56236,-15.0585549321,-1.2123015873,-6.6915265584,-7.1547267864,-3,-3,16,1,-4,6,-29,-7,13,1,-3,-6,-13,-7,12,19,4,-16,-24,237
56393,56392,-12.6564314265,1.5714285714,-7.0686774632,-7.1591825347,2,-1,13,-3,-4,11,-26,-9,16,-2,-2,-7,-15,-5,12,20,3,-15,-21,237
65843,65842,-14.6078605986,-1.5277777778,-5.8269794063,-7.2531034145,23,-7,-31,-9,-8,-7,20,8,-22,-2,9,-4,-1,-6,-15,-7,-5,13,21,256
75869,75868,-24.2266836091,-8.2865079365,-8.5429931595,-7.3971825131,-30,-5,34,8,3,-12,-22,22,-2,-18,-21,3,8,-4,1,-10,-11,-10,-7,275
75937,75936,-20.9010734009,-4.5011904762,-8.9975333589,-7.4023495658,-27,-2,36,10,3,-8,-21,21,-4,-16,-21,4,7,-5,2,-11,-12,-10,-7,275
75967,75966,-20.9814490422,-4.5654761905,-9.0159290107,-7.4000438410,-29,-3,39,9,5,-6,-21,21,-3,-16,-21,2,8,-4,3,-10,-13,-8,-8,275
76249,76248,-18.9657581306,-2.4948412698,-9.0713462386,-7.3995706222,-23,-1,38,6,5,-12,-21,22,-3,-18,-18,-2,8,-5,7,-5,-13,-12,-5,276
77647,77646,-20.3461179357,-4.2158730159,-8.6848004034,-7.4454445165,-19,-3,43,-11,-5,-4,-26,26,-5,-24,-16,-1,8,-2,17,-6,-8,-15,-12,278
77969,77968,-19.9629167394,-4.8924603175,-7.6422610132,-7.4281954087,-11,-3,34,-18,-7,-3,-35,25,-1,-18,-17,-2,6,0,18,-2,-6,-19,-10,279
77983,77982,-19.6903563167,-4.5019841270,-7.7612411713,-7.4271310184,-9,-5,34,-16,-7,-4,-35,25,-3,-19,-17,-1,5,-1,18,-3,-6,-19,-9,279
78017,78016,-19.4911868670,-4.7174603175,-7.3423275811,-7.4313989684,-5,-8,32,-19,-9,-3,-36,25,-1,-19,-17,1,5,1,19,-2,-6,-17,-9,279
78139,78138,-17.2553108451,-3.0369047619,-6.7601089426,-7.4582971406,0,-3,24,-19,-13,-3,-31,21,-1,-16,-12,1,4,-1,20,0,-7,-16,-7,279
78191,78190,-18.4703946476,-4.3313492063,-6.7019696414,-7.4370757998,-2,-3,23,-19,-12,-3,-31,20,-2,-16,-11,0,7,-2,20,-1,-7,-15,-7,279
78203,78202,-18.5483741016,-4.3686507937,-6.7369310214,-7.4427922865,-2,-2,24,-20,-13,-4,-31,19,-2,-17,-11,-1,7,-1,20,-1,-7,-15,-6,279
78233,78232,-18.6533584071,-4.4738095238,-6.7297492606,-7.4497996227,-4,0,24,-20,-12,-6,-30,21,-2,-16,-11,0,8,-1,19,0,-9,-14,-7,279
80953,80952,-20.4816095730,-6.2357142857,-6.7256786249,-7.5202166624,-2,-12,20,-37,-2,12,-14,3,12,5,-15,-9,8,11,-5,4,-4,-18,-12,284
81001,81000,-20.2473894722,-5.8519841270,-6.8595912387,-7.5358141066,-4,-10,19,-37,-2,17,-11,1,13,7,-15,-9,6,10,-5,6,-4,-18,-13,284
84349,84348,-28.3648194839,-12.6194444444,-8.0651335528,-7.6802414867,-46,-3,43,-13,15,14,-25,-4,23,4,-29,-17,4,13,3,10,-3,-7,-13,290
84421,84420,-28.0726124972,-12.4357142857,-7.9561098362,-7.6807883753,-47,2,38,-13,12,19,-22,-6,22,3,-24,-16,2,13,2,9,-1,-6,-13,290
84449,84448,-29.0232801003,-13.4734126984,-7.8701444909,-7.6797229110,-46,2,33,-15,11,20,-21,-5,21,3,-23,-18,3,14,4,7,-2,-6,-12,290
84649,84648,-29.3675537817,-13.7531746032,-7.9063297967,-7.7080493819,-49,4,33,-17,13,23,-16,-8,20,-4,-23,-12,5,16,-1,6,0,-8,-11,290
84653,84652,-29.6497516284,-14.0793650794,-7.8639673910,-7.7064191580,-48,3,32,-18,13,22,-16,-8,21,-4,-23,-12,5,16,-1,6,0,-8,-11,290
84659,84658,-29.6717020138,-13.9003968254,-8.0639410285,-7.7073641599,-47,1,32,-19,14,23,-15,-7,21,-4,-23,-12,4,16,-2,6,-1,-8,-11,290
90089,90088,-18.0046052376,-5.7896825397,-4.3351963270,-7.8797263709,0,15,-22,-13,-4,4,-2,-22,1,23,13,-19,-17,3,13,-2,1,1,-3,300
91433,91432,-14.7006473637,-0.5198412698,-6.2452474685,-7.9355586254,5,25,-23,-19,2,-12,12,-20,3,16,-1,-26,-14,-4,7,13,-3,9,-5,302
91513,91512,-13.7394591334,0.9531746032,-6.7678206338,-7.9248131028,7,22,-23,-18,7,-9,12,-19,2,16,-2,-24,-13,-5,4,12,-5,7,-3,302
100847,100846,-19.6272977603,-5.0503968254,-6.5330062139,-8.0438947210,0,-19,-7,21,-15,16,1,2,-13,1,21,-5,0,-17,-15,-7,11,-5,-5,317
100943,100942,-17.1459566266,-3.0904761905,-6.0016580023,-8.0538224339,9,-25,-5,21,-20,15,2,3,-16,3,24,-5,-2,-15,-19,-3,12,-5,-4,317
104473,104472,-18.6887554494,-5.1123015873,-5.4600435125,-8.1164103496,6,-29,2,40,-14,-15,-13,14,-24,-22,16,8,19,-19,-13,-5,5,10,1,323
104701,104700,-17.0593159362,-3.3555555556,-5.5735345328,-8.1302258478,10,-24,1,37,-18,-21,-10,13,-22,-20,17,10,19,-23,-10,-7,6,10,-2,323
108971,108970,-14.3985245449,1.5126984127,-7.7587993256,-8.1524236320,14,-3,-5,3,-17,-15,2,17,-10,-36,3,20,-1,3,-14,-21,5,6,9,330
109423,109422,-16.1736260871,-0.9920634921,-7.0338881110,-8.1476744841,9,3,-8,-3,-19,-19,8,17,-9,-34,3,25,-1,8,-16,-17,-1,6,8,330
109451,109450,-15.8241697243,-0.7615079365,-6.9088925288,-8.1537692590,10,5,-7,-4,-22,-19,5,16,-9,-35,4,25,-2,9,-15,-15,-1,6,8,330
109507,109506,-15.7641254896,-1.0206349206,-6.5845138346,-8.1589767344,14,2,-9,-2,-24,-22,6,14,-12,-36,7,24,-2,7,-16,-15,0,5,10,330
109517,109516,-15.4762773838,-0.6444444444,-6.6701348848,-8.1616980545,14,3,-9,-3,-24,-21,6,14,-11,-36,7,24,-1,7,-16,-14,0,5,10,330
111127,111126,-10.1238480538,3.9095238095,-5.8777585809,-8.1556132825,30,-14,13,-20,-23,-20,-6,15,1,-15,-1,31,-3,14,-13,-13,-4,1,8,333
111263,111262,-7.3499480674,6.7753968254,-5.9775626472,-8.1477822456,35,-11,13,-16,-27,-23,-8,16,-1,-17,-2,34,-3,11,-16,-10,-2,2,5,333
111269,111268,-7.6141919376,6.4142857143,-5.8845870810,-8.1438905708,35,-11,12,-16,-27,-23,-8,15,-1,-17,-2,34,-3,11,-15,-9,-2,2,5,333
111271,111270,-8.3475881808,5.6476190476,-5.8512537477,-8.1439534808,34,-12,12,-17,-26,-23,-8,15,0,-17,-2,34,-3,12,-15,-9,-2,2,5,333
125693,125692,-26.9701269022,-11.4269841270,-7.4901053160,-8.0530374592,-28,-24,33,-6,34,-4,-18,7,-1,12,-19,-15,2,19,0,7,-23,-18,-10,354
125711,125710,-27.5126362713,-11.7353174603,-7.7261348033,-8.0511840077,-29,-25,33,-5,34,-4,-17,7,1,11,-19,-17,1,19,0,8,-24,-18,-11,354
125789,125788,-28.3448161643,-12.7595238095,-7.5349681036,-8.0503242513,-28,-30,34,-6,36,-8,-18,12,0,12,-21,-16,3,22,3,10,-27,-19,-12,354
130021,130020,-19.6855934774,-7.5579365079,-4.0683772065,-8.0592797629,15,-49,36,-7,2,-23,-34,16,-9,36,-12,-22,-4,25,9,3,-3,-16,-17,360
130199,130198,-18.1686542732,-6.1043650794,-4.0027906743,-8.0614985195,15,-41,30,-3,3,-20,-37,13,-13,30,-7,-25,-5,23,15,2,0,-15,-12,360
130307,130306,-21.6730406414,-9.6242063492,-3.9841572480,-8.0646770442,7,-39,27,-3,2,-18,-37,17,-13,28,-8,-22,-2,20,18,4,1,-19,-11,360
130337,130336,-20.9748701083,-8.7257936508,-4.1896322549,-8.0594442026,6,-38,29,-2,4,-17,-37,16,-13,27,-10,-22,-3,19,19,5,1,-19,-11,361
131293,131292,-15.8077202034,-2.7888888889,-4.9633478606,-8.0554834538,10,-23,20,1,-4,0,-32,4,-11,25,-10,-17,-7,18,23,-5,8,-18,-15,362
131639,131638,-17.5041205188,-4.0226190476,-5.4269055094,-8.0545959618,0,-17,25,4,-8,2,-33,6,-9,20,-6,-12,-7,12,22,-7,6,-19,-22,362
131777,131776,-17.6979395068,-3.5857142857,-6.0497740868,-8.0624511343,0,-13,19,3,-6,5,-30,3,-9,16,-7,-14,-6,11,17,-5,10,-17,-23,363
132047,132046,-14.8435624384,0.6265873016,-7.4058957497,-8.0642539903,7,-17,15,3,-3,20,-25,1,-9,16,-10,-18,-14,11,14,-5,5,-16,-20,363
132059,132058,-16.1625502328,-0.7595238095,-7.3420816747,-8.0609447485,6,-19,13,4,-2,20,-24,0,-10,16,-10,-19,-14,11,14,-5,5,-16,-20,363
132313,132312,-13.5355112392,1.1904761905,-6.6732996410,-8.0526877887,19,-25,3,2,-9,27,-26,6,-9,16,-2,-18,-15,12,19,-1,5,-19,-18,363
134857,134856,-7.7190706329,7.1464285714,-6.8049920172,-8.0605071872,32,1,-18,-14,-27,46,-21,-12,0,18,3,-31,-18,4,23,-2,16,-15,-16,367
134887,134886,-7.5192282253,7.3702380952,-6.8264159165,-8.0630504041,34,-1,-19,-12,-28,45,-19,-12,-2,18,2,-32,-17,4,23,-2,17,-14,-15,367
135721,135720,-16.5986080492,-1.2003968254,-7.3372378406,-8.0609733833,17,-4,-27,-19,-18,44,-17,2,8,18,3,-25,-23,4,23,-7,11,-8,-17,368
162229,162228,-18.2365537619,-3.5369047619,-6.5208102510,-8.1788387490,-15,21,-4,35,-11,-38,21,-9,-34,-4,-1,15,14,-14,-17,-24,1,29,12,402
162451,162450,-15.3618333100,-0.7357142857,-6.4497992887,-8.1763197356,-15,31,-4,36,-18,-37,26,-12,-34,-5,0,11,17,-10,-19,-25,1,32,11,403
162457,162456,-15.5471519011,-0.8940476190,-6.4770369280,-8.1760673541,-15,30,-2,35,-18,-37,25,-12,-34,-5,-1,11,17,-10,-19,-25,1,32,11,403
163147,163146,-23.9888114877,-10.2107142857,-5.6112538807,-8.1668433213,-26,20,1,21,-11,-30,21,-12,-35,-13,9,4,18,-9,-21,-18,1,31,21,403
163151,163150,-24.1286212539,-10.3369047619,-5.6218636631,-8.1698528289,-25,19,0,22,-11,-31,21,-12,-36,-13,9,4,18,-9,-21,-19,1,31,21,403
163171,163170,-24.6884968482,-10.8936507937,-5.6233569904,-8.1714890641,-26,18,1,20,-9,-32,22,-11,-36,-14,8,3,19,-8,-20,-18,1,32,22,403
194981,194980,-34.6693176610,-14.9353174603,-11.4173982242,-8.3166019766,-88,18,82,-10,36,10,-51,1,34,-1,-34,-11,-1,-8,17,12,-11,-25,-36,441
195469,195468,-33.5988701511,-14.5738095238,-10.7085446233,-8.3165160040,-71,5,75,0,29,1,-56,3,22,-7,-38,-5,8,-12,18,11,-9,-29,-31,442
195863,195862,-31.0767714621,-13.2456349206,-9.4951800112,-8.3359565302,-72,13,82,-5,22,-1,-61,2,28,-3,-37,-1,13,-14,19,11,-9,-28,-33,442
195883,195882,-32.2707472139,-14.5702380952,-9.3716846621,-8.3288244566,-74,12,83,-5,21,-3,-61,3,29,-5,-35,-2,14,-13,20,10,-8,-28,-34,442
195887,195886,-33.0606736028,-15.4313492063,-9.3006020410,-8.3287223555,-76,12,84,-5,21,-3,-61,2,29,-5,-35,-2,14,-13,20,10,-8,-28,-34,442
195893,195892,-33.8107634678,-16.2396825397,-9.2421696744,-8.3289112538,-76,11,83,-6,21,-3,-62,2,30,-5,-35,-2,14,-13,21,9,-8,-29,-34,442
195919,195918,-33.1773577906,-15.8599206349,-8.9852642882,-8.3321728675,-73,10,82,-8,22,-6,-61,2,30,-3,-35,0,16,-12,21,9,-9,-30,-35,442
196139,196138,-34.7131813424,-17.0067460317,-9.3539867402,-8.3524485705,-70,4,72,-10,26,-1,-55,4,29,-5,-30,-2,12,-10,19,9,-11,-31,-33,442
196709,196708,-32.5892112488,-16.1773809524,-8.0585602487,-8.3532700477,-68,11,70,-22,24,-9,-49,-3,48,0,-31,7,18,-11,19,17,-8,-31,-41,443
196769,196768,-31.8993627018,-15.6488095238,-7.9025039108,-8.3480492672,-66,12,71,-24,21,-6,-51,-6,48,2,-32,8,17,-12,22,18,-7,-33,-40,443
196837,196836,-30.0844163745,-13.4496031746,-8.2792086710,-8.3556045289,-60,14,65,-23,15,-2,-49,-5,47,-1,-31,6,16,-13,22,16,-6,-33,-40,443
197767,197766,-34.1773311018,-16.1523809524,-9.6615695134,-8.3633806361,-62,1,57,-17,23,-2,-34,-3,47,-9,-29,7,19,-12,16,13,-10,-28,-42,444
198251,198250,-32.4159666224,-14.8666666667,-9.1755702715,-8.3737296842,-57,8,47,-16,9,7,-34,-3,45,-10,-25,6,14,-6,13,20,-7,-24,-39,445
198323,198322,-35.8778952549,-18.5960317460,-8.8990201324,-8.3828433764,-67,9,48,-14,7,8,-30,-5,47,-8,-25,7,15,-9,12,21,-4,-24,-38,445
198349,198348,-35.8147922353,-18.4111111111,-9.0251183467,-8.3785627774,-67,10,49,-14,8,7,-30,-7,45,-8,-27,6,16,-9,12,22,-4,-25,-37,445
198413,198412,-37.1810240397,-20.3071428571,-8.4884271992,-8.3854539833,-74,14,51,-14,8,8,-32,-9,46,-6,-28,4,19,-9,14,25,-2,-25,-38,445
199337,199336,-27.9544073344,-9.8000000000,-9.7499941510,-8.4044131834,-57,35,32,-8,4,7,-20,-21,38,-11,-20,-14,19,-17,13,25,1,-22,-33,446
199373,199372,-26.8256519231,-8.9912698413,-9.4249473588,-8.4094347230,-52,32,30,-6,3,5,-22,-20,38,-11,-19,-12,20,-17,14,26,1,-21,-34,446
199403,199402,-27.0523250707,-9.2206349206,-9.4250743884,-8.4066157617,-52,31,32,-8,3,6,-24,-19,38,-12,-18,-11,19,-17,16,27,0,-21,-34,446
199739,199738,-32.5435731447,-15.2305555556,-8.8945433407,-8.4184742484,-60,25,25,-9,12,7,-21,-17,35,-17,-20,-9,23,-14,16,32,-6,-25,-29,446
199813,199812,-32.8371415079,-15.2880952381,-9.1437794390,-8.4052668308,-57,25,23,-10,12,3,-20,-18,32,-16,-21,-9,22,-13,13,32,-6,-28,-27,447
199819,199818,-32.5267039865,-14.9313492063,-9.1846279117,-8.4107268684,-58,27,24,-9,11,4,-21,-19,32,-15,-21,-9,22,-14,13,32,-5,-28,-27,447
199831,199830,-32.8796203530,-15.4253968254,-9.0470798428,-8.4071436848,-58,27,22,-9,12,2,-20,-19,32,-16,-21,-8,23,-13,12,32,-5,-27,-26,447
199853,199852,-33.0392273528,-15.7404761905,-8.8931888212,-8.4055623410,-60,26,26,-7,12,1,-22,-18,31,-15,-21,-9,23,-12,11,33,-4,-28,-26,447
200009,200008,-29.0350354441,-12.3341269841,-8.2818440700,-8.4190643900,-47,30,21,-11,4,-3,-20,-20,26,-15,-20,-9,23,-13,10,37,1,-26,-23,447
200713,200712,-18.4062488621,-0.7912698413,-9.1947262468,-8.4202527741,-19,33,12,-11,-1,-9,-14,-17,20,-25,-21,-7,11,-7,7,40,-2,-20,-18,448
201829,201828,-14.8774687333,1.6972222222,-8.1368256385,-8.4378653170,-1,35,6,-13,-25,-21,-5,-25,22,-22,-18,-10,15,0,3,27,3,-19,-15,449
202061,202060,-20.3970946308,-3.0849206349,-8.8657894318,-8.4463845641,-18,35,16,-8,-17,-27,-6,-28,24,-23,-23,-15,16,-2,1,27,3,-23,-16,449
206749,206748,-12.4078934977,7.6222222222,-11.5196312741,-8.5104844458,-25,52,23,-12,-23,14,-6,-25,48,0,-21,-22,-5,-2,-4,16,14,-9,-34,454
206779,206778,-10.4909657994,9.8472222222,-11.8187180165,-8.5194700052,-22,53,24,-11,-22,14,-7,-25,47,0,-23,-20,-5,-3,-4,14,13,-9,-35,454
206807,206806,-10.7219806447,9.5428571429,-11.7514704648,-8.5133673228,-21,51,24,-11,-23,15,-8,-24,46,1,-22,-21,-5,-3,-4,13,12,-9,-35,454
213901,213900,-23.3252870714,-10.3833333333,-4.3445352515,-8.5974184865,-22,43,13,-78,-22,28,-4,-36,28,43,-2,-32,-2,22,-13,0,26,0,-17,462
213949,213948,-25.5065716807,-12.7432539683,-4.1633464463,-8.5999712661,-25,42,13,-80,-21,29,-5,-37,26,43,-4,-33,-4,23,-10,-2,28,-1,-16,462
213953,213952,-25.7517490487,-12.9765873016,-4.1731759918,-8.6019857554,-25,41,13,-79,-21,29,-5,-37,25,43,-4,-33,-4,23,-10,-2,28,-1,-16,462
218021,218020,-8.3326538321,6.5285714286,-6.1864915149,-8.6747337458,4,34,8,-35,-3,45,-4,-66,1,42,-15,-24,-15,16,1,7,16,12,-8,466
218047,218046,-6.7903315168,8.0757936508,-6.1901347852,-8.6759903824,7,34,8,-36,-3,45,-3,-64,0,44,-15,-23,-17,16,0,7,15,12,-7,466
218629,218628,-8.1070881102,6.6222222222,-6.0594358551,-8.6698744773,7,30,2,-23,4,35,-12,-58,-5,42,-12,-17,-17,3,9,4,15,10,-7,467
218761,218760,-11.4008963098,3.6599206349,-6.3804859618,-8.6803309830,2,24,6,-20,3,34,-11,-56,-6,40,-17,-22,-19,3,8,3,17,12,-8,467
219031,219030,-13.7505561059,2.0150793651,-7.1020685260,-8.6635669450,-2,21,13,-29,3,36,-8,-52,-3,43,-24,-21,-21,4,6,6,14,9,-11,468
219301,219300,-15.6650344335,-0.2269841270,-6.7575612688,-8.6804890378,-9,17,15,-22,2,38,-6,-50,-2,39,-23,-13,-25,8,7,4,16,10,-9,468
219353,219352,-14.0414013072,1.3773809524,-6.7361001563,-8.6826821033,-6,21,9,-21,2,37,-1,-51,-5,38,-22,-12,-26,7,6,5,17,9,-7,468
243227,243226,-3.4062651497,12.2726190476,-6.7247440941,-8.9541401032,56,-12,-66,83,-8,-37,13,-12,-55,-18,23,2,-16,-35,6,17,-2,13,16,493
243577,243576,-3.5915299956,12.8615079365,-7.4974494108,-8.9555885213,50,-11,-64,83,-5,-30,21,-16,-48,-18,24,-5,-15,-36,7,15,2,10,14,493
243613,243612,-4.3452458338,12.0869047619,-7.4740742428,-8.9580763529,53,-14,-68,83,-5,-32,21,-15,-49,-20,24,-3,-14,-35,7,13,0,9,15,493
243703,243702,-2.3235269223,13.9075396825,-7.2679541997,-8.9631124052,62,-15,-75,78,-1,-31,23,-20,-50,-20,25,-2,-13,-33,6,11,0,7,17,493
243799,243798,0.1652217434,16.9515873016,-7.8174322132,-8.9689333450,63,-9,-77,83,-2,-29,24,-20,-52,-22,26,-1,-12,-35,3,10,3,7,17,493
244507,244506,-9.5768671713,6.0146825397,-6.6251648506,-8.9663848604,46,-18,-71,72,-2,-25,29,-14,-58,-20,25,4,-14,-34,-4,17,9,3,20,494
245257,245256,-12.0794605284,4.2619047619,-7.3727934477,-8.9685718426,36,-29,-58,72,-7,-11,36,-3,-54,-21,24,20,-24,-32,-10,17,1,3,18,495
245941,245940,-12.9188059139,2.3150793651,-6.2474300064,-8.9864552727,40,-28,-63,72,-12,-20,36,-13,-52,-18,29,25,-18,-33,-8,12,9,-5,21,495
246049,246048,-14.0003699927,0.9253968254,-5.9470991170,-8.9786677011,40,-33,-64,65,-10,-16,40,-11,-49,-22,28,28,-17,-31,-8,14,9,-4,22,496
246097,246096,-13.0004440687,1.9519841270,-5.9726383535,-8.9797898422,41,-34,-62,65,-9,-17,41,-10,-48,-23,27,30,-16,-33,-8,15,8,-4,22,496
246121,246120,-12.8578785100,1.9837301587,-5.8593564718,-8.9822521969,40,-34,-60,65,-9,-16,41,-11,-48,-22,27,31,-17,-33,-7,16,8,-5,22,496
246223,246222,-13.8610861074,1.2206349206,-6.0989262347,-8.9827947934,43,-38,-67,65,-7,-20,46,-8,-47,-24,28,31,-16,-32,-10,16,6,-4,22,496
246641,246640,-17.6752478453,-2.6559523810,-6.0272034007,-8.9920920636,36,-50,-68,66,8,-19,45,-3,-41,-27,26,37,-13,-30,-5,16,4,-7,18,496
246661,246660,-17.3965501450,-2.6492063492,-5.7549194045,-8.9924243914,38,-50,-68,64,5,-18,44,-4,-41,-25,26,36,-14,-30,-5,17,5,-6,19,496
250813,250812,-21.2538259402,-7.6980158730,-4.5251575446,-9.0306525226,18,-22,-43,14,-26,-10,37,11,-15,-21,40,50,-2,-24,-28,-5,0,-11,8,500
250969,250968,-24.6507929642,-11.0908730159,-4.5113328515,-9.0485870968,11,-29,-37,11,-23,-11,39,14,-9,-22,39,48,-3,-20,-26,-7,1,-8,5,500
250993,250992,-24.7639829853,-11.0563492063,-4.6610031362,-9.0466306428,10,-29,-37,11,-22,-10,40,14,-8,-23,38,49,-4,-20,-25,-6,2,-8,4,500
253417,253416,-17.4953462099,-1.6269841270,-6.8145022416,-9.0538598414,20,-7,-36,8,-47,-4,52,1,-1,-27,35,35,-13,-14,-30,-18,13,-14,3,503
253481,253480,-19.3968383681,-3.3277777778,-7.0064727814,-9.0625878090,15,-8,-36,11,-44,-7,54,2,0,-28,33,34,-10,-13,-30,-17,11,-14,2,503
253493,253492,-19.6167859308,-3.3210317460,-7.2360856744,-9.0596685104,14,-7,-36,12,-43,-6,53,1,-1,-28,33,33,-11,-14,-29,-18,11,-14,2,503
253507,253506,-20.1756272447,-3.8293650794,-7.2887079297,-9.0575542357,13,-8,-35,13,-43,-6,52,1,-1,-28,33,33,-10,-14,-29,-18,10,-15,2,503
253543,253542,-19.0234646042,-2.7698412698,-7.1958008697,-9.0578224647,15,-6,-35,13,-46,-5,50,1,-1,-27,35,32,-12,-15,-27,-17,10,-14,3,503
253601,253600,-17.2181203835,-0.5543650794,-7.6028722559,-9.0608830483,21,-8,-39,17,-45,-6,51,4,-5,-28,35,29,-11,-17,-28,-17,10,-14,3,503
253633,253632,-18.1572033768,-1.4706349206,-7.6286072747,-9.0579611814,19,-7,-39,15,-43,-8,52,2,-3,-28,35,27,-10,-18,-28,-15,10,-13,3,503
259691,259690,-18.3900460510,-0.3527777778,-8.9207908478,-9.1164774254,-8,27,8,6,-48,-14,37,-25,-4,-37,5,34,-24,-15,-34,-2,17,10,-7,509
259733,259732,-17.5224698003,0.6833333333,-9.0895223467,-9.1162807869,-8,31,10,5,-51,-14,38,-27,-4,-36,4,33,-23,-16,-36,-2,18,8,-8,509
259837,259836,-16.5583213014,2.6321428571,-10.0720748603,-9.1183892983,-8,35,11,8,-49,-15,37,-27,-7,-36,1,29,-24,-21,-35,-5,15,9,-5,509
259841,259840,-16.8335205694,2.3543650794,-10.0681686103,-9.1197170384,-9,36,11,8,-49,-15,37,-28,-7,-36,1,29,-24,-21,-35,-5,15,9,-5,509
259949,259948,-14.1457203863,5.3785714286,-10.3933353003,-9.1309565145,-8,41,15,6,-52,-11,36,-27,-5,-35,1,26,-23,-21,-33,-6,17,5,-7,509
260207,260206,-14.2213548379,5.9765873016,-11.0804363496,-9.1175057899,-16,38,21,13,-40,-8,33,-23,-3,-32,0,23,-22,-20,-35,-5,16,4,-14,510
260263,260262,-14.2254312187,5.4488095238,-10.5496504133,-9.1245903292,-14,37,19,11,-41,-8,31,-21,-4,-31,1,26,-22,-19,-35,-6,17,3,-13,510
260363,260362,-11.1264727205,8.1865079365,-10.1915033607,-9.1214772963,-8,38,18,9,-39,-9,30,-22,-3,-30,3,27,-20,-18,-35,-7,15,5,-14,510
260413,260412,-9.7256661495,10.0289682540,-10.6266168107,-9.1280175928,-3,40,14,9,-39,-13,31,-20,-4,-32,2,24,-20,-18,-37,-7,12,6,-13,510
260551,260550,-12.3066538269,6.7186507937,-9.8959281125,-9.1293765081,-1,39,4,9,-41,-17,29,-22,-5,-34,5,24,-20,-18,-36,-10,15,5,-11,510
267307,267306,-18.3212273208,2.1920634921,-11.3528172141,-9.1604735987,-34,23,40,11,3,-23,4,19,-5,-57,-18,29,41,-3,-28,-18,-14,12,-11,517
267317,267316,-19.2720146199,0.9115079365,-11.0247099317,-9.1588126247,-36,21,42,11,3,-23,3,20,-6,-56,-18,29,42,-2,-27,-18,-14,13,-11,517
267451,267450,-23.2962754868,-3.4611111111,-10.6685802810,-9.1665840947,-44,19,41,15,8,-28,0,20,-6,-56,-21,33,47,-5,-25,-21,-12,11,-10,517
273919,273918,-31.5245927982,-13.9658730159,-8.3776609705,-9.1810588119,-59,10,46,11,3,-4,-26,20,-4,-24,-21,39,27,-25,-22,-32,5,15,4,523
273929,273928,-31.9960214901,-14.3908730159,-8.4256886840,-9.1794597902,-59,8,45,12,4,-4,-25,20,-4,-23,-22,40,27,-25,-22,-33,4,16,4,523
273941,273940,-31.4642075611,-13.7738095238,-8.5064334666,-9.1839645707,-58,9,45,12,3,-6,-24,21,-4,-23,-22,40,28,-26,-23,-34,4,16,3,523
274007,274006,-32.1088485496,-14.5019841270,-8.4165085844,-9.1903558381,-56,8,39,11,-1,-4,-21,22,-2,-24,-20,41,27,-24,-25,-33,6,16,2,523
275393,275392,-38.4153458441,-21.1400793651,-8.0701196997,-9.2051467792,-77,5,51,7,13,-22,-17,31,12,-16,-24,35,48,-23,-25,-37,-4,19,-1,524
275699,275698,-42.4542721749,-24.3900793651,-8.8638715744,-9.2003212355,-82,-6,52,9,23,-22,-21,40,13,-15,-25,29,47,-23,-23,-36,-7,16,-2,525
275741,275740,-43.1892661915,-25.4408730159,-8.5500775009,-9.1983156747,-83,-3,51,6,23,-25,-23,38,15,-15,-24,29,48,-23,-22,-36,-7,15,-3,525
275963,275962,-39.8889646400,-21.9440476190,-8.7452245145,-9.1996925065,-77,-9,56,15,22,-23,-25,36,13,-15,-21,29,45,-23,-21,-36,-13,17,-1,525
277183,277182,-48.7553371553,-29.8702380952,-9.6772282192,-9.2078708408,-101,-20,67,23,35,-17,-29,42,15,-5,-33,32,42,-22,-20,-37,-9,4,2,526
277421,277420,-49.7450764317,-31.4059523810,-9.1300641168,-9.2090599339,-104,-25,72,26,34,-19,-29,45,14,-7,-30,31,44,-23,-21,-37,-6,4,1,526
277427,277426,-49.7322716511,-31.3642857143,-9.1607174750,-9.2072684618,-104,-24,72,26,33,-19,-30,45,14,-7,-30,31,44,-23,-20,-38,-6,4,1,526
278051,278050,-41.6915393737,-22.8952380952,-9.5868394402,-9.2094618383,-90,-26,76,35,37,-17,-36,39,12,-8,-37,28,48,-23,-15,-29,-7,3,-5,527
278387,278386,-45.1734895151,-25.9539682540,-10.0062847967,-9.2132364644,-96,-40,86,29,44,-8,-32,44,10,-1,-35,22,43,-24,-14,-30,-10,2,-3,527
322513,322512,-41.6313613534,-23.8297619048,-8.7609684452,-9.0406310034,-50,-11,10,-35,14,31,-13,-9,52,-8,-11,-30,-26,22,23,37,-3,-16,-33,567
