p,N,T_total,T_low,T_mid,T_high,M_N_2,M_N_3,M_N_4,M_N_5,M_N_6,M_N_7,M_N_8,M_N_9,M_N_10,M_N_11,M_N_12,M_N_13,M_N_14,M_N_15,M_N_16,M_N_17,M_N_18,M_N_19,M_N_20,sqrtN
1831,1830,-9.8456764499,-3.1996031746,-2.8876558104,-3.7584174649,0,-2,-6,0,-1,-2,3,-5,-4,0,-1,-4,-2,-2,-6,-3,0,2,-1,42
1873,1872,-8.8922179415,-2.2511904762,-2.9174381532,-3.7235893121,5,-3,-7,-3,-3,-1,-1,-3,-3,-2,-1,-1,-2,-1,-5,-5,-2,1,0,43
1877,1876,-9.5990384100,-3.0011904762,-2.8817238675,-3.7161240663,3,-3,-6,-3,-3,-1,-1,-3,-3,-2,-1,-1,-1,-1,-5,-5,-2,1,0,43
1933,1932,-8.9773614241,-2.4285714286,-2.6812522271,-3.8675377685,5,-4,-5,-2,-4,-3,-2,0,-6,-4,1,1,-3,-2,-3,-5,-3,0,2,43
2143,2142,-13.2723988080,-6.1845238095,-3.1353139288,-3.9525610696,-9,-3,-1,0,-1,-1,-1,0,0,-5,-2,0,-1,-2,-2,-1,-3,-4,-3,46
2347,2346,-11.2656479991,-3.9865079365,-3.2312176240,-4.0479224386,-6,-1,7,-6,-1,2,-8,-2,-1,-1,-6,-3,-1,-1,1,-3,-2,-1,-5,48
2377,2376,-11.8743832145,-4.4115079365,-3.3373008005,-4.1255744775,-8,-1,6,-6,2,2,-7,-2,1,1,-7,-5,-1,-1,1,-4,-3,-1,-4,48
2543,2542,-9.4017407389,-1.8888888889,-3.2969567407,-4.2158951093,1,-1,0,-5,0,0,-4,-5,0,0,-2,-6,-4,-1,-1,0,-3,-2,-2,50
3049,3048,-11.3500626318,-3.8126984127,-3.1309751634,-4.4063890557,0,-1,-5,-1,-5,-6,-2,1,-2,-4,0,-1,2,-5,-4,-3,-1,0,-1,55
3067,3066,-11.7465669488,-4.3015873016,-3.0074960200,-4.4374836272,-1,-3,-3,-2,-4,-6,-2,2,-1,-3,-1,0,4,-5,-5,-3,-2,1,-1,55
3079,3078,-11.1539668700,-3.7666666667,-2.9023139456,-4.4849862577,1,-4,-3,-2,-4,-7,-2,3,-2,-3,-1,0,4,-4,-5,-4,-2,1,-1,55
3617,3616,-12.3981756860,-4.1690476190,-3.6916751458,-4.5374529211,-5,-2,0,-1,2,-2,-6,0,-1,-1,-4,-3,-3,-2,4,-2,-8,-4,-3,60
3671,3670,-12.3173892873,-4.4702380952,-3.2712398402,-4.5759113519,-4,-3,1,-2,-1,-3,-5,0,-1,0,-1,-5,-1,-2,2,1,-5,-6,-4,60
4547,4546,-10.9383324544,-2.8182539683,-3.4667429448,-4.6533355413,5,-2,-12,-1,-3,-6,6,-4,-4,0,-2,1,-3,-2,-6,-1,-2,-1,3,67
4591,4590,-11.1713413855,-3.0817460317,-3.4276145851,-4.6619807687,0,1,-6,1,-4,-8,6,-5,-5,2,-1,0,-1,-1,-8,-2,-1,-2,2,67
4643,4642,-11.0603718360,-2.6353174603,-3.7650837884,-4.6599705873,0,-1,-4,4,-2,-11,5,-2,-6,0,-2,-1,0,-1,-8,-4,-2,-2,0,68
4649,4648,-11.1922467656,-2.7936507937,-3.7347467744,-4.6638491976,1,-2,-5,3,-2,-11,6,-2,-6,0,-2,-1,0,-1,-8,-4,-3,-2,0,68
5147,5146,-12.2228362328,-3.5468253968,-3.8873409517,-4.7886698843,2,-10,1,-3,-2,-2,-4,5,-3,-7,0,2,-1,3,-3,-3,-7,-2,-2,71
5167,5166,-11.1192915503,-2.2789682540,-4.0315346936,-4.8087886027,5,-8,0,-6,-3,-1,-5,5,-2,-6,-2,1,-1,3,-4,-2,-7,-3,-3,71
5179,5178,-11.2021720428,-2.2718253968,-4.1391583205,-4.7911883254,5,-8,2,-7,-3,-2,-7,5,-1,-7,-3,2,-1,2,-3,-2,-7,-3,-3,71
5237,5236,-10.7543273210,-1.4869047619,-4.4844969593,-4.7829255998,8,-10,-2,-4,2,-3,-9,6,-3,-6,-6,-1,-3,1,-1,-2,-8,-3,-2,72
5939,5938,-17.0069807657,-8.3373015873,-3.6943293541,-4.9753498244,-16,4,3,-8,2,-1,-4,-10,6,1,-5,-5,0,2,-1,1,0,-3,-7,77
5953,5952,-15.7256773557,-6.7972222222,-3.9441906010,-4.9842645325,-15,7,3,-6,1,0,-5,-11,5,0,-5,-6,0,2,-1,1,1,-4,-7,77
6113,6112,-12.2469430390,-3.2698412698,-3.9357669312,-5.0413348380,-4,2,0,-2,0,2,-4,-11,-1,5,-6,-7,-6,0,-1,-1,2,-3,-1,78
6131,6130,-11.5160400209,-2.4432539683,-4.0522017311,-5.0205843215,-3,4,0,-2,-2,1,-3,-10,-2,4,-5,-6,-5,0,-2,-1,2,-4,-1,78
6199,6198,-9.1958925441,-0.2706349206,-3.8527383544,-5.0725192691,3,7,-2,-3,-6,-1,-2,-10,-5,4,-2,-6,-8,0,-2,0,3,-2,-1,78
7193,7192,-13.6330021805,-4.3091269841,-3.9791323149,-5.3447428814,1,-10,-7,8,-5,-3,1,1,-3,-8,4,5,-4,-6,-7,0,1,-2,-1,84
7207,7206,-12.9295981587,-3.6424603175,-3.9252994930,-5.3618383482,3,-11,-7,8,-5,-3,1,1,-3,-8,4,6,-3,-6,-7,0,1,-3,-1,84
7211,7210,-13.6809443479,-4.5103174603,-3.8001879669,-5.3704389207,2,-11,-8,7,-5,-4,2,1,-2,-8,4,6,-2,-6,-7,0,1,-3,-1,84
7229,7228,-15.1854053374,-5.9642857143,-3.8833598952,-5.3377597279,-1,-13,-5,6,-3,-5,0,3,-2,-8,2,5,-2,-5,-6,0,0,-3,-1,85
7589,7588,-15.2414185103,-5.6003968254,-4.2263632182,-5.4146584667,-8,-1,-2,-1,2,-5,1,-1,-2,-9,-3,6,1,-4,-6,-7,-1,1,-3,87
7603,7602,-15.5138376024,-6.0777777778,-4.0268059276,-5.4092538970,-8,-1,-3,0,1,-7,2,-1,-3,-9,-2,6,2,-5,-6,-6,0,1,-3,87
7607,7606,-15.7765923344,-6.3277777778,-4.0524469532,-5.3963676034,-8,-1,-4,0,1,-7,2,-1,-3,-9,-2,6,2,-5,-6,-6,0,1,-3,87
7717,7716,-16.6628650630,-7.5186507937,-3.7358331434,-5.4083811259,-13,1,0,0,1,-11,3,-2,-1,-5,-4,6,4,-3,-4,-5,0,-1,-3,87
7883,7882,-15.0088931214,-5.1353174603,-4.4600053840,-5.4135702770,-14,9,5,-3,-3,-11,3,1,-2,-4,-8,1,4,-3,-5,-6,-5,0,1,88
7933,7932,-14.9820286692,-5.1043650794,-4.4669549585,-5.4107086313,-14,10,7,-7,-1,-13,1,1,0,-2,-11,-2,6,-1,-5,-6,-7,2,2,89
7937,7936,-15.5004286256,-5.6043650794,-4.4959404658,-5.4001230804,-15,10,7,-7,-1,-13,1,1,0,-2,-11,-2,6,-1,-5,-6,-7,2,2,89
9241,9240,-12.8908134390,-2.3956349206,-5.0446327680,-5.4505457504,0,-3,-1,-2,1,-1,-5,-4,3,-3,-2,-5,-10,-2,4,2,-4,-4,-5,96
9277,9276,-12.8179820711,-2.6373015873,-4.6969833386,-5.4836971451,-1,-3,-1,-1,0,-1,-4,-4,4,-1,-2,-4,-10,-4,5,3,-2,-5,-6,96
9281,9280,-13.1080443432,-2.9150793651,-4.7126083386,-5.4803566395,-2,-2,-1,-1,0,-1,-4,-5,4,-1,-2,-4,-10,-4,5,3,-2,-5,-6,96
9391,9390,-12.7905259231,-2.9793650794,-4.3537475790,-5.4574132647,-2,2,-3,-4,-2,1,-6,-5,4,0,-1,-2,-11,-2,7,4,-2,-5,-6,96
9397,9396,-13.1899618738,-3.3638888889,-4.3906931248,-5.4353798601,-3,3,-3,-5,-2,0,-5,-5,4,-1,-1,-2,-10,-2,6,4,-2,-5,-6,96
11027,11026,-11.0231452380,-0.9285714286,-4.6597041991,-5.4348696103,10,-5,-16,8,-3,-3,4,-3,-11,0,1,-1,-2,-2,-9,-7,-1,5,4,105
11159,11158,-12.8998244952,-2.8535714286,-4.5447201378,-5.5015329288,5,-7,-19,12,1,-3,9,-3,-12,0,3,-1,-1,-5,-6,-8,-5,6,4,105
11273,11272,-9.9029029579,0.0297619048,-4.4609893514,-5.4716755113,15,-5,-20,8,-4,-10,9,-3,-11,-4,4,-1,2,-3,-4,-11,-2,6,4,106
11287,11286,-10.1976164187,-0.1230158730,-4.6132062951,-5.4613942506,16,-6,-22,8,-5,-10,10,-1,-11,-4,4,-1,1,-3,-5,-11,-3,6,4,106
11299,11298,-10.9034661208,-1.0726190476,-4.3409366400,-5.4899104332,14,-7,-22,9,-3,-12,11,0,-12,-3,3,0,2,-2,-4,-11,-3,6,4,106
12919,12918,-17.7451587865,-6.7500000000,-5.2455426442,-5.7496161423,-13,-10,13,5,-2,0,-12,6,0,-5,-9,2,2,-3,2,-3,-3,-11,-5,113
13399,13398,-17.7456689978,-6.3142857143,-5.6074285284,-5.8239547552,-15,-11,16,4,11,-5,-12,3,1,-1,-12,-4,2,0,-3,-2,-5,-5,-10,115
13441,13440,-17.4912645913,-6.2575396825,-5.3538227729,-5.8799021359,-17,-4,16,1,8,-4,-11,-1,1,-1,-13,-6,4,0,-3,-2,-3,-3,-10,115
13469,13468,-17.4677737383,-5.9829365079,-5.6598456509,-5.8249915795,-15,-3,14,-2,6,-2,-11,-2,3,-3,-11,-7,3,-1,-3,-1,-3,-3,-11,116
13513,13512,-17.7967389903,-6.6734126984,-5.2707069089,-5.8526193830,-15,-3,11,-6,7,-1,-9,-2,6,-1,-11,-8,4,1,-1,1,-2,-5,-10,116
13879,13878,-18.5730847760,-7.9234126984,-4.7147009154,-5.9349711622,-15,-1,12,-17,-2,6,-9,1,8,0,-5,-7,1,3,-1,1,-1,-3,-9,117
15277,15276,-14.0412224915,-4.0341269841,-3.9405951930,-6.0665003143,3,-4,-7,-4,-3,4,-4,-11,0,8,2,-5,-10,0,2,0,-1,3,-4,123
17737,17736,-15.1123669929,-4.0194444444,-4.9230922942,-6.1698302542,3,-8,-8,5,-17,0,9,5,-7,-10,5,6,0,-7,-14,-5,3,5,0,133
17863,17862,-12.0038472227,-0.4031746032,-5.4073889956,-6.1932836238,10,-4,-12,2,-14,-5,12,7,-7,-12,3,5,2,-6,-12,-5,1,4,0,133
18671,18670,-17.5780772501,-5.8000000000,-5.5630008752,-6.2150763749,-4,-9,-5,-11,5,7,2,6,-1,-11,-2,6,2,-1,-6,-12,-6,3,5,136
18749,18748,-17.3522626602,-5.4134920635,-5.6995382625,-6.2392323342,-6,-6,-2,-7,4,5,-2,5,-2,-13,-4,7,1,-3,-5,-11,-7,2,4,136
21839,21838,-14.7651038368,-3.5650793651,-4.8317780869,-6.3682463848,-7,9,8,-11,-7,6,-12,-14,5,8,-4,-11,-4,2,6,-1,-2,-5,-10,147
21991,21990,-15.3661211134,-4.3579365079,-4.6500851358,-6.3580994697,-11,8,9,-10,-4,5,-12,-11,9,5,-3,-8,-3,3,5,1,-1,-4,-11,148
22027,22026,-14.4853327061,-3.2011904762,-4.9362590449,-6.3478831849,-7,6,9,-10,-3,6,-15,-12,9,5,-4,-9,-4,3,5,1,-3,-4,-10,148
25189,25188,-13.9406409251,-2.3289682540,-5.2078949868,-6.4037776843,-3,16,-11,-4,-6,-1,7,-22,1,2,0,-1,-6,-11,-3,3,8,-1,-1,158
25357,25356,-13.1851329028,-1.7797619048,-4.9884410685,-6.4169299296,2,17,-18,-2,-10,-4,9,-21,-1,-1,0,2,-7,-9,-7,0,10,1,1,159
25373,25372,-13.0076213503,-1.5559523810,-5.0279567023,-6.4237122671,3,17,-17,-4,-9,-5,7,-21,0,0,-1,1,-7,-8,-6,0,9,0,1,159
25457,25456,-10.7954710490,0.8511904762,-5.2306825183,-6.4159790069,7,25,-21,-4,-13,-6,5,-21,-2,-3,-1,1,-5,-11,-4,-1,10,1,1,159
25913,25912,-12.6183524469,-0.6734126984,-5.5202444241,-6.4246953243,-3,24,-18,-3,-8,-8,17,-20,5,-5,-1,5,-2,-7,-13,0,7,6,1,160
27239,27238,-14.3583907652,-2.3726190476,-5.5900118566,-6.3957598610,1,3,-15,9,-2,-12,17,-9,-10,-7,6,0,5,-6,-14,-8,-2,8,6,165
27943,27942,-13.9591269426,-2.9285714286,-4.6096046841,-6.4209508299,10,-2,-25,8,-6,-10,10,6,-21,-1,3,-1,7,0,-10,-12,-3,4,10,167
27983,27982,-13.3860906629,-1.9746031746,-5.0012959086,-6.4101915797,14,-5,-26,7,-6,-9,12,7,-22,-3,3,-1,6,1,-11,-12,-3,3,8,167
28051,28050,-12.3824927366,-0.7063492063,-5.2566382808,-6.4195052494,16,-5,-27,12,-7,-10,14,5,-24,-4,1,-1,4,-1,-12,-11,-3,3,10,167
28229,28228,-10.6534422303,1.6000000000,-5.8529819154,-6.4004603149,18,-6,-25,17,-1,-14,10,6,-23,-1,-4,0,1,-5,-9,-10,-3,3,11,168
28571,28570,-9.6947159334,1.6555555556,-4.9346890303,-6.4155824587,24,-21,-9,7,4,-14,2,8,-23,4,-5,9,2,-4,-6,-11,-7,-1,9,169
28579,28578,-11.2076828382,0.2626984127,-5.0487096440,-6.4216716069,21,-22,-8,7,6,-15,2,8,-23,3,-6,8,3,-5,-7,-11,-7,-1,9,169
29123,29122,-16.8597084257,-5.3853174603,-5.0278608751,-6.4465300903,1,-26,9,4,18,-18,-7,16,-16,9,-14,8,8,2,-4,-11,-13,0,2,170
29137,29136,-18.1839148045,-6.9630952381,-4.7762124916,-6.4446070749,1,-28,7,2,18,-18,-7,15,-15,9,-13,8,7,3,-3,-11,-12,-1,2,170
33461,33460,-20.0637483919,-6.5785714286,-6.8173113399,-6.6678656234,-20,-1,21,-15,3,11,-12,-6,16,-6,-18,2,-10,11,1,5,1,-11,-12,182
33469,33468,-20.2112872214,-6.6773809524,-6.8726447316,-6.6612615374,-20,-2,21,-16,4,12,-11,-6,16,-6,-19,2,-10,12,1,5,1,-11,-12,182
33547,33546,-21.5743266736,-8.2353174603,-6.6931602617,-6.6458489515,-22,-4,21,-19,8,10,-9,-8,19,-3,-22,3,-9,11,0,4,0,-8,-13,183
36307,36306,-16.3447704097,-3.5773809524,-5.9625637128,-6.8048257445,-17,17,0,2,6,-2,-1,-12,-4,20,-8,-20,4,-13,6,0,0,-5,-6,190
36341,36340,-15.7890500568,-2.7833333333,-6.2072557273,-6.7984609962,-15,15,2,5,3,0,-2,-12,-7,18,-8,-22,4,-14,6,-1,1,-5,-5,190
36389,36388,-15.0764692833,-2.1845238095,-6.0892211145,-6.8027243592,-13,14,2,9,0,-1,-3,-12,-8,19,-5,-22,4,-15,4,-1,3,-4,-4,190
36683,36682,-17.7764588504,-5.5313492063,-5.4255856722,-6.8195239719,-22,20,3,5,-3,-3,-3,-13,-2,18,-4,-22,8,-12,2,-1,2,-1,-5,191
36781,36780,-18.9231828619,-6.5178571429,-5.5697306351,-6.8355950839,-22,18,1,6,-2,-1,-1,-15,-7,18,-3,-22,9,-12,-2,-4,4,-2,-1,191
36833,36832,-19.5539223799,-7.1555555556,-5.5709248731,-6.8274419513,-22,18,0,5,-4,0,0,-17,-6,15,-3,-23,9,-11,-2,-3,6,0,0,191
39097,39096,-12.3078950791,-0.4611111111,-4.8355378638,-7.0112461042,23,-12,-31,-2,-11,7,20,-7,-7,6,16,-5,-20,8,-11,-2,0,6,2,197
39103,39102,-12.1103582977,-0.1944444444,-4.8997823945,-7.0161314588,24,-13,-31,-2,-11,7,20,-7,-6,6,16,-5,-20,8,-11,-2,0,6,1,197
39107,39106,-12.4649041113,-0.4722222222,-4.9739932531,-7.0186886360,23,-12,-31,-2,-11,7,20,-8,-6,6,16,-5,-20,7,-11,-2,0,6,1,197
39119,39118,-12.8993620035,-0.7488095238,-5.1362861013,-7.0142663785,23,-13,-30,-2,-11,8,19,-9,-7,6,15,-6,-21,7,-11,-3,1,6,1,197
39157,39156,-11.3470270757,0.9472222222,-5.2702739734,-7.0239753245,28,-12,-34,0,-13,7,21,-10,-9,3,16,-6,-22,6,-12,-2,2,7,2,197
39821,39820,-9.1210362190,2.0579365079,-4.0934747860,-7.0854979409,42,-17,-36,-10,-14,9,6,-7,-12,-4,21,-4,-23,13,-6,-1,8,0,6,199
39827,39826,-9.1677366458,1.9567460317,-4.0392106534,-7.0852720241,42,-16,-36,-10,-15,8,5,-7,-12,-4,21,-4,-23,13,-5,-1,8,0,6,199
39841,39840,-11.2483410994,-0.0761904762,-4.0952381350,-7.0769124882,38,-18,-35,-10,-13,6,6,-6,-11,-5,20,-4,-22,13,-4,-2,7,0,6,199
40093,40092,-12.4566628744,-0.5662698413,-4.8123465196,-7.0780465136,24,-11,-22,-1,-15,5,3,-8,-9,-8,20,-6,-21,8,-2,-6,11,2,4,200
40483,40482,-7.3053941983,5.3527777778,-5.5354040812,-7.1227678948,21,0,-14,12,-16,7,-5,-5,-12,-6,12,6,-19,-5,0,-6,8,3,2,201
40519,40518,-9.1326513105,3.6587301587,-5.6717233539,-7.1196581154,19,-5,-12,12,-13,5,-4,-2,-14,-6,11,5,-17,-5,-1,-8,7,2,2,201
40577,40576,-6.9204342992,5.9666666667,-5.7429987118,-7.1441022541,25,0,-19,11,-16,7,-2,-6,-14,-7,12,5,-19,-6,-1,-7,8,0,2,201
40897,40896,-6.5198590104,6.9869047619,-6.3625397276,-7.1442240447,22,3,-20,18,-14,3,1,-3,-15,-6,14,6,-17,-11,-6,-12,6,-1,4,202
41143,41142,-3.8165408076,9.1134920635,-5.7239796611,-7.2060532100,32,6,-28,22,-19,-5,-2,-5,-16,-10,15,11,-16,-15,1,-13,4,-3,6,202
41149,41148,-3.9258514377,9.0980158730,-5.8095751308,-7.2142921799,33,5,-29,21,-19,-4,-1,-5,-16,-10,15,10,-17,-14,1,-13,4,-3,6,202
44381,44380,-22.7435070963,-9.4047619048,-6.0246563547,-7.3140888368,-15,-6,-6,4,9,-18,8,15,-8,-12,-7,15,8,-17,-16,6,-9,2,11,210
44383,44382,-23.4363330162,-10.0714285714,-6.0502973804,-7.3146070644,-16,-7,-6,4,10,-18,8,15,-8,-12,-7,14,8,-17,-16,6,-9,2,11,210
44389,44388,-24.2931743281,-10.9619047619,-6.0160318139,-7.3152377523,-17,-8,-6,3,10,-17,8,15,-8,-13,-7,14,8,-16,-17,7,-9,2,11,210
44417,44416,-23.4331506060,-9.8674603175,-6.2386732600,-7.3270170285,-18,-8,-3,5,12,-17,8,16,-8,-12,-8,15,7,-16,-17,7,-10,1,11,210
44711,44710,-26.6541334712,-14.0817460317,-5.2547239629,-7.3176634765,-18,-16,-7,7,16,-22,8,7,-7,-12,-7,15,7,-13,-21,9,-5,-3,11,211
45121,45120,-23.1727808556,-9.9142857143,-5.9297673449,-7.3287277964,-20,-5,-4,1,14,-12,16,3,-4,-19,-5,11,11,-5,-21,13,-3,-2,7,212
45127,45126,-23.9651415148,-10.7515873016,-5.8809039177,-7.3326502955,-22,-4,-3,1,13,-13,16,2,-4,-20,-5,10,12,-5,-21,13,-2,-2,7,212
45289,45288,-20.4653380790,-7.3067460317,-5.8210626879,-7.3375293593,-17,1,1,5,9,-15,11,-2,-9,-14,-7,10,15,-7,-23,10,-1,-8,10,212
45553,45552,-19.1612159305,-6.0404761905,-5.7842338132,-7.3365059268,-20,11,12,1,-5,-13,6,-6,-3,-13,-7,12,15,-5,-22,4,0,-10,4,213
45569,45568,-20.8037093182,-7.4837301587,-5.9928007175,-7.3271784420,-25,9,15,3,-3,-12,5,-4,-3,-14,-8,13,16,-6,-22,4,-1,-11,3,213
45589,45588,-20.1473428058,-7.0642857143,-5.7527854386,-7.3302716529,-22,7,12,4,-3,-12,6,-3,-4,-13,-7,14,17,-5,-23,5,-1,-12,4,213
45631,45630,-19.3309085568,-5.7452380952,-6.2393033378,-7.3463671237,-22,8,11,7,-3,-10,8,-3,-3,-14,-7,13,15,-6,-24,4,-1,-12,3,213
45673,45672,-18.6168238660,-5.3170634921,-5.9578613589,-7.3418990150,-19,7,12,7,-4,-12,7,-4,-6,-13,-8,13,15,-5,-23,2,0,-11,3,213
