p,mertens_p,m_over_sqrt_p,abs_m
2179,2,0.0428451217,2
2203,8,0.1704444006,8
2207,8,0.1702898725,8
2213,7,0.1488015082,7
2221,10,0.2121903947,10
2237,10,0.2114301938,10
2239,8,0.1690685937,8
2243,6,0.1266883307,6
2251,7,0.1475401744,7
2267,7,0.1470185990,7
2269,6,0.1259603917,6
2273,5,0.1048745925,5
2281,3,0.0628143127,3
2287,3,0.0627318611,3
2293,1,0.0208832445,1
2297,-1,-0.0208650535,1
2309,0,0.0000000000,0
2311,-2,-0.0416035148,2
2333,2,0.0414068913,2
2339,-1,-0.0206768744,1
2341,-2,-0.0413360800,2
2347,-3,-0.0619248139,3
2351,-4,-0.0824961492,4
2357,-6,-0.1235866212,6
2371,-2,-0.0410737371,2
2377,-3,-0.0615327980,3
2381,-6,-0.1229621796,6
2383,-8,-0.1638807587,8
2389,-9,-0.1841341895,9
2393,-10,-0.2044224790,10
2399,-12,-0.2450000213,12
2411,-15,-0.3054869439,15
2417,-15,-0.3051075355,15
2423,-15,-0.3047295371,15
2437,-11,-0.2228255158,11
2441,-13,-0.2631233941,13
2447,-12,-0.2425851777,12
2459,-11,-0.2218264969,11
2467,-10,-0.2013332134,10
2473,-8,-0.1608710620,8
2477,-8,-0.1607411177,8
2503,-1,-0.0199880108,1
2521,1,0.0199165255,1
2531,-1,-0.0198771414,1
2539,-1,-0.0198458018,1
2543,-3,-0.0594905624,3
2549,-4,-0.0792273397,4
2551,-5,-0.0989953453,5
2557,-7,-0.1384307832,7
2579,3,0.0590738919,3
2591,5,0.0982282253,5
2593,4,0.0785522688,4
2609,6,0.1174665492,6
2617,7,0.1368346793,7
2621,7,0.1367302253,7
2633,9,0.1753949480,9
2647,9,0.1749305005,9
2657,12,0.2328013363,12
2659,10,0.1939281397,10
2663,10,0.1937824386,10
2671,8,0.1547936151,8
2677,6,0.1159650354,6
2683,4,0.0772235309,4
2687,1,0.0192915075,1
2689,0,0.0000000000,0
2693,-2,-0.0385400096,2
2699,-6,-0.1154914431,6
2707,-6,-0.1153206609,6
2711,-8,-0.1536474045,8
2713,-9,-0.1727896053,9
