35573,-28,1988642443.3928701878,1924584636.4147315025,64057806.9781387225,30.0444977311,384632601
35591,-26,1867920693.7777645588,1803788423.4665081501,64132270.3112563565,28.1260653133,385016023
35593,-27,1937932458.1723637581,1873785194.5023298264,64147263.6700338349,29.2106800399,385063469
35597,-28,2008457301.6797537804,1944298772.5689167976,64158529.1108368710,30.3046032930,385147333
35603,-27,1974271196.6191139221,1910098297.9107146263,64172898.7083993182,29.7648748359,385282265
35617,-24,1863735793.9478611946,1799481461.7674000263,64254332.1804610565,28.0056052363,385582393
35671,-23,1625304352.4393804073,1560869643.6691915989,64434708.7701888531,24.2240505693,386752587
35677,-22,1614969680.3479347229,1550517492.7282626629,64452187.6196720153,24.0568636999,386880845
35729,-15,1113281932.4554359913,1048646813.9866508245,64635118.4687852263,16.2241029154,388007555
35731,-16,1171682358.8496949673,1107025554.2580580711,64656804.5916368142,17.1215630165,388052787
35747,-21,1285146772.4202227592,1220453999.9991257191,64692772.4210969508,18.8653840966,388401917
35753,-22,1342709305.4509687424,1277985229.1403732300,64724076.3105956316,19.7451288916,388531859
35759,-22,1393575669.2385437489,1328844117.7486481667,64731551.4898955896,20.5285380493,388662891
35771,-19,1270276154.9978706837,1205486120.3312389851,64790034.6666316614,18.6060422183,388921965
35797,-16,1124486543.7696878910,1059606747.4107854366,64879796.3589024097,16.3318445321,389484789
35801,-17,1174790241.2643737793,1109898849.4151129723,64891391.8492608070,17.1039458052,389574025
35803,-18,1239059763.3441247940,1174138089.2398624420,64921674.1042623520,18.0854561353,389620193
35809,-18,1219809910.0387804508,1154876444.0535295010,64933465.9852510616,17.7855351864,389753261
35831,-11,930199312.3921930790,865203391.1656115055,64995921.2265815139,13.3116567138,390228643
35837,-11,952319154.8230078220,887300853.3359063864,65018301.4871013761,13.6469399083,390358381
35839,-12,1010782344.3091804981,945756328.5653638840,65026015.7438165620,14.5442761293,390405017
35851,-11,969276535.3439389467,904198900.7510122061,65077634.5929267630,13.8941574384,390666173
35863,-8,889888524.6184591055,824760530.0045291185,65127994.6139300168,12.6636868660,390925071
35869,-11,1047238215.7946680784,982086247.4788199663,65151968.3158481643,15.0737770917,391057353
35879,-9,983243318.9240622520,918084783.2455717325,65158535.6784904823,14.0900155856,391275435
35897,-9,932686882.7036591768,867442356.7209612131,65244525.9826979861,13.2952511135,391665433
35899,-9,977304071.5544240475,912055426.8024851084,65248644.7519389093,13.9781512746,391712849
35911,-12,1106064240.1377227306,1040747585.5475326777,65316654.5901899785,15.9338776929,391973003
35923,-11,1068625606.2313990593,1003289161.0398820639,65336445.1915169582,15.3557353495,392236931
35933,-11,1130590841.2615442276,1065226607.4266413450,65364233.8349029347,16.2967810518,392452445
35951,-4,807303880.0038479567,741874553.2629474401,65429326.7409005612,11.3385631523,392845619
35993,-5,977323455.2089576721,911728076.0315839052,65595379.1773738116,13.8992728980,393765855
35999,-7,1093174135.7179915905,1027583447.7714841366,65590687.9465074092,15.6666057323,393896931
36007,-11,1298359582.6151578426,1232714605.8483364582,65644976.7668213174,18.7785062401,394068189
36011,-11,1332375339.3197484016,1266715726.6250593662,65659612.6946890727,19.2921595885,394156851
36013,-12,1409630517.4225876331,1343963121.8722012043,65667395.5503864065,20.4662163104,394204861
36017,-14,1500828259.4452466965,1435155193.2852325439,65673066.1600141004,21.8530255583,394291697
36037,-8,1239824870.1007781029,1174043457.1589376926,65781412.9418403581,17.8476473012,394729117
36061,-12,1321770730.6278152466,1255922261.6197171211,65848469.0080982372,19.0729151420,395253253
36067,-12,1314097481.6513435841,1248237810.6965229511,65859670.9548205361,18.9529919084,395384553
36073,-14,1407184470.6412522793,1341288116.3720993996,65896354.2691529393,20.3545117366,395517387
36083,-12,1343905518.0549991131,1277986323.8358616829,65919194.2191374823,19.3871654375,395739711
36097,-13,1419642787.0981910229,1353645719.4930968285,65997067.6050941348,20.5106949235,396043325
36107,-10,1297155727.7063360214,1231158332.4505410194,65997395.2557950765,18.6546503491,396263353
36109,-11,1361059912.0259177685,1295030566.4747600555,66029345.5511577278,19.6129547501,396310595
36131,-6,1183852211.2222046852,1117749926.1442363262,66102285.0779682919,16.9093991959,396788901
36137,-5,1152920585.8637793064,1086805390.5922346115,66115195.2715447992,16.4380576376,396921739
36161,-5,1143521859.9739811420,1077316147.5451729298,66205712.4288081601,16.2722536776,397448133
36187,-5,976964645.3929991722,910657726.7848258018,66306918.6081734225,13.7339774778,398019489
36191,-7,1065268422.5959116220,998953171.8357014656,66315250.7602101639,15.0637019446,398108547
36209,-6,955603964.4682629108,889225240.1756018400,66378724.2926610708,13.3962387746,398507213
36217,-7,981575609.9144392014,915149148.9333182573,66426460.9811208993,13.7768764949,398682109
36229,-7,986319993.6442229748,919859434.0214545727,66460559.6227683574,13.8406814394,398947689
36241,-9,1055611549.2849767208,989091444.6386752129,66520104.6463014856,14.8690602623,399209539
36251,-9,1075264682.2478907108,1008725021.5740585327,66539660.6738320813,15.1597560216,399430487
36263,-7,951218530.9135742188,884646468.0232803822,66572062.8902938589,13.2885542315,399696841
36269,-5,886231205.0103150606,819647358.0113208294,66583846.9989942834,12.3100030256,399829175
36277,-9,1086910387.1912393570,1020279078.2375311852,66631308.9537082314,15.3123072961,400005055
36293,-4,932219479.2721675634,865524657.6113437414,66694821.6608237922,12.9773891894,400359289
36307,-3,965309619.3143044710,898568727.2152892351,66740892.0990152210,13.4635408511,400666807
