p,mertens_p,m_over_sqrt_p,cross_term_handoff
401,0,0.000000000000,-1.730450940818508024e+04
409,-1,-0.049446817643,-1.716165914538744960e+04
419,0,0.000000000000,-1.190497817299025603e+04
421,-1,-0.048737017883,-1.618066032020775481e+04
431,-3,-0.144504915258,-1.732854204450557690e+04
433,-4,-0.192227732533,-2.254411173104899749e+04
439,-7,-0.334091771932,-2.854752862184991131e+04
443,-9,-0.427602904331,-3.621357736967289489e+04
449,-7,-0.330350424728,-3.303478618625443616e+04
457,-6,-0.280668161835,-3.132341565053673851e+04
461,-6,-0.279447859700,-3.495277504485540766e+04
463,-6,-0.278843647404,-3.957044214139617494e+04
467,-7,-0.323921369368,-4.479966921552986162e+04
479,-6,-0.274146997431,-3.898367458922747119e+04
487,-5,-0.226571627215,-3.700355840388013962e+04
491,-5,-0.225646841203,-3.889659827281235288e+04
499,-6,-0.268596888622,-4.229689167373209848e+04
503,-5,-0.222938981034,-4.103606201076156728e+04
509,-6,-0.265945324307,-4.461880570498009734e+04
521,-2,-0.087621590868,-3.138454708174637207e+04
523,-3,-0.131180840834,-3.938185964342611482e+04
541,0,0.000000000000,-2.095205779543665229e+04
547,3,0.128270737443,-1.141267721369335798e+04
557,4,0.169485439443,-2.547119783236218532e+03
563,4,0.168579900784,-5.146310613019847415e+03
569,5,0.209610904075,-2.821880041525892628e+03
571,5,0.209243487659,-8.166681130838032177e+03
577,4,0.166522178849,-1.582555112761201119e+04
587,6,0.247646503024,-4.100856927742986671e+03
593,6,0.246390468706,-1.975650897178346527e+03
599,4,0.163435569289,-1.346667266499051246e+04
601,3,0.122372552467,-2.245903020395981194e+04
607,0,0.000000000000,-3.393963277994774643e+04
613,-2,-0.080779239172,-4.552365899853534050e+04
617,-3,-0.120775452334,-5.600166080988085533e+04
619,-5,-0.200966967765,-6.936650266065965877e+04
631,-3,-0.119428114299,-5.971590016707600704e+04
641,-2,-0.078995250553,-5.222213208901623887e+04
643,-4,-0.157744601345,-6.570595422655003748e+04
647,-7,-0.275198396890,-8.913154223677817438e+04
653,-8,-0.313064192078,-9.712805136314678972e+04
659,-10,-0.389544693566,-1.051374485739528577e+05
661,-11,-0.427850412871,-1.168437472612851981e+05
673,-11,-0.424018839470,-1.148344207834343545e+05
677,-11,-0.422764343113,-1.209374354980089497e+05
683,-12,-0.459167239076,-1.264342236288960762e+05
691,-9,-0.342376135609,-1.098792510158438176e+05
701,-5,-0.188847393650,-8.391346612940792284e+04
709,-4,-0.150223153238,-7.888095087377973590e+04
719,-3,-0.111881121094,-6.846762413566379870e+04
727,-2,-0.074175894155,-5.840642032062641489e+04
733,-3,-0.110807528273,-6.996764685818479190e+04
739,-2,-0.073571189278,-6.803149288927816519e+04
743,-5,-0.183432209562,-9.954908821030455743e+04
751,-3,-0.109471554775,-8.660534472638991375e+04
757,-3,-0.109036854628,-8.720908336768207933e+04
761,-4,-0.144999886719,-1.050698488907140099e+05
769,-3,-0.108182766896,-9.184156687075840024e+04
773,-2,-0.071935000127,-8.838166779938148465e+04
787,-2,-0.071292300580,-7.453290467438572327e+04
797,-1,-0.035421817349,-5.274522257351336478e+04
809,1,0.035158127697,-3.272282535989486405e+04
811,0,0.000000000000,-4.955231339614331388e+04
821,2,0.069800481276,-3.580284605773523989e+04
823,0,0.000000000000,-5.945337627222749435e+04
827,-2,-0.069546814242,-8.449770852675040017e+04
829,-3,-0.104194306747,-1.018403019226038773e+05
839,-3,-0.103571501964,-1.004714890540939841e+05
853,0,0.000000000000,-6.962375158522081230e+04
857,-2,-0.068318698569,-9.754123664138287958e+04
859,-2,-0.068239119393,-1.123244145048431555e+05
863,-3,-0.102121187635,-1.354711945050885857e+05
877,0,0.000000000000,-1.027893487953689636e+05
881,1,0.033690856026,-1.015243735344153731e+05
883,0,0.000000000000,-1.213748647344028841e+05
887,-1,-0.033576713894,-1.475987683677085599e+05
907,-1,-0.033204455009,-1.036407865377174468e+05
911,-1,-0.033131478096,-1.110134872894950869e+05
919,0,0.000000000000,-9.265869778972975390e+04
929,3,0.098426807239,-5.153208264883611985e+04
937,4,0.130674304077,-5.027525958340656291e+04
941,3,0.097797204996,-7.050773240890404817e+04
947,1,0.032495633693,-9.224142651999207378e+04
953,2,0.064786354839,-8.776469107455564867e+04
967,4,0.128631328277,-4.869770095227241766e+04
971,1,0.032091527190,-9.551673436553923835e+04
977,2,0.063985668815,-8.982960493149958315e+04
983,2,0.063790093211,-8.337931384622216505e+04
991,1,0.031766046899,-9.914100080437305272e+04
997,1,0.031670317761,-1.020359377734089945e+05
1009,1,0.031481427501,-8.952347599354830567e+04
1013,0,0.000000000000,-1.155183774089746224e+05
1019,-1,-0.031326574484,-1.370137566174596022e+05
1021,-2,-0.062591754392,-1.608937186842460391e+05
1031,-5,-0.155718664966,-1.932313224265610821e+05
1033,-6,-0.186681417386,-2.241016419399881455e+05
1039,-8,-0.248188819423,-2.597456170117387840e+05
1049,-5,-0.154376880274,-2.220978821511299120e+05
1051,-6,-0.185075909543,-2.503566480599195182e+05
1061,-5,-0.153501389961,-2.279510168607626945e+05
1063,-6,-0.184028301640,-2.603454328126055909e+05
1069,-8,-0.244681500083,-3.032965323124796788e+05
1087,-8,-0.242647161315,-2.605544483062728591e+05
1091,-10,-0.302752420988,-3.020874484630699753e+05
1093,-11,-0.332722832210,-3.347126415479377555e+05
1097,-12,-0.362308007184,-3.592000312917393607e+05
1103,-12,-0.361321238196,-3.663846845910986106e+05
1109,-15,-0.450428110154,-4.258374298089504048e+05
1117,-13,-0.388970590102,-4.041827971956986044e+05
1123,-12,-0.358089319611,-3.970451223409730320e+05
1129,-12,-0.357136530375,-4.074776523060144051e+05
1151,-6,-0.176853471281,-2.385721618429094805e+05
1153,-7,-0.206150022419,-2.747246579144081951e+05
1163,-6,-0.175938705812,-2.446019719841408532e+05
1171,-5,-0.146113908047,-2.195726562238390406e+05
1181,-6,-0.174592788594,-2.301090925532076450e+05
1187,-8,-0.232201289664,-2.770547941118677342e+05
1193,-6,-0.173712483210,-2.426679868946864096e+05
1201,-5,-0.144277464206,-2.314226928144921689e+05
1213,-2,-0.057424813742,-1.689867791257907357e+05
1217,-2,-0.057330364971,-1.885761735678415625e+05
1223,-3,-0.085784342355,-2.297198885196783075e+05
1229,-2,-0.057049790539,-2.154041264709678960e+05
1231,-2,-0.057003427434,-2.434066181969059140e+05
1237,-3,-0.085297520105,-2.904562321194312258e+05
1249,-3,-0.084886775246,-2.651362302697451643e+05
1259,-1,-0.028182994439,-1.996799773522264499e+05
1277,1,0.027983662310,-1.092613852335802100e+05
1279,0,0.000000000000,-1.551212179457809041e+05
1283,-1,-0.027918152281,-2.001118273480343520e+05
1289,0,0.000000000000,-2.083912654705050984e+05
1291,0,0.000000000000,-2.394508521886924008e+05
1297,0,0.000000000000,-2.725090330764961087e+05
1301,-1,-0.027724348650,-3.089825784368788214e+05
1303,-1,-0.027703063159,-3.410992731905370687e+05
1307,-1,-0.027660638841,-3.674752333057917085e+05
1319,-1,-0.027534525849,-3.846323928768168593e+05
1321,-2,-0.055027348510,-4.316247228487833169e+05
1327,-1,-0.027451402562,-4.257388964216039576e+05
1361,6,0.162638060947,-1.078146511140653911e+05
1367,7,0.189327535964,-9.544425274421981170e+04
1373,6,0.161925774045,-1.302581041024828206e+05
1381,4,0.107637388420,-1.699805299048459374e+05
1399,8,0.213885394816,4.911080034496928709e+04
1409,9,0.239765676951,9.463849018979591351e+04
1423,11,0.291601823264,1.776407703873181725e+05
1427,9,0.238248690831,9.902682197389743386e+04
1429,8,0.211628363011,5.654172204808125607e+04
1433,8,0.211332792528,3.187570138377698663e+04
1439,7,0.184530280985,3.694169090860794782e+03
1447,4,0.105153982594,-7.024888626384851314e+04
1451,3,0.078756706911,-1.315060218746584217e+05
1453,2,0.052468323613,-1.858884753302241366e+05
1459,2,0.052360326949,-1.936989577904416687e+05
1471,3,0.078219478902,-1.468505164540552837e+05
1481,3,0.077954955050,-1.507987288819628823e+05
1483,3,0.077902371601,-1.901816784404411489e+05
1487,3,0.077797523139,-2.339222299095330488e+05
1489,2,0.051830171609,-2.925133209220336315e+05
1493,-1,-0.025880347068,-3.897828196012844617e+05
1499,-3,-0.077485499730,-4.875903650370103663e+05
1511,-3,-0.077177200763,-4.582859373148153935e+05
1523,0,0.000000000000,-3.543352412083742094e+05
1531,0,0.000000000000,-3.384738651976822125e+05
1543,0,0.000000000000,-2.654917810512698880e+05
1549,-2,-0.050816445847,-3.701070738568400029e+05
1553,-4,-0.101501921418,-4.731352044453663397e+05
1559,-4,-0.101306411917,-4.688034761419876614e+05
1567,-3,-0.075785611026,-4.304084625345830046e+05
1571,-4,-0.100918758409,-4.801634492287876883e+05
1579,-4,-0.100662781438,-4.760827351274378154e+05
1583,-7,-0.175937162159,-6.202052153034598719e+05
1597,-5,-0.125117352553,-5.159460598902286435e+05
1601,-8,-0.199937529282,-6.542098551805591230e+05
1607,-10,-0.249454912916,-7.202407301029279775e+05
1609,-11,-0.274229810219,-7.931624056114053934e+05
1613,-11,-0.273889574592,-8.418793475402310206e+05
1619,-13,-0.323087330455,-9.457049981084216872e+05
1621,-14,-0.347725490375,-1.026455741116567707e+06
1627,-14,-0.347083732540,-1.040813908200024826e+06
1637,-16,-0.395453699678,-1.076492086782775550e+06
1657,-10,-0.245662431346,-8.203454680628386731e+05
1663,-11,-0.269740749904,-8.722939949459162190e+05
1667,-12,-0.293909379665,-9.647953384032336988e+05
1669,-13,-0.318210996771,-1.048068989181774833e+06
1693,-9,-0.218732859425,-7.700564734748930645e+05
1697,-11,-0.267024901785,-8.819313266466982535e+05
1699,-13,-0.315389087689,-9.806556643066540294e+05
1709,-13,-0.314465003993,-1.019766018609474560e+06
1721,-9,-0.216946213381,-8.170452369955738625e+05
1723,-9,-0.216820264915,-8.774028207113890882e+05
1733,-9,-0.216193796501,-8.572923016269678058e+05
1741,-9,-0.215696512815,-8.278827456599119100e+05
1747,-11,-0.263175970216,-9.287160322215106446e+05
1753,-12,-0.286609306315,-1.015353656743184420e+06
1759,-12,-0.286120072434,-9.993228285843268736e+05
1777,-7,-0.166055905862,-7.715877747173783262e+05
1783,-7,-0.165776271806,-7.740784266003090537e+05
1787,-8,-0.189246436601,-8.534374652524029921e+05
1789,-9,-0.212783201613,-9.495195455708294487e+05
1801,-7,-0.164945770369,-7.931030113010053916e+05
1811,-7,-0.164489740272,-7.985760773110606887e+05
1823,-3,-0.070263199255,-5.874743229250237164e+05
1831,-3,-0.070109534338,-5.978520169485209050e+05
1847,-2,-0.046536803350,-4.365017106681420196e+05
1861,0,0.000000000000,-3.214786348136334765e+05
1867,-1,-0.023143436208,-3.621840272130891594e+05
1871,-2,-0.046237367726,-4.522936180056130620e+05
1873,-3,-0.069319012307,-5.451068271109341942e+05
1877,-3,-0.069245111420,-6.078116343343057151e+05
1879,-5,-0.115347082500,-7.234435613003231919e+05
1889,-7,-0.161057910730,-8.997507154534002206e+05
