Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
10357,-34,33.68129505,0.11989382
10369,-32,31.57613720,0.11989382
10391,-32,30.90728104,0.11989382
10399,-31,30.09029023,0.11989382
10427,-24,24.44297910,0.11989382
10429,-25,25.26883679,0.11989382
10433,-25,26.13564065,0.11989382
10453,-24,24.24778253,0.11989382
10457,-23,24.14251005,0.11989382
10459,-24,25.03824562,0.11989382
10463,-25,26.33880142,0.11989382
10477,-20,23.09794192,0.11989382
10487,-21,23.18900834,0.11989382
10499,-21,22.49085225,0.11989382
10501,-22,23.48291247,0.11989382
10513,-26,26.56484112,0.11989382
10529,-27,26.59648428,0.11989382
10531,-28,27.58544792,0.11989382
10559,-21,21.22613464,0.11989382
10567,-20,20.84406603,0.11989382
10589,-16,17.78037798,0.11989382
10597,-17,19.86649209,0.11989382
10601,-18,20.65751390,0.11989382
10607,-16,19.87739749,0.11989382
10613,-18,21.43482610,0.11989382
10627,-20,23.22925599,0.11989382
10631,-22,24.15008605,0.11989382
10639,-24,25.08652684,0.11989382
10651,-21,22.75328314,0.11989382
10657,-23,23.78799725,0.11989382
10663,-23,23.54301985,0.11989382
10667,-23,24.20652599,0.11989382
10687,-16,19.02073165,0.11989382
10691,-19,20.97713031,0.11989382
10709,-18,20.16745586,0.11989382
10711,-19,21.21013249,0.11989382
10723,-19,20.07649063,0.11989382
10729,-20,20.77868014,0.11989382
10733,-20,21.25036900,0.11989382
10739,-22,22.76535142,0.11989382
10753,-20,20.60098780,0.11989382
10771,-20,20.60711306,0.11989382
10781,-19,19.66738873,0.11989382
10789,-20,20.45899736,0.11989382
10799,-19,20.79342898,0.11989382
10831,-11,13.54003243,0.11989382
10837,-13,15.29005727,0.11989382
10847,-8,12.59753653,0.11989382
10853,-7,11.69560539,0.11989382
10859,-9,13.54289470,0.11989382
10861,-10,14.40004492,0.11989382
