p,M,n,A,B,C,D,B_A,C_A,D_A,BCD_A
2441,-13,1810021,2369960.966754,4735332.807300,299944.241441,2347778.281032,1.998064,0.126561,0.990640,3.115265
2447,-12,1818891,2380847.515345,4767821.206805,300129.491344,2383192.554557,2.002573,0.126060,1.000985,3.129618
2459,-11,1836765,2393726.901807,4369036.661281,303468.083403,2386293.852379,1.825203,0.126776,0.996895,2.948874
2467,-10,1848633,2401831.623229,4294611.411253,307035.540991,2381296.053101,1.788057,0.127834,0.991450,2.907341
2473,-8,1857767,2414813.715473,3994138.408347,308596.480549,2393612.786090,1.654015,0.127793,0.991220,2.773029
2477,-8,1863911,2432707.804291,4087868.772013,308868.170618,2414610.935002,1.680378,0.126965,0.992561,2.799904
2543,-3,1964371,2512598.818524,2166499.456459,325215.570314,2500007.594574,0.862254,0.129434,0.994989,1.986677
2549,-4,1973665,2533920.175916,2347444.565162,327245.555715,2515078.406434,0.926408,0.129146,0.992564,2.048118
2551,-5,1976853,2543212.359087,2649341.990817,328035.335439,2536458.280282,1.041731,0.128985,0.997344,2.168059
2557,-7,1985951,2552261.326618,3319367.467828,329908.280916,2538344.188503,1.300559,0.129261,0.994547,2.424368
2699,-6,2212899,2858994.284228,3305829.062297,365755.680855,2851734.581326,1.156291,0.127932,0.997461,2.281683
2707,-6,2225933,2871708.041280,3335263.874799,369643.893051,2849680.191725,1.161422,0.128719,0.992329,2.282470
2711,-8,2232583,2893661.160912,3830168.652213,369862.812821,2877825.239764,1.323641,0.127818,0.994527,2.445987
2713,-9,2236189,2912779.379408,4242651.653644,371110.755007,2886424.740140,1.456565,0.127408,0.990952,2.574925
2719,-13,2245829,2933509.695015,5425856.541202,371919.562262,2906741.929018,1.849613,0.126783,0.990875,2.967271
2729,-12,2262423,2951606.430549,5268459.203770,374213.035523,2942897.499450,1.784946,0.126783,0.997049,2.908779
2731,-14,2265727,2975622.018353,5781222.416312,377569.292566,2906699.136946,1.942862,0.126888,0.976837,3.046587
2741,-14,2282227,2995029.759448,5927047.160065,379021.492817,2959378.366290,1.978961,0.126550,0.988096,3.093608
2749,-13,2295939,3003767.790900,5679662.631441,380198.985892,2985260.521644,1.890846,0.126574,0.993839,3.011259
2753,-15,2302591,3028126.055799,6303238.666458,381928.631536,2995447.344715,2.081564,0.126127,0.989208,3.196899
2767,-16,2325715,3058832.303718,6305125.913627,385487.093072,3026297.445971,2.061285,0.126024,0.989364,3.176673
2777,-18,2342741,3081749.373829,6531572.659208,388914.061556,3042979.153043,2.119437,0.126199,0.987419,3.233055
2789,-19,2362893,3105364.981847,6659093.826863,391633.650915,3072734.820366,2.144384,0.126115,0.989492,3.259991
2791,-20,2366401,3127671.803449,7052878.029003,393823.507530,3061255.908635,2.254993,0.125916,0.978765,3.359674
2797,-23,2376299,3169815.430707,7981493.366143,394882.111976,3097954.763675,2.517968,0.124576,0.977330,3.619873
2801,-23,2383313,3186865.192104,8116359.556046,396378.719811,3113413.775080,2.546816,0.124379,0.976952,3.648147
2803,-25,2387045,3223775.053665,8650290.140243,395968.258736,3144503.952551,2.683280,0.122828,0.975410,3.781518
2819,-21,2414443,3210464.149209,7586137.744938,399920.711862,3167181.760553,2.362941,0.124568,0.986518,3.474027
2833,-23,2438173,3249505.088196,7967518.922746,404889.907765,3174060.451818,2.451918,0.124600,0.976783,3.553301
2837,-25,2445013,3291739.038421,8452945.439499,404832.413991,3236904.237575,2.567927,0.122984,0.983342,3.674253
2843,-23,2455533,3290130.333295,8204436.784721,407155.234467,3224083.272247,2.493651,0.123750,0.979926,3.597327
2851,-24,2469021,3316542.000214,8694314.893063,410073.334561,3228733.634163,2.621500,0.123645,0.973524,3.718669
2857,-23,2479561,3321255.831863,8594669.859963,412937.330008,3226217.569479,2.587777,0.124332,0.971385,3.683494
2861,-22,2486709,3333041.743155,8448024.713020,412960.022930,3270746.629151,2.534629,0.123899,0.981310,3.639838
2879,-20,2517971,3333585.272798,7765017.677443,415795.993807,3327121.091004,2.329329,0.124729,0.998061,3.452120
2887,-19,2531941,3339926.016016,7670647.626276,419470.582539,3300198.322480,2.296652,0.125593,0.988105,3.410350
2897,-19,2549629,3361205.177373,7747038.510398,422189.235245,3321262.651019,2.304840,0.125607,0.988117,3.418563
2903,-17,2560483,3364912.979439,7277699.491165,423846.682754,3346785.936273,2.162820,0.125961,0.994613,3.283393
2909,-18,2570865,3393298.156103,7795070.147746,426208.876678,3364977.165349,2.297196,0.125603,0.991654,3.414453
2917,-18,2584865,3410994.541374,8009396.560498,430301.197667,3346804.450463,2.348112,0.126151,0.981181,3.455444
2927,-17,2602463,3426687.812582,7833252.314094,432075.350200,3372989.064913,2.285954,0.126091,0.984329,3.396375
2939,-17,2624125,3441822.059094,7416130.356512,434049.480580,3421519.663491,2.154711,0.126110,0.994101,3.274922
2953,-15,2649085,3452829.245065,6813756.658582,440306.641024,3417015.114121,1.973384,0.127521,0.989628,3.090532
2957,-18,2656341,3491788.256565,7567786.845342,440634.601714,3463007.577274,2.167310,0.126192,0.991758,3.285259
2963,-16,2667161,3497255.206273,7391598.521282,441846.087683,3469654.572730,2.113543,0.126341,0.992108,3.231992
2969,-16,2677933,3516197.610238,7545768.603092,443344.528211,3488693.459077,2.146002,0.126086,0.992178,3.264267
2971,-17,2681621,3539894.437906,8031001.188081,446834.360081,3460277.968024,2.268712,0.126228,0.977509,3.372449
2999,-6,2732391,3533098.688937,4658306.416235,451924.602759,3527068.048349,1.318476,0.127912,0.998293,2.444681
