scenario,seed,kernel,kernel_param,match_mode,mode,alpha,curve,assigned_rank,K,c,P,D,D_zeta2,L2,L2_rank_power,X,p_max,prime_count,product_complete
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,1000,19.687919840504815,0.0079284980650939606,0.15609563436116741,0.25676702664696888,0.50506212474022516,0.50506212474022516,0.5083870163082117,997,168,True
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,3000,25.698532421088352,0.0037423785073597889,0.096173635403369775,0.15819928920764362,0.50482520186080893,0.50482520186080893,0.31337438904498777,2999,430,True
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,10000,33.286195232408303,0.0036692162687987861,0.12213424907316514,0.20090278702937575,0.50483827266078285,0.50483827266078285,0.39795474691430305,9973,1229,True
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,30000,41.497020350475808,0.0022619305803448222,0.093863379323932641,0.15439907027943425,0.50482436521816709,0.50482436521816709,0.30584710429479467,29989,3245,True
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,100000,51.469243338781638,0.0017557669499512602,0.090367996393231856,0.14864939582004474,0.5048210430335609,0.5048210430335609,0.29445958695933844,99991,9592,True
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,300000,61.064508908381107,0.0025638166754245657,0.15655820621591943,0.2575279268492156,0.50482291598962559,0.50482291598962559,0.51013517550876786,299993,25997,True
st_iid,0,smoothstep,none,none,all,0.75,37a1,1,1000000,72.805110786379458,0.0024026969293735332,0.17492861612913382,0.28774603993742837,0.50482292484561153,0.50482292484561153,0.56999400339322714,999983,78498,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,1000,2.2360985425872624,0.32087700217879045,0.71751259692176317,1.1802609140693481,1.2861649110366182,1,1.1802609140693481,997,168,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,3000,0.55377371079887894,0.34859502204126835,0.19304275892181016,0.31754261050885496,1.286232578748528,1,0.31754261050885496,2999,430,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,10000,2.2113500111384545,0.30247937588224938,0.66888777122636489,1.1002762817884304,1.2862099825877744,1,1.1002762817884304,9973,1229,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,30000,2.1577749141680362,0.28658443483954887,0.61838470428780279,1.0172020665008734,1.2862151665016124,1,1.0172020665008734,29989,3245,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,100000,1.6263471507049811,0.24377110563679152,0.39645644307659889,0.65214470923817214,1.2862128244491313,1,0.65214470923817214,99991,9592,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,300000,3.048436305109762,0.24062500903967537,0.73353001347391111,1.2066085082188749,1.2862152474164734,1,1.2066085082188749,299993,25997,True
st_iid,0,smoothstep,none,none,all,0.75,11a1,0,1000000,1.7746108593047996,0.35058343981480911,0.62214917938779091,1.0233943798366456,1.2862167592720344,1,1.0233943798366456,999983,78498,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,1000,1.8012020759383738,0.33281049741839674,0.59945895884409905,0.98607046308002744,0.94720536655434961,0.89719800642935976,1.0990555663452257,997,168,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,3000,1.6844898328558646,0.38432696126870358,0.64739485874952085,1.0649218578594823,0.94733710622811829,0.89744759283666509,1.1866117490977519,2999,430,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,10000,1.8882146728362632,0.29459798088969169,0.55626423010385295,0.91501798226692843,0.94729388546379945,0.89736570543710203,1.0196712184596224,9973,1229,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,30000,2.1269686392056175,0.29439945062587825,0.62617839888060567,1.0300221802431855,0.94730354185127441,0.89738400040396926,1.1478053762709246,29989,3245,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,100000,1.9003684091722801,0.33962121240468035,0.64540542313864346,1.0616493674493492,0.94730857337450713,0.89739353318884396,1.1830365700060599,99991,9592,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,300000,2.6561776309131959,0.17868757355506062,0.47462593579910839,0.78072837080567259,0.94730553919435989,0.89738778458831692,0.87000111235505317,299993,25997,True
st_iid,0,smoothstep,none,none,all,0.75,389a1,2,1000000,2.2269593238361365,0.26345889707565245,0.58671224729020921,0.96510296300474618,0.94730656638972544,0.89738973072509132,1.0754557690613893,999983,78498,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,1000,1.3283938390865497,0.36419645925299848,0.48379633268881883,0.79581306905607629,1.1032041573996487,1.1032041573996487,0.72136518315148412,997,168,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,3000,1.8672831329659734,0.32430043236424699,0.60556072736733091,0.99610746999191369,1.1031264173451181,1.1031264173451181,0.902985781438572,2999,430,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,10000,2.1144109369545454,0.30981721334053353,0.65508090434400379,1.0775648960971962,1.1031638948813758,1.1031638948813758,0.97679492693428638,9973,1229,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,30000,2.1100292156753993,0.29217486866917591,0.61649750897808409,1.0140977546451209,1.1031668018958252,1.1031668018958252,0.91926058045108272,29989,3245,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,100000,1.9826806558491654,0.32492965263669754,0.64423173679456902,1.0597187307981866,1.1031722766244911,1.1031722766244911,0.96061037179137188,99991,9592,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,300000,1.7678579856757071,0.3706481701405871,0.65525332745912501,1.0778485207531712,1.1031735799000724,1.1031735799000724,0.97704345027081307,299993,25997,True
st_iid,1,smoothstep,none,none,all,0.75,37a1,1,1000000,2.1683672085532661,0.34903886542151041,0.75684443029063964,1.2449591866894107,1.1031736674984665,1.1031736674984665,1.128525112018359,999983,78498,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,1000,0.74855798041151023,0.94797159891934657,0.70961170557453623,1.1672644687338281,0.81555269306425959,1,1.1672644687338281,997,168,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,3000,1.1717098097059648,0.59232293895495081,0.69403059808738321,1.1416345742289862,0.81527772375414398,1,1.1416345742289862,2999,430,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,10000,0.36100285444532176,0.69612978989091567,0.25130484121504265,0.41337989447850787,0.81529613480782515,1,0.41337989447850787,9973,1229,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,30000,0.93713519031108117,0.51182502788235018,0.47964924491050065,0.78899138309131078,0.81528265786454945,1,0.78899138309131078,29989,3245,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,100000,1.9254780597164791,0.59347145047883798,1.1427162569651175,1.8796928998232136,0.81528722127661757,1,1.8796928998232136,99991,9592,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,300000,1.2103229367942556,0.61797522806316163,0.74794959289550567,1.2303277656390794,0.81528747461070084,1,1.2303277656390794,299993,25997,True
st_iid,1,smoothstep,none,none,all,0.75,11a1,0,1000000,1.0673312186632085,0.65935785281112469,0.70375322057605416,1.1576276471797058,0.81528768959847808,1,1.1576276471797058,999983,78498,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,1000,-0.38952886003190301,31.75332842149669,-12.368837822244233,-20.345922701130366,2.6618678928894117,7.0855406791955167,-2.8714707348826365,997,168,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,3000,0.21250590417562132,21.831807948871756,4.6393880879635088,7.631487515221032,2.6611477629684619,7.0817074163520495,1.0776338341230407,2999,430,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,10000,-0.27535834287153255,24.658934587758523,-6.7900433650627043,-11.16917364656841,2.6613135919188817,7.0825900345321804,-1.5769899983073292,9973,1229,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,30000,0.35816000127674485,31.014788406006712,11.108256655093335,18.272349795256556,2.6613847104898873,7.0829685772293418,2.5797586980689649,29989,3245,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,100000,0.049783366650482844,28.69047770410554,1.4283085709209893,2.3494734262792414,2.6613854125884364,7.0829723143385221,0.33170727231603736,99991,9592,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,300000,-0.072764143224664707,23.878526413530356,-1.7375005159480621,-2.8580737898493376,2.6613817276184117,7.0829527001011616,-0.40351445376848522,299993,25997,True
st_iid,1,smoothstep,none,none,all,0.75,389a1,2,1000000,0.46480233651468855,17.449608176527079,8.1106186517155994,13.341432923421619,2.6613799090109462,7.0829430200871126,1.883600204828068,999983,78498,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,1000,1.0516494090322266,1.2777756045044364,1.3437719593528865,2.2104162740149533,1.2502521140020375,1.2502521140020375,1.7679764339205517,997,168,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,3000,1.7491072688338938,1.0176440299108567,1.7799685698024958,2.9279309383872407,1.2502634361716984,1.2502634361716984,2.3418512080562426,2999,430,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,10000,2.0657784380394375,0.78261975012812779,1.6167190049984987,2.6593961678429987,1.2502214748984763,1.2502214748984763,2.1271400477734983,9973,1229,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,30000,1.3478299428704312,0.84149652337081748,1.1341942110205554,1.8656746961297577,1.2502270151482577,1.2502270151482577,1.4922687428158936,29989,3245,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,100000,0.81437048253152844,0.76725377886646773,0.62482883011962398,1.0278022286126927,1.2502257660140439,1.2502257660140439,0.82209330230772681,99991,9592,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,300000,-0.11350580776428494,0.98396328170816083,-0.11168554710068146,-0.18371536120049309,1.2502282093244212,1.2502282093244212,-0.14694546150079779,299993,25997,True
st_iid,2,smoothstep,none,none,all,0.75,37a1,1,1000000,-0.52197105217338269,1.1090063152350949,-0.57886919323018859,-0.95220165619328589,1.2502289328372738,1.2502289328372738,-0.76162183675621409,999983,78498,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,1000,8.8899070727330276,0.047736058580830874,0.42436912480212652,0.69805923030558448,0.54743640207194666,1,0.69805923030558448,997,168,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,3000,9.7205714553085745,0.069107159932344717,0.67176108619579444,1.10500269546643,0.54759738593500751,1,1.10500269546643,2999,430,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,10000,10.326175742144541,0.080456534114866279,0.8308083108739569,1.3666248935772034,0.54762038511321209,1,1.3666248935772034,9973,1229,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,30000,10.371143442930823,0.091642881523359962,0.95044146980228095,1.5634135522230717,0.54762810273703699,1,1.5634135522230717,29989,3245,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,100000,9.619750370704498,0.1119811650420721,1.0772308539253947,1.7719737294818874,0.5476313817831121,1,1.7719737294818874,99991,9592,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,300000,9.4718078569270148,0.062805980251451468,0.59488617720770098,0.9785485387860583,0.54762975353567744,1,0.9785485387860583,299993,25997,True
st_iid,2,smoothstep,none,none,all,0.75,11a1,0,1000000,9.4344184204077948,0.059311986562163375,0.55957409857305374,0.92046249766870358,0.54762959546616174,1,0.92046249766870358,999983,78498,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,1000,6.8649998817706548,0.0583639233644613,0.40066832699669835,0.65907298058395403,0.89938576263901904,0.80889475003776989,0.81478212159638785,997,168,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,3000,7.3429701717162414,0.068558440933195422,0.50342258679182383,0.82809696303472902,0.89957528927101005,0.80923570106702136,1.0233075010690187,2999,430,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,10000,8.8315982070241148,0.041504297884741637,0.36654928278267901,0.60294940242801276,0.89946606940025176,0.80903921000233847,0.74526598337090477,9973,1229,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,30000,10.032171837083117,0.039537843770349912,0.39665044277189654,0.65246382594592545,0.89945928012788101,0.8090269966081659,0.80647967086558381,29989,3245,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,100000,11.202602404440904,0.040455722760279936,0.45320937706770664,0.74549954375373395,0.8994621397439021,0.80903214083267883,0.92147086144988588,99991,9592,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,300000,11.900245871839997,0.039539345847340771,0.47052793719507097,0.77398743329599495,0.89946299509744376,0.8090336795496641,0.95668135067853155,299993,25997,True
st_iid,2,smoothstep,none,none,all,0.75,389a1,2,1000000,13.005964522790284,0.026870907682544309,0.34948207201434417,0.57487496600909993,0.89946234753120269,0.80903251462634207,0.71057090489695629,999983,78498,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,1000,6.7673661916980743,0.045345662639238178,0.30687070428492691,0.50478207559598431,0.71546992360582573,0.71546992360582573,0.70552522047605204,997,168,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,3000,7.7933029633027679,0.036928984864544066,0.28779876717661435,0.47340999652573407,0.7154861760247021,0.7154861760247021,0.66166197529634674,2999,430,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,10000,9.5640325269074378,0.039017329759662316,0.37316301093448395,0.61382854917378982,0.7155343621300212,0.7155343621300212,0.85786033719824317,9973,1229,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,30000,10.951279012989993,0.035998401148579252,0.39422853499963079,0.64847994734456105,0.71553099068630133,0.71553099068630133,0.90629190878590971,29989,3245,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,100000,11.890146236087563,0.031701841202706145,0.37693952785340212,0.62004067050774703,0.71553016560322313,0.71553016560322313,0.86654721256234624,99991,9592,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,300000,13.049552948050211,0.024732029860167641,0.32274193317301647,0.5308892006767485,0.71552841162278791,0.71552841162278791,0.74195404690180566,299993,25997,True
st_iid,3,smoothstep,none,none,all,0.75,37a1,1,1000000,15.054751468166643,0.017375301380809959,0.26158084397258663,0.4302832414854183,0.71552793842097806,0.71552793842097806,0.60135072074888407,999983,78498,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,1000,0.21386611844257108,2.8948832466800529,0.61911744331189089,1.0184073738837049,1.1945674219915829,1,1.0184073738837049,997,168,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,3000,0.072058516940957468,2.7240970521918713,0.19629439358418024,0.322891335137932,1.1946479784742885,1,0.322891335137932,2999,430,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,10000,0.75289144018102683,2.5294452985775187,1.9043977137051555,3.1326086761014857,1.1946200657356176,1,3.1326086761014857,9973,1229,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,30000,0.61904751294218374,1.444679678844502,0.8943253621868017,1.4711062551074487,1.1945772030873882,1,1.4711062551074487,29989,3245,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,100000,0.87093735934599825,0.99903493984190039,0.870096852400293,1.431251953970655,1.1945655571890239,1,1.431251953970655,99991,9592,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,300000,0.44369760235685257,0.92742940674369356,0.41149820412741506,0.67688741441605049,1.1945663708413963,1,0.67688741441605049,299993,25997,True
st_iid,3,smoothstep,none,none,all,0.75,11a1,0,1000000,0.39269069985864291,0.92903013715250726,0.36482149474818909,0.6001073050297876,1.1945663230895889,1,0.6001073050297876,999983,78498,True
st_iid,3,smoothstep,none,none,all,0.75,389a1,2,1000,0.35045704468123634,0.94919066570269228,0.33265055554118089,0.5471882311656765,1.9077829602945791,3.6396358235903472,0.15034147856746238,997,168,True
st_iid,3,smoothstep,none,none,all,0.75,389a1,2,3000,0.81372198050487077,0.72702738231944952,0.5915981614222543,0.97313996960824234,1.9077076375271551,3.6393484302794392,0.26739400973858446,2999,430,True
st_iid,3,smoothstep,none,none,all,0.75,389a1,2,10000,0.27437613933168792,0.86444333287135189,0.23718262434425871,0.39014977884833663,1.9077758365961059,3.6396086426999719,0.1071955303850778,9973,1229,True
