scenario,seed,kernel,kernel_param,match_mode,mode,alpha,cross_curve_ratio,cross_curve_cv,max_within_cv,score,passes_old_gate,passes_primary_gate,mean_37a1,mean_11a1,mean_389a1,cv_37a1,cv_11a1,cv_389a1,tail_ratio,tail_max_cv,tail_slope_37a1,tail_slope_11a1,tail_slope_389a1,loo_k_pass_count,loo_k_ratio_min,loo_k_ratio_max,loo_k_ratio_range,loo_k_maxcv_min,loo_k_maxcv_max,loo_k_maxcv_range
curve_perm,11a1_37a1_389a1,smoothstep,none,none,all,0.75,3.5652353798472096,0.44216923583999135,0.063297427334436704,1.3345275042237115,False,False,2.1645834262524959,0.60713619035870237,1.5925338671225024,0.015593440378409651,0.040322057186994748,0.063297427334436704,3.4222909316503154,0.05158036084512034,7.6306376948992186e-05,0.024791744990930651,-0.018927037010940138,0,3.513510622275688,3.6046473916206994,0.091136769345011359,0.051639475223074015,0.068090710814448313,0.016451235591374298
curve_perm,11a1_389a1_37a1,smoothstep,none,none,all,0.75,20.190975857974269,0.74211753498274569,0.063350747123075798,3.0685865120080793,False,False,2.1645834262524959,0.20651722075678605,4.1697842185562095,0.015593440378409651,0.063350747123075798,0.040307561710165744,20.632205115928301,0.05158065922896516,7.6306376948992186e-05,-0.018928219082521489,0.024791740495328781,0,19.850667480842862,20.6922350064455,0.84156752560263826,0.051687500072358707,0.068144811139508266,0.016457311067149559
curve_perm,37a1_389a1_11a1,smoothstep,none,none,all,0.75,19.195187247721073,0.80789449681534542,0.063350747123075798,3.0180103305541004,False,False,1.5911087023622141,0.20651722075678605,3.9641367223054571,0.040314798205058552,0.063350747123075798,0.015597348177116466,18.827498413988454,0.05158065922896516,0.024791742743129768,-0.018928219082521489,7.6195474639610043e-05,0,18.870951253946288,19.471490793569778,0.60053953962349027,0.051687500072358707,0.068144811139508266,0.016457311067149559
curve_perm,389a1_11a1_37a1,smoothstep,none,none,all,0.75,7.2709491632090542,0.79574195770431078,0.063324047692216931,2.0472108896164061,False,False,0.57348554156523124,1.181952525781276,4.1697842185562095,0.063324047692216931,0.015589562672353854,0.040307561710165744,7.4295155485085091,0.051580510034567567,-0.018927628046730753,7.641727925834057e-05,0.024791740495328781,0,7.1484418583525127,7.4514149558565101,0.30297309750399748,0.051663433900858112,0.068117720581686969,0.016454286680828857
curve_perm,389a1_37a1_11a1,smoothstep,none,none,all,0.75,6.9123568686422683,0.92744651053221827,0.063324047692216931,1.9966347081624274,False,False,0.57348554156523124,0.60713619035870237,3.9641367223054571,0.063324047692216931,0.040322057186994748,0.015597348177116466,6.7796530433995237,0.051580510034567567,-0.018927628046730753,0.024791744990930651,7.6195474639610043e-05,0,6.7956353599104116,7.0119117175743924,0.21627635766398079,0.051663433900858112,0.068117720581686969,0.016454286680828857
curve_perm,identity,smoothstep,none,none,all,0.75,1.3473754929960748,0.13277561777915303,0.063297427334436704,0.3614560483477629,True,True,1.5911087023622141,1.181952525781276,1.5925338671225024,0.040314798205058552,0.015589562672353854,0.063297427334436704,1.4023997514636641,0.05158036084512034,0.024791742743129768,7.641727925834057e-05,-0.018927037010940138,7,1.331450602331709,1.3705117170902625,0.039061114758553561,0.051639475223074015,0.068090710814448313,0.016451235591374298
rank_perm,0_1_2,smoothstep,none,none,all,0.75,3.5652353798472096,0.44216923583999135,0.063297427334436704,1.3345275042237115,False,False,0.60713619035870237,2.1645834262524959,1.5925338671225024,0.040322057186994748,0.015593440378409651,0.063297427334436704,3.4222909316503154,0.05158036084512034,0.024791744990930651,7.6306376948992186e-05,-0.018927037010940138,0,3.513510622275688,3.6046473916206994,0.091136769345011359,0.051639475223074015,0.068090710814448313,0.016451235591374298
rank_perm,0_2_1,smoothstep,none,none,all,0.75,6.9123568686422683,0.92744651053221827,0.063324047692216931,1.9966347081624274,False,False,0.60713619035870237,3.9641367223054571,0.57348554156523124,0.040322057186994748,0.015597348177116466,0.063324047692216931,6.7796530433995237,0.051580510034567567,0.024791744990930651,7.6195474639610043e-05,-0.018927628046730753,0,6.7956353599104116,7.0119117175743924,0.21627635766398079,0.051663433900858112,0.068117720581686969,0.016454286680828857
rank_perm,1_2_0,smoothstep,none,none,all,0.75,19.195187247721073,0.80789449681534542,0.063350747123075798,3.0180103305541004,False,False,1.5911087023622141,3.9641367223054571,0.20651722075678605,0.040314798205058552,0.015597348177116466,0.063350747123075798,18.827498413988454,0.05158065922896516,0.024791742743129768,7.6195474639610043e-05,-0.018928219082521489,0,18.870951253946288,19.471490793569778,0.60053953962349027,0.051687500072358707,0.068144811139508266,0.016457311067149559
rank_perm,2_0_1,smoothstep,none,none,all,0.75,7.2709491632090542,0.79574195770431078,0.063324047692216931,2.0472108896164061,False,False,4.1697842185562095,1.181952525781276,0.57348554156523124,0.040307561710165744,0.015589562672353854,0.063324047692216931,7.4295155485085091,0.051580510034567567,0.024791740495328781,7.641727925834057e-05,-0.018927628046730753,0,7.1484418583525127,7.4514149558565101,0.30297309750399748,0.051663433900858112,0.068117720581686969,0.016454286680828857
