scenario,seed,kernel,kernel_param,match_mode,mode,alpha,cross_curve_ratio,cross_curve_cv,max_within_cv,score,passes_old_gate,passes_primary_gate,mean_37a1,mean_11a1,mean_389a1,cv_37a1,cv_11a1,cv_389a1
st_iid,0,smoothstep,none,none,all,0.75,2.6142206694599825,0.35353123025859179,0.32493121228796917,1.2858972422360726,False,False,0.41430743177480439,0.92820421002302844,1.0830910516565753,0.25617743181419789,0.32493121228796917,0.095336809732555663
st_iid,1,smoothstep,none,none,all,0.75,7.6209752742708305,0.57427517516311044,12.218524653833519,14.249429004091667,False,False,0.94094077229370987,1.1112740904535188,0.14581783176823712,0.11935453466043817,0.37285527796614748,12.218524653833519
st_iid,2,smoothstep,none,none,all,0.75,1.4057042824981694,0.13795346584895116,0.99699988787926608,1.3375383337537694,False,False,1.091823205230986,1.2005835910727056,0.85407977056103845,0.99699988787926608,0.29450746403332106,0.12513164385300499
st_iid,3,smoothstep,none,none,all,0.75,4.9739866410186728,0.53830768065617607,0.70313664279250321,2.3073583024078808,False,False,0.76302734599565536,1.2361800448067235,0.24852902390456635,0.14045488674064247,0.70313664279250321,0.52242392005665161
st_iid,4,smoothstep,none,none,all,0.75,4.4852518088863018,0.62013091887886129,0.74692129760496595,2.2477159362188921,False,False,0.84458752053801145,0.48089973362570337,2.1569564001376267,0.26920047364140398,0.32782630423394055,0.74692129760496595
st_iid,5,smoothstep,none,none,all,0.75,9.0894520267250805,0.59943316374695255,0.67095993515829111,2.8780745584420302,False,False,1.2875127583637997,0.14164910652239718,1.0213489865923993,0.23592958279513679,0.67095993515829111,0.18369987359608028
st_iid,6,smoothstep,none,none,all,0.75,2.5736064648093708,0.40643605743917283,0.29462087027509909,1.2399290791859365,False,False,0.90017059114232179,1.2399932330503236,2.3166848527951522,0.22146064516288494,0.17668836353175588,0.29462087027509909
st_iid,7,smoothstep,none,none,all,0.75,1.4378490904420487,0.17422189676767949,0.33893678573817665,0.702085095470247,False,False,1.0804419166735013,1.5174114355952431,1.0553342806850015,0.15338456462899316,0.33893678573817665,0.13231500802227716
st_iid,8,smoothstep,none,none,all,0.75,2.0515701794000325,0.27685531108675543,1.5486674608749371,2.2672729020127607,False,False,0.69212534294308203,1.4199437139890478,1.1293284139867412,1.5486674608749371,0.30495802051835297,0.47123348787499902
st_iid,9,smoothstep,none,none,all,0.75,inf,2.8855897051454984,3.3101001856952736,inf,False,False,1.5342399359231729,0.98882684949297306,-1.2639011614469808,0.11861149024489863,0.27866065027943332,3.3101001856952736
st_iid,10,smoothstep,none,none,all,0.75,2.3664245024546,0.33218880313899074,0.35529722221205629,1.2166773894493637,False,False,1.5456536689214642,0.92461262823541257,2.1880259787352263,0.35529722221205629,0.21347763073445902,0.1940337871932665
st_iid,11,smoothstep,none,none,all,0.75,3.0498479491979702,0.4200167420469485,0.271084315182609,1.3861760518372641,False,False,1.9550774435488127,1.0103511785191308,3.0814174697763232,0.26962808464617655,0.271084315182609,0.19715128419981912
st_iid,12,smoothstep,none,none,all,0.75,20.262281960646579,1.0069294385640757,0.37142863801034748,3.3801897642811953,False,False,0.30598521056885197,1.2138675965143091,6.1999586123338943,0.37142863801034748,0.36438293887489931,0.30973676525591382
st_iid,13,smoothstep,none,none,all,0.75,9.3647890496663582,0.90974241516156773,0.50376189493167778,2.7407187051780184,False,False,3.1393266724719231,0.65709108154438467,0.33522662986026031,0.30050653124359844,0.50376189493167778,0.34082807790917391
st_iid,14,smoothstep,none,none,all,0.75,5.9009095612916624,0.55759041234370288,0.81236483569473539,2.587471337655316,False,False,1.5327179865907514,1.0216646997692806,0.25974266690087205,0.19403595312120916,0.47677895500775169,0.81236483569473539
st_iid,15,smoothstep,none,none,all,0.75,1.8829653189233913,0.25592811697348589,0.20711139346178978,0.83995922497642772,False,False,0.66209221724263556,1.1995364032969058,1.2466966829969746,0.16178989124665069,0.20711139346178978,0.19890734318239819
st_iid,16,smoothstep,none,none,all,0.75,2.4632612635737132,0.34294112892806361,0.46884360369327965,1.3703297925506741,False,False,1.322534050758442,0.74964799727916798,1.846578873013387,0.39767492684421024,0.46884360369327965,0.39399800619441006
st_iid,17,smoothstep,none,none,all,0.75,31.906236879895857,0.93726189705937624,7.3316185338802109,10.794420038037099,False,False,2.5507790140468698,0.72044171773718146,0.079946094039504784,0.33832144108170897,0.22775000445692736,7.3316185338802109
st_iid,18,smoothstep,none,none,all,0.75,5.1651814392399311,0.71190865233346867,0.41107300192497898,2.0530132324836385,False,False,0.7207498871428184,0.45335273090621137,2.341649111105498,0.12304435518923984,0.21148197818438955,0.41107300192497898
