scenario,seed,kernel,kernel_param,match_mode,match_basis,match_target_mass,mode,alpha,effective_alpha_n,effective_alpha_p,curve,source_curve,true_rank,assigned_rank,conductor,K,c,P,D,D_zeta2,L2,L2_rank_power,X,p_max,prime_count,product_complete
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,11a1,11a1,0,0,11,10000,4.1061125497428606,0.17562836907107998,0.72114985033363233,1.1862439561162916,0.54604444648364747,1,1.1862439561162916,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,11a1,11a1,0,0,11,10000,3.8296192861649119,0.17562836907107998,0.67258978939229697,1.1063658575856632,0.54604444648364747,1,1.1063658575856632,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,11a1,11a1,0,0,11,10000,3.8296192861649119,0.17562836907107998,0.67258978939229697,1.1063658575856632,0.54604344700106255,1,1.1063658575856632,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,389a1,389a1,2,2,389,10000,61.821051707221038,0.0018289474561243319,0.11306745525485271,0.18598850900054473,0.36009494929592611,0.1296683725084356,1.4343398116487134,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,389a1,389a1,2,2,389,10000,61.821051707221038,0.0018289474561243319,0.11306745525485271,0.18598850900054473,0.36008959106903171,0.12966451359626249,1.4343824986662022,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,389a1,389a1,2,2,389,10000,63.77890811619455,0.0018289474561243319,0.11664827175350152,0.19187871604630435,0.36008959106903171,0.12966451359626249,1.4798090142362217,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,389a1,389a1,2,2,389,10000,63.77890811619455,0.0018289474561243319,0.11664827175350152,0.19187871604630435,0.36009494929592611,0.1296683725084356,1.4797649753321431,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,37a1,37a1,1,1,37,30000,31.494689654596517,0.011128209096329547,0.35047949190035704,0.57651565595855436,0.38157538742887837,0.38157538742887837,1.510882711390841,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,37a1,37a1,1,1,37,30000,31.494689654596517,0.011128209096329547,0.35047949190035704,0.57651565595855436,0.38157505137604664,0.38157505137604664,1.5108840420239935,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,37a1,37a1,1,1,37,30000,31.678147125825308,0.011128209096329547,0.35252104500047488,0.57987387620221775,0.38157505137604664,0.38157505137604664,1.5196849849356249,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,37a1,37a1,1,1,37,30000,31.678147125825308,0.011128209096329547,0.35252104500047488,0.57987387620221775,0.38157538742887837,0.38157538742887837,1.519683646551496,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,11a1,11a1,0,0,11,30000,4.1178259504802819,0.17552923067164261,0.72279882112752936,1.1889564043504106,0.54604662098174628,1,1.1889564043504106,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,11a1,11a1,0,0,11,30000,4.1178259504802819,0.17552923067164261,0.72279882112752936,1.1889564043504106,0.54604603201285218,1,1.1889564043504106,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,11a1,11a1,0,0,11,30000,4.1037325288221602,0.17552923067164261,0.72032501366634827,1.1848871541826904,0.54604603201285218,1,1.1848871541826904,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,11a1,11a1,0,0,11,30000,4.1037325288221602,0.17552923067164261,0.72032501366634827,1.1848871541826904,0.54604662098174628,1,1.1848871541826904,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,389a1,389a1,2,2,389,30000,76.470987894407855,0.0015867831622755361,0.12134287599342274,0.19960103049092087,0.36009411768193023,0.12966777358912782,1.5393264260354103,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,389a1,389a1,2,2,389,30000,76.470987894407855,0.0015867831622755361,0.12134287599342274,0.19960103049092087,0.36009348916723571,0.1296673209406341,1.5393317995850682,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,389a1,389a1,2,2,389,30000,78.584916696984379,0.0015867831622755361,0.12469722262360046,0.20511870953491776,0.36009348916723571,0.1296673209406341,1.5818843795564168,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,389a1,389a1,2,2,389,30000,78.584916696984379,0.0015867831622755361,0.12469722262360046,0.20511870953491776,0.36009411768193023,0.12966777358912782,1.5818788574628249,29989,3245,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,37a1,37a1,1,1,37,100000,35.308536215021569,0.010274204251278967,0.36276711288681196,0.59672798231969326,0.38157542399769201,0.38157542399769201,1.5638532903086091,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,37a1,37a1,1,1,37,100000,35.308536215021569,0.010274204251278967,0.36276711288681196,0.59672798231969326,0.38157555405901444,0.38157555405901444,1.5638527572639083,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,37a1,37a1,1,1,37,100000,35.613775142871184,0.010274204251278967,0.36590319997698029,0.60188663881091409,0.38157555405901444,0.38157555405901444,1.5773721151901319,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,37a1,37a1,1,1,37,100000,35.613775142871184,0.010274204251278967,0.36590319997698029,0.60188663881091409,0.38157542399769201,0.38157542399769201,1.577372652842953,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,11a1,11a1,0,0,11,100000,3.835698072638448,0.18421504131020724,0.70659327890457402,1.1622993558761241,0.54604790602675879,1,1.1622993558761241,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,11a1,11a1,0,0,11,100000,3.835698072638448,0.18421504131020724,0.70659327890457402,1.1622993558761241,0.54604781789092538,1,1.1622993558761241,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,11a1,11a1,0,0,11,100000,4.004756112183161,0.18421504131020724,0.737736312643126,1.2135275930176719,0.54604781789092538,1,1.2135275930176719,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,11a1,11a1,0,0,11,100000,4.004756112183161,0.18421504131020724,0.737736312643126,1.2135275930176719,0.54604790602675879,1,1.2135275930176719,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,389a1,389a1,2,2,389,100000,94.412114218794628,0.0013156340747937838,0.1242117945395689,0.2043202123424894,0.36009338616042202,0.12966724675647881,1.5757272360861674,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,389a1,389a1,2,2,389,100000,94.412114218794628,0.0013156340747937838,0.1242117945395689,0.2043202123424894,0.36009310688532575,0.12966704562632664,1.5757296802404028,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,389a1,389a1,2,2,389,100000,96.746253328919366,0.0013156340747937838,0.12728266748815786,0.20937159587058604,0.36009310688532575,0.12966704562632664,1.6146862516938287,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,389a1,389a1,2,2,389,100000,96.746253328919366,0.0013156340747937838,0.12728266748815786,0.20937159587058604,0.36009338616042202,0.12966724675647881,1.6146837471130682,99991,9592,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,37a1,37a1,1,1,37,300000,38.756356430926523,0.010044410687708859,0.38928476075145235,0.64034776466492538,0.38157551137668233,0.38157551137668233,1.6781678739147103,299993,25997,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,37a1,37a1,1,1,37,300000,38.756356430926523,0.010044410687708859,0.38928476075145235,0.64034776466492538,0.38157546984572799,0.38157546984572799,1.6781680565677342,299993,25997,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,37a1,37a1,1,1,37,300000,39.385162121233755,0.010044410687708859,0.39560074334766643,0.65073713960305835,0.38157546984572799,0.38157546984572799,1.7053956321305275,299993,25997,True
